	median	mean	25th percentile	75th percentile
B_caccae	0.0	0.0145828877079399	0.0	0.0
B_cellulosilyticus_WH2	-0.7564022825423256	-0.7538352761060452	-0.8496198864263915	-0.6518311040825633
B_ovatus	-1.009152049396444	-1.0241155468233623	-1.0736365550892677	-0.9517900152352302
B_thetaiotaomicron	0.0	-0.03742870221073666	0.0	0.0
B_uniformis	0.0	-0.009572622792952264	0.0	0.0
B_vulgatus	0.0	-0.005566851471157563	0.0	0.0
C_aerofaciens	-0.3770378132137338	-0.33858668315831475	-0.5249840815569121	0.0
C_scindens	0.0	0.002472027045027112	0.0	0.0
C_spiroforme	0.0	-0.20416541939101193	-0.46054793096609725	0.0
P_distasonis	-0.3427542819429462	-0.2918190136908338	-0.5076120022422974	0.0
R_obeum	-0.7780062611184898	-0.7715520173311182	-0.8407490707985226	-0.7077055501570421
