Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Cocluster_probability
B_cellulosilyticus_WH2	B_caccae	+	-11.33326978419094	1.2445003142677562	0.0
B_ovatus	B_caccae	+	-10.158087103029281	6.969866311309805	0.0
B_thetaiotaomicron	B_caccae	+	-11.355308977128404	1.0314802411252513	0.0
B_uniformis	B_caccae	+	-10.854203424154122	2.1100454316002017	0.0
B_vulgatus	B_caccae	+	-11.07956723233388	1.430069196896624	0.0
C_aerofaciens	B_caccae	-	-9.832596040455721	13.566309829248873	0.0
C_scindens	B_caccae	+	-10.483920456760083	4.671290583379431	0.0
C_spiroforme	B_caccae	-	-9.543032366009525	22.335230402056176	0.0
P_distasonis	B_caccae	-	-10.236092753782758	6.434514109271807	0.0
R_obeum	B_caccae	-	-11.168947502569184	2.690847743568115	0.0
B_caccae	B_cellulosilyticus_WH2	-	-11.913161741994765	0.8096353295416527	0.0
B_ovatus	B_cellulosilyticus_WH2	+	-9.763476320946245	26.23420230378212	0.0
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-11.136224021543345	2.2222222222222223	0.0
B_uniformis	B_cellulosilyticus_WH2	+	-10.721340008002556	3.937568920179829	0.0
B_vulgatus	B_cellulosilyticus_WH2	+	-10.45016321702549	7.253163467332357	0.0
C_aerofaciens	B_cellulosilyticus_WH2	-	-10.30785097678554	10.155616581666012	0.0
C_scindens	B_cellulosilyticus_WH2	-	-12.014441217606986	2.334512379989894	0.0
C_spiroforme	B_cellulosilyticus_WH2	+	-10.23695492474147	11.639905238220583	0.0
P_distasonis	B_cellulosilyticus_WH2	+	-9.372946975160644	88.95260386190755	0.0
R_obeum	B_cellulosilyticus_WH2	+	-10.797894475520977	3.937568920179829	0.0
B_caccae	B_ovatus	-	-8.56109075463482	236.9845940799723	0.0
B_cellulosilyticus_WH2	B_ovatus	-	-8.320203542059675	557.4996318657046	0.0
B_thetaiotaomicron	B_ovatus	-	-9.69265753299355	12.763181096808324	0.0
B_uniformis	B_ovatus	-	-9.603056119498003	16.283898684328292	0.0
B_vulgatus	B_ovatus	-	-10.000798853024316	6.589992275341173	0.0
C_aerofaciens	B_ovatus	-	-9.612310348375116	18.04156710698345	0.0
C_scindens	B_ovatus	-	-8.885198226411566	75.41766910983047	0.0
C_spiroforme	B_ovatus	-	-9.530756979343543	20.831964969896003	0.0
P_distasonis	B_ovatus	+	-9.547742798585167	15.861699276333423	0.0
R_obeum	B_ovatus	-	-9.093576160555434	45.07354786886892	0.0
B_caccae	B_thetaiotaomicron	-	-9.139717051677437	40.99851705388038	0.0
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-8.672935367010837	139.67302452316076	0.0
B_ovatus	B_thetaiotaomicron	-	-9.710052056452925	11.416549789621318	0.0
B_uniformis	B_thetaiotaomicron	-	-9.849210324172333	8.928199791883454	0.0
B_vulgatus	B_thetaiotaomicron	-	-9.853510214990363	9.226361031518625	0.0
C_aerofaciens	B_thetaiotaomicron	-	-9.27341944453706	28.540764451139147	0.0
C_scindens	B_thetaiotaomicron	-	-9.78649318156957	10.809582094771812	0.0
C_spiroforme	B_thetaiotaomicron	-	-8.57053308514443	138.2089552238806	0.0
P_distasonis	B_thetaiotaomicron	-	-9.47863487744158	17.730751913552453	0.0
R_obeum	B_thetaiotaomicron	-	-9.447647895889324	19.7384671267708	0.0
B_caccae	B_uniformis	-	-10.972975877754264	3.001224817333277	0.0
B_cellulosilyticus_WH2	B_uniformis	+	-9.017632493750122	32.00458190148912	0.0
B_ovatus	B_uniformis	+	-8.89505794052138	39.57425888599381	0.0
B_thetaiotaomicron	B_uniformis	+	-10.749770508282689	4.089635854341736	0.0
B_vulgatus	B_uniformis	+	-9.550461277329612	11.132901418315532	0.0
