Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Interaction_evidence
Bca	Bov	+	-10.15808710302928	6.969866311309805	Moderate
Bca	Cae	-	-9.83259604045572	13.566309829248873	Strong
Bca	Csc	+	-10.483920456760083	4.671290583379431	Moderate
Bca	Csp	-	-9.543032366009523	22.335230402056176	Strong
Bca	Pdi	-	-10.236092753782758	6.434514109271807	Moderate
Bce	Bov	+	-9.763476320946245	26.23420230378212	Strong
Bce	Bun	+	-10.721340008002556	3.937568920179829	Moderate
Bce	Bvu	+	-10.45016321702549	7.253163467332357	Moderate
Bce	Cae	-	-10.30785097678554	10.155616581666012	Strong
Bce	Csp	+	-10.23695492474147	11.639905238220583	Strong
Bce	Pdi	+	-9.372946975160644	88.95260386190755	Strong
Bce	Rob	+	-10.797894475520977	3.937568920179829	Moderate
Bov	Bca	-	-8.56109075463482	236.9845940799723	Very strong
Bov	Bce	-	-8.320203542059675	557.4996318657046	Very strong
Bov	Bth	-	-9.69265753299355	12.763181096808324	Strong
Bov	Bun	-	-9.603056119498005	16.283898684328292	Strong
Bov	Bvu	-	-10.000798853024316	6.589992275341173	Moderate
Bov	Cae	-	-9.612310348375116	18.04156710698345	Strong
Bov	Csc	-	-8.885198226411566	75.41766910983047	Strong
Bov	Csp	-	-9.530756979343543	20.831964969896003	Strong
Bov	Pdi	+	-9.547742798585167	15.861699276333423	Strong
Bov	Rob	-	-9.093576160555434	45.07354786886892	Strong
Bth	Bca	-	-9.139717051677437	40.99851705388038	Strong
Bth	Bce	-	-8.672935367010837	139.67302452316076	Very strong
Bth	Bov	-	-9.710052056452923	11.416549789621318	Strong
Bth	Bun	-	-9.849210324172333	8.928199791883454	Moderate
Bth	Bvu	-	-9.853510214990363	9.226361031518625	Moderate
Bth	Cae	-	-9.27341944453706	28.540764451139147	Strong
Bth	Csc	-	-9.78649318156957	10.809582094771812	Strong
Bth	Csp	-	-8.57053308514443	138.2089552238806	Very strong
Bth	Pdi	-	-9.47863487744158	17.730751913552453	Strong
Bth	Rob	-	-9.447647895889324	19.7384671267708	Strong
Bun	Bce	+	-9.017632493750122	32.00458190148912	Strong
Bun	Bov	+	-8.89505794052138	39.57425888599381	Strong
Bun	Bth	+	-10.749770508282689	4.089635854341736	Moderate
Bun	Bvu	+	-9.550461277329612	11.132901418315532	Strong
Bun	Cae	-	-8.51636988089685	94.416721252903	Strong
Bun	Csc	+	-9.809369503936235	11.985940246045692	Strong
Bun	Csp	-	-8.79707841533933	45.193370165745854	Strong
Bun	Pdi	-	-10.405324957162566	8.739765195165273	Moderate
Bun	Rob	+	-10.162196341311764	10.809582094771812	Strong
Bvu	Bce	+	-10.527205093403191	10.981232774837045	Strong
Bvu	Bov	+	-10.201884005649609	6.862593451920598	Moderate
Bvu	Bun	+	-10.678320135885086	3.510985056936037	Moderate
Bvu	Cae	-	-9.580715915603172	22.658210395698333	Strong
Bvu	Csc	+	-10.53161395638346	5.140712945590995	Moderate
Bvu	Csp	-	-10.97062309222318	7.321651526241013	Moderate
Bvu	Pdi	+	-10.474039263179602	4.900966903778166	Moderate
Bvu	Rob	+	-11.0739876031061	4.480251689979167	Moderate
Cae	Bca	-	-8.04305728473857	47.80279975654291	Strong
Cae	Bce	-	-7.5300183822748785	157.92570324243076	Very strong
Cae	Bov	-	-7.767375126130931	90.8076289145279	Strong
Cae	Bth	-	-8.37409630704479	29.75166737618845	Strong
Cae	Bun	-	-8.1240409790996	47.13888186187705	Strong
Cae	Bvu	-	-8.293384541924778	34.641909814323604	Strong
Cae	Csc	-	-8.133989472001291	50.89425888871787	Strong
Cae	Csp	-	-7.684346035245573	103.98600969503588	Very strong
Cae	Pdi	-	-8.230577899090829	43.21036889332004	Strong
Cae	Rob	-	-7.9920113229145455	61.0304449648712	Strong
Csc	Bca	-	-9.738808135968853	12.425056125368666	Strong
Csc	Bce	+	-10.623154346780622	23.463826255360352	Strong
Csc	Bov	-	-9.661048797641756	20.71119215865056	Strong
Csc	Bth	+	-9.568842414392622	11.426692965154505	Strong
Csc	Bun	+	-9.478662585111456	14.88589350060056	Strong
Csc	Bvu	+	-9.814874769424952	10.30620256477362	Strong
Csc	Cae	-	-8.60068468404329	44.64838855195228	Strong
Csc	Csp	-	-8.62273053083276	49.58031246808945	Strong
Csc	Pdi	-	-9.146820536216852	22.669362992922142	Strong
Csc	Rob	-	-9.281957701805606	21.448692152917506	Strong
Csp	Bca	-	-7.771628869597483	43.49935123265795	Strong
Csp	Bce	-	-7.697645083603815	48.62026862026862	Strong
