Source	Target	Interaction	Interaction_magnitude_log
Bca	Bov	1	-10.15808710302928
Bca	Cae	-1	-9.83259604045572
Bca	Csc	1	-10.483920456760083
Bca	Csp	-1	-9.543032366009523
Bca	Pdi	-1	-10.236092753782758
Bce	Bov	1	-9.763476320946245
Bce	Bun	1	-10.721340008002556
Bce	Bvu	1	-10.45016321702549
Bce	Cae	-1	-10.30785097678554
Bce	Csp	1	-10.23695492474147
Bce	Pdi	1	-9.372946975160644
Bce	Rob	1	-10.797894475520977
Bov	Bca	-1	-8.56109075463482
Bov	Bce	-1	-8.320203542059675
Bov	Bth	-1	-9.69265753299355
Bov	Bun	-1	-9.603056119498005
Bov	Bvu	-1	-10.000798853024316
Bov	Cae	-1	-9.612310348375116
Bov	Csc	-1	-8.885198226411566
Bov	Csp	-1	-9.530756979343543
Bov	Pdi	1	-9.547742798585167
Bov	Rob	-1	-9.093576160555434
Bth	Bca	-1	-9.139717051677437
Bth	Bce	-1	-8.672935367010837
Bth	Bov	-1	-9.710052056452923
Bth	Bun	-1	-9.849210324172333
Bth	Bvu	-1	-9.853510214990363
Bth	Cae	-1	-9.27341944453706
Bth	Csc	-1	-9.78649318156957
Bth	Csp	-1	-8.57053308514443
Bth	Pdi	-1	-9.47863487744158
Bth	Rob	-1	-9.447647895889324
Bun	Bce	1	-9.017632493750122
Bun	Bov	1	-8.89505794052138
Bun	Bth	1	-10.749770508282689
Bun	Bvu	1	-9.550461277329612
Bun	Cae	-1	-8.51636988089685
Bun	Csc	1	-9.809369503936235
Bun	Csp	-1	-8.79707841533933
Bun	Pdi	-1	-10.405324957162566
Bun	Rob	1	-10.162196341311764
Bvu	Bce	1	-10.527205093403191
Bvu	Bov	1	-10.201884005649609
Bvu	Bun	1	-10.678320135885086
Bvu	Cae	-1	-9.580715915603172
Bvu	Csc	1	-10.53161395638346
Bvu	Csp	-1	-10.97062309222318
Bvu	Pdi	1	-10.474039263179602
Bvu	Rob	1	-11.0739876031061
Cae	Bca	-1	-8.04305728473857
Cae	Bce	-1	-7.5300183822748785
Cae	Bov	-1	-7.767375126130931
Cae	Bth	-1	-8.37409630704479
Cae	Bun	-1	-8.1240409790996
Cae	Bvu	-1	-8.293384541924778
Cae	Csc	-1	-8.133989472001291
Cae	Csp	-1	-7.684346035245573
Cae	Pdi	-1	-8.230577899090829
Cae	Rob	-1	-7.9920113229145455
Csc	Bca	-1	-9.738808135968853
Csc	Bce	1	-10.623154346780622
Csc	Bov	-1	-9.661048797641756
Csc	Bth	1	-9.568842414392622
Csc	Bun	1	-9.478662585111456
Csc	Bvu	1	-9.814874769424952
Csc	Cae	-1	-8.60068468404329
Csc	Csp	-1	-8.62273053083276
Csc	Pdi	-1	-9.146820536216852
Csc	Rob	-1	-9.281957701805606
Csp	Bca	-1	-7.771628869597483
Csp	Bce	-1	-7.697645083603815
Csp	Bov	-1	-8.113317018730731
Csp	Bth	-1	-8.397406852161883
Csp	Bun	-1	-8.462925340343787
Csp	Bvu	-1	-8.057976858020783
Csp	Cae	-1	-8.912441204484963
Csp	Csc	-1	-8.102183529318719
Csp	Pdi	-1	-9.254255344579889
Csp	Rob	-1	-8.521780939842145
Pdi	Bca	-1	-9.420303981943372
Pdi	Bce	-1	-9.130603516554627
Pdi	Bov	-1	-9.006935533194337
Pdi	Bth	-1	-9.447546396919822
Pdi	Bun	-1	-9.327009395948172
Pdi	Bvu	-1	-10.207979111051444
Pdi	Cae	-1	-8.446765012773863
Pdi	Csc	-1	-9.498488198683743
Pdi	Csp	-1	-8.448503558611204
Pdi	Rob	-1	-9.101942680385807
Rob	Bca	-1	-8.390203406858948
Rob	Bce	-1	-8.031769662731211
Rob	Bov	-1	-8.673599758664015
Rob	Bth	-1	-9.182328437891616
Rob	Bun	-1	-8.894002199227453
Rob	Bvu	-1	-9.764345003417544
Rob	Cae	-1	-8.797001320344856
Rob	Csc	-1	-8.541454082583417
Rob	Csp	-1	-8.295361334392547
Rob	Pdi	1	-10.26132032427694
