	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.0	-5.292097049490967e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.370528837256711e-09
B_cellulosilyticus_WH2	0.0	0.0	-7.386389653886568e-09	-4.676895428116845e-09	0.0	0.0	-6.077539813769992e-08	0.0	0.0	0.0	-1.6203263702912826e-08
B_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	-2.623743073017162e-08	0.0	0.0	0.0	0.0
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_aerofaciens	0.0	0.0	0.0	0.0	-5.9741684443841924e-09	0.0	0.0	0.0	0.0	-6.399409405485771e-09	0.0
C_scindens	0.0	0.0	-1.4218996139181547e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_spiroforme	0.0	0.0	0.0	-5.681689260322438e-09	0.0	0.0	-3.620296407892418e-08	0.0	0.0	-4.75438943611555e-09	-1.0017931643126079e-08
P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_obeum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
