	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	-1.2213447165069615e-12	-2.7473199849154557e-09	-7.249080930069293e-10	-1.064202126118509e-11	-2.1499192730430766e-11	-9.056131399432507e-09	-1.824701646918577e-10	-1.6918861311336664e-08	-3.7992337803282567e-10	-4.0718952119991346e-09
B_cellulosilyticus_WH2	4.6422680745059424e-12	0.0	-4.784058239216725e-09	-2.123560473034522e-09	9.602128337578866e-10	2.9702630085860744e-11	-2.951084314208609e-08	2.3814729515618717e-11	-2.0061108019576068e-08	-7.402807962909791e-10	-9.29459214440699e-09
B_ovatus	6.948849360043494e-11	1.7239460832392598e-10	0.0	-1.949610896787241e-10	1.2733331905076055e-09	6.282261273529698e-11	-1.7085389102617203e-08	-2.1824846725110282e-10	-7.703409436972607e-09	-9.841571835121438e-10	-2.120314294991055e-09
B_thetaiotaomicron	4.4125640549262615e-12	7.30762038238898e-12	-2.029282298437054e-10	0.0	1.7792193442465556e-11	9.725822106580511e-12	-4.225748957086891e-09	2.6987184963364826e-10	-4.004913568355151e-09	-3.5682362676003343e-10	-6.571606675604732e-10
B_uniformis	1.398931907387233e-11	1.8995905132205476e-11	-2.4942723964392935e-10	-1.4151082921735064e-10	0.0	2.0973932409489104e-11	-7.5155197583339e-09	3.321524153435469e-10	-3.4440913312134605e-09	-4.709671369267586e-10	-1.27643234505857e-09
B_vulgatus	8.325930238057754e-12	3.546800679329999e-11	-9.981622636438756e-11	-1.4011666278739473e-10	2.815391030523465e-10	0.0	-5.088800884742442e-09	1.5315290206202086e-10	-8.75030401184452e-09	-6.194708700303876e-11	-1.7205012662281256e-10
C_aerofaciens	-1.4702932368610407e-10	-4.9220840242537103e-11	-2.4416850922963256e-10	-5.328200457144607e-10	-3.0453002566989725e-09	-2.6259356810698967e-10	0.0	-2.507929453850069e-09	-1.2233727300904636e-09	-3.5746620296265514e-09	-1.5958742954421375e-09
C_scindens	3.281553909357209e-11	-9.672946425339295e-13	-1.3025721056196658e-09	-1.6349588198083962e-10	1.551066778675587e-10	2.9402620845961034e-11	-7.345316741737885e-09	0.0	-7.903445642284425e-09	-3.173304892575782e-10	-2.8743914833940147e-09
C_spiroforme	-2.863964523590608e-10	5.7948883823114114e-11	-2.946069721787885e-10	-2.6882330420135444e-09	-1.5955910245155972e-09	-1.0699830742868165e-11	-2.068492567621221e-08	-2.3837980993488515e-09	0.0	-3.5603807264621727e-09	-5.065690658184728e-09
P_distasonis	-5.8064039488949946e-11	4.2369469355829005e-10	2.833069322456111e-10	-3.3217360710038625e-10	-3.9325571508981405e-11	3.3570726264757966e-11	-5.8806062466857694e-09	-7.131476637061626e-10	-5.56858246396642e-10	0.0	5.4787271923767165e-11
R_obeum	-6.777234257327067e-12	1.592595647487377e-11	-8.061648149302784e-10	-3.56740243249342e-10	6.883410321179748e-11	8.433588310167906e-12	-1.0185648317118737e-08	-5.224470703539392e-10	-3.007592963978759e-09	-7.907829912527793e-10	0.0
