	Bca	Bce	Bov	Bth	Bun	Bvu	Cae	Csc	Csp	Pdi	Rob
Bca			-0.7600378238645843	-0.6469727657874685			-1.765428763878925	1.0445892017134533	-2.2965402046581587	-0.8577928704079398	-1.0985446672377879
Bce			-0.8409224537413909	-0.719303115082963	0.882971395353954	0.19469180551866924	-1.8927396447004965	-0.9062438727765589	-2.310528427291393	-0.9657362502812035	-1.1896940502491598
Bov	0.4413087917255861	0.19120175568465814		-0.6382617037050261	0.954625295630164	0.46103622098981856	-1.82506098502178	-0.5392347825442468	-2.1766936159485213	-1.0120066080069268	-1.1118146580757113
Bth			-0.5890433225410344				-1.6645743782519649	1.038605396572724	-2.0806916581823134	-0.8838302176200148	-0.9449877515143924
Bun			-0.5646794354531934	-0.5466971059029158			-1.6889965201931758	1.0685556222853358	-1.8794226159998944	-0.8790537871544145	-0.9636115209618994
Bvu		0.024210163932051817		-0.5876996641007872	0.8035083763052401		-1.6579789067601214	0.9726345764048697	-2.088975798022784		-0.8462214065697602
Cae	-0.5021742996682823	-0.03297117918406698	-0.6003674897167071	-0.6574590129874279	-1.003835678919017	-0.4727292594797176		-1.2527630436793329	-1.882304709628954	-1.0587919870965175	-1.0378908698628875
Csc			-0.6870373940471584		0.7077910494515056		-1.720820751147564		-2.0738238981862467	-0.9077139201935595	-1.050770985658586
Csp	-0.48204720479544094		-0.6592523787205901	-0.7375660074787944	-0.9663219783927444		-1.78139203097	-1.1295004079723074		-1.0677271296686353	-1.1223173874881187
Pdi	-0.42532867909269556	0.1690843459838009	0.6886432582161959	-0.6319285776556621			-1.7003856564677546	-1.0647310096435854	-1.9139942984336433		-0.15286896124237248
Rob			-0.7043510199796366	-0.6103226709280797			-1.7241121039789764	-0.8917935191476143	-2.0191439960206248	-0.9614607945523769	
