	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the self-interaction parameter	9.643241847849126e-08	1.3260487942247465e-07	4.1389965029842646e-08	1.8230562159627852e-07
B_caccae	Bacteroides caccae B_caccae	5.21542669922488e-09	5.246690384389868e-09	4.545975785332215e-09	5.903693228847867e-09
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	1.2808184948578394e-09	1.308792012361107e-09	9.953880467388657e-10	1.594684372528671e-09
B_ovatus	Bacteroides ovatus B_ovatus	2.1619864916991804e-08	2.174033884795615e-08	1.9438098449194962e-08	2.4107987018575223e-08
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	1.5430812657780886e-08	1.5435098460751933e-08	1.3544714044987255e-08	1.7265244536168177e-08
B_uniformis	Bacteroides uniformis B_uniformis	1.7964645452418666e-08	1.8506958352331962e-08	1.4500317520150961e-08	2.2042623822367265e-08
B_vulgatus	Phocaeicola vulgatus B_vulgatus	4.529912326943594e-09	4.8148805969785595e-09	3.4259732966655267e-09	6.052876580936362e-09
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	3.2391814432379957e-07	3.267303375243101e-07	2.7402000844425935e-07	3.781809918351767e-07
C_scindens	Lachnoclostridium scindens C_scindens	8.743207903052239e-08	8.764349589018414e-08	7.337209215890369e-08	1.011452154195048e-07
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	8.100507408238455e-07	8.752037992942629e-07	5.321249964619976e-07	1.1466863206535828e-06
P_distasonis	Parabacteroides distasonis P_distasonis	3.8741292031643976e-08	3.9060549512520347e-08	3.2991067311787864e-08	4.477944968898359e-08
R_obeum	Blautia obeum R_obeum	5.307652620868674e-08	5.35489171044876e-08	4.752253427162313e-08	5.9067985111818734e-08
