	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1.0	0.002863157894736842	0.0	0.9865263157894737	0.0002105263157894737	0.6494315789473685	0.8687578947368421	0.9837052631578947	0.4298526315789474	0.8221894736842106	0.36117894736842104	0.07027368421052632
B_cellulosilyticus_WH2	0.002863157894736842	1.0	0.9473263157894737	0.003831578947368421	0.9051368421052631	0.21625263157894736	0.044589473684210526	0.00808421052631579	0.007242105263157894	0.07334736842105263	0.46850526315789476	0.7845894736842105
B_ovatus	0.0	0.9473263157894737	1.0	0.0	0.9325052631578947	0.17692631578947368	0.015494736842105263	0.0	0.004421052631578947	0.05625263157894737	0.4285052631578947	0.7463578947368421
B_thetaiotaomicron	0.9865263157894737	0.003831578947368421	0.0	1.0	0.0025684210526315788	0.6533473684210527	0.8735157894736842	0.9829052631578947	0.4326736842105263	0.8272	0.368	0.07469473684210526
B_uniformis	0.0002105263157894737	0.9051368421052631	0.9325052631578947	0.0025684210526315788	1.0	0.20353684210526315	0.04976842105263158	0.0022315789473684212	0.006063157894736842	0.08593684210526316	0.47810526315789476	0.7796631578947368
B_vulgatus	0.6494315789473685	0.21625263157894736	0.17692631578947368	0.6533473684210527	0.20353684210526315	1.0	0.7546947368421053	0.6611368421052631	0.3353684210526316	0.7557894736842106	0.5360842105263158	0.30101052631578945
C_aerofaciens	0.8687578947368421	0.044589473684210526	0.015494736842105263	0.8735157894736842	0.04976842105263158	0.7546947368421053	1.0	0.8812631578947369	0.36378947368421055	0.9337684210526316	0.4479157894736842	0.17149473684210526
C_scindens	0.9837052631578947	0.00808421052631579	0.0	0.9829052631578947	0.0022315789473684212	0.6611368421052631	0.8812631578947369	1.0	0.4256	0.8339368421052632	0.3735157894736842	0.07856842105263158
C_spiroforme	0.4298526315789474	0.007242105263157894	0.004421052631578947	0.4326736842105263	0.006063157894736842	0.3353684210526316	0.36378947368421055	0.4256	1.0	0.3567578947368421	0.19528421052631578	0.04922105263157895
D_longicatena	0.8221894736842106	0.07334736842105263	0.05625263157894737	0.8272	0.08593684210526316	0.7557894736842106	0.9337684210526316	0.8339368421052632	0.3567578947368421	1.0	0.48522105263157894	0.20442105263157895
P_distasonis	0.36117894736842104	0.46850526315789476	0.4285052631578947	0.368	0.47810526315789476	0.5360842105263158	0.4479157894736842	0.3735157894736842	0.19528421052631578	0.48522105263157894	1.0	0.4832
R_obeum	0.07027368421052632	0.7845894736842105	0.7463578947368421	0.07469473684210526	0.7796631578947368	0.30101052631578945	0.17149473684210526	0.07856842105263158	0.04922105263157895	0.20442105263157895	0.4832	1.0
