	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	0.0	0.0	-1.98089349084105e-09	0.0	-2.9467171318297233e-09	-2.935613426047664e-09	-2.372267416927045e-09	-2.7816295977543096e-09	-2.947212909920783e-09	-2.7047033615920105e-09	-1.9523049696598055e-07
B_ovatus	0.0	0.0	0.0	-2.0026676792318587e-09	0.0	-3.043909961604594e-09	-3.0310504579602084e-09	-2.382810116551077e-09	-2.8282947327714477e-09	-3.041394626955883e-09	-2.7344566926907917e-09	-1.9762605144529297e-07
B_uniformis	0.0	0.0	0.0	-1.969919462913488e-09	0.0	-2.923148239531734e-09	-2.918807876769344e-09	-2.362599382233216e-09	-2.805128581366696e-09	-2.9239293076956314e-09	-2.7171109287281727e-09	-1.9271698110652578e-07
P_distasonis	0.0	0.0	0.0	0.0	0.0	-2.354644813808162e-09	-2.3537585501522892e-09	-1.6910490899326666e-09	-2.3366299991392644e-09	-2.355666300172895e-09	-2.2490413867738034e-09	-1.2745877238179094e-07
R_obeum	0.0	0.0	0.0	-1.807024101845555e-09	0.0	-2.667100081096064e-09	-2.670676186813085e-09	-2.25430450564899e-09	-2.6267214401687916e-09	-2.67198849542306e-09	-2.5569048296589228e-09	-1.6864327426506477e-07
B_caccae	1.068791197616651e-09	1.0476763523801385e-09	1.0663307105104319e-09	0.0	9.7681227489883e-10	0.0	0.0	0.0	0.0	0.0	0.0	-5.5439506167075634e-08
B_thetaiotaomicron	1.0695140291989913e-09	1.04974407863844e-09	1.0681295108231365e-09	0.0	9.803417179607386e-10	0.0	0.0	0.0	0.0	0.0	0.0	-5.701067284898041e-08
B_vulgatus	0.0	0.0	0.0	0.0	0.0	-8.456881707498741e-10	-7.736563651288185e-10	0.0	0.0	-7.174307960218488e-10	0.0	-9.635457250456154e-08
C_aerofaciens	1.123429002923017e-09	1.1401483763638713e-09	1.1070477071490345e-09	0.0	8.721573431926461e-10	0.0	0.0	0.0	0.0	0.0	0.0	-7.199683673776556e-08
C_scindens	1.076693911220016e-09	1.0640442138134349e-09	1.0775657123645985e-09	0.0	9.830522231699153e-10	0.0	0.0	0.0	0.0	0.0	0.0	-5.6015211040169466e-08
D_longicatena	1.095402321406917e-09	1.1114648437860037e-09	1.0726798037881055e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.321575670637461e-08
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
