	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	-2.3766730578045942e-09	-2.370370744491951e-09	-1.913068611381096e-09	-2.2751246417914274e-09	-2.3757193982871298e-09	-2.223162978457051e-09	-3.5413579529786088e-09
B_ovatus	0.0	0.0	0.0	0.0	0.0	-2.424592666347283e-09	-2.418339574953873e-09	-1.9305588271411095e-09	-2.2999993744573374e-09	-2.4195455883910597e-09	-2.2428367320080903e-09	-3.661389738952346e-09
B_uniformis	0.0	0.0	0.0	0.0	0.0	-2.359411041097022e-09	-2.357293673073769e-09	-1.8763489645051234e-09	-2.2746855944012123e-09	-2.3566962217105397e-09	-2.2216302100407265e-09	-3.2641524150229094e-09
P_distasonis	0.0	0.0	0.0	0.0	0.0	-9.76527131110023e-10	-9.456780125581102e-10	0.0	0.0	-9.416057808961044e-10	0.0	-2.345980880298222e-09
R_obeum	0.0	0.0	0.0	0.0	0.0	-2.1556682824194194e-09	-2.1573731492031944e-09	-1.1992042795547421e-09	-2.10401659509149e-09	-2.1593961303631304e-09	-2.0350511611425996e-09	-2.7808947065688387e-09
B_caccae	1.2877207355161494e-09	1.2801013179137426e-09	1.2908730485981988e-09	9.339663470522247e-10	1.265133584098451e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_thetaiotaomicron	1.2870547740335283e-09	1.2805316057867595e-09	1.2914702952085606e-09	9.33541902150305e-10	1.2664828166193115e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_vulgatus	1.228231687759836e-09	1.260318971213942e-09	1.2388064158736856e-09	0.0	1.115229280945105e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_aerofaciens	1.321093295564173e-09	1.336431444169047e-09	1.3160554386293204e-09	0.0	1.248545711918207e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_scindens	1.2923750408233006e-09	1.2897731032643555e-09	1.298075599007612e-09	9.339011768621364e-10	1.2682804985385425e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_longicatena	1.3060345484795375e-09	1.3199453790281714e-09	1.2982739906981372e-09	0.0	1.2219742148316294e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
