	median	mean	25th percentile	75th percentile
B_caccae	-0.603740358716957	-0.5965879915191795	-0.7523361948693821	-0.45799908235466336
B_cellulosilyticus_WH2	0.03373439562393546	0.2205775002450559	0.0	0.2845445759182942
B_ovatus	0.13663575850738238	0.32907202621145454	0.0	0.3161782431871758
B_thetaiotaomicron	-0.6025401722767746	-0.593027991114563	-0.751109909973339	-0.45554520120745573
B_uniformis	0.0	0.2681416202735446	0.0	0.2873373431399664
B_vulgatus	-0.5138382829212922	-0.3773792534174945	-0.6916999508404883	0.0
C_aerofaciens	-0.5953019674601259	-0.5608514188151389	-0.7443117083517173	-0.4377294641823245
C_scindens	-0.6048249299469499	-0.5991013251000509	-0.7543003216793638	-0.46007903423082874
C_spiroforme	0.0	-0.3328359467904641	-0.6517245279906121	0.0
D_longicatena	-0.583393197005075	-0.492759775969831	-0.7332703273119507	-0.39806978541900534
P_distasonis	0.0	-0.1405543053853974	-0.5173928157201162	0.0
R_obeum	0.0	0.15332724577301426	0.0	0.243134258063525
