	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	9.891283705635228e-09	9.838045450682388e-09	8.75929807660839e-09	1.0996044060860563e-08
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	1.4058068377300577e-09	1.525323107971781e-09	5.424679358455044e-10	2.2649545472460166e-09
B_ovatus	B_ovatus	2.1019334267064085e-09	2.742941620111424e-09	6.252071056523814e-10	3.975560955617103e-09
B_thetaiotaomicron	B_thetaiotaomicron	1.152816192802601e-08	1.1637023438983017e-08	1.0278494152014055e-08	1.2920278211587138e-08
B_uniformis	B_uniformis	4.965485221777084e-09	6.535349398537264e-09	1.9398328931088754e-09	9.616255671090245e-09
B_vulgatus	B_vulgatus	5.727601636480202e-09	5.266993401560529e-09	3.981049151970504e-09	6.867123732882156e-09
C_aerofaciens	C_aerofaciens	2.3445085093047784e-07	2.3600381438710683e-07	2.0316952505155006e-07	2.6798047872028244e-07
C_scindens	C_scindens	6.523216579889304e-08	6.549956219077449e-08	5.657209044041308e-08	7.412040951601557e-08
C_spiroforme	C_spiroforme	5.809360994716104e-07	6.911198560593017e-07	4.516944217847585e-07	8.260057237287402e-07
D_longicatena	D_longicatena	4.27941700591703e-06	4.200520252437237e-06	3.6779552819727937e-06	4.849942129554486e-06
P_distasonis	P_distasonis	1.97372745489536e-08	1.8421893676663642e-08	1.0675288331715617e-08	2.555471915642164e-08
R_obeum	R_obeum	1.5067539991312346e-08	1.6408936597309537e-08	7.166813926344935e-09	2.467976006944744e-08
