	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	0.5137399466899656	0.48085779783206034	0.40101853463704973	0.5977418271531272
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	0.5233028659440403	0.5040609885050366	0.4339251742806852	0.5971391065886027
B_ovatus	B_ovatus	0.3983117267230008	0.3709105363633102	0.30510949019500927	0.46841304465517664
B_thetaiotaomicron	B_thetaiotaomicron	0.2892350367928809	0.2831028986033099	0.226854441997307	0.3445529329947232
B_uniformis	B_uniformis	0.5068375989784344	0.47292898274562656	0.3862960088164277	0.5880428321355864
B_vulgatus	B_vulgatus	0.2655578789813318	0.2685197579377638	0.20721056549090472	0.32496754925535637
C_aerofaciens	C_aerofaciens	0.17416080782855672	0.17847027381814862	0.1270253292123078	0.22505330253540887
C_scindens	C_scindens	0.3541394839919142	0.34678786314817805	0.2844943237891546	0.4221596768949175
C_spiroforme	C_spiroforme	0.20155755253439023	0.22286956526750284	0.12204168065514667	0.2854366284268736
D_longicatena	D_longicatena	0.014062771097255605	0.029149559332106816	0.005750033686939583	0.029219451171152905
P_distasonis	P_distasonis	0.3283075381847788	0.3888856287872862	0.21610500301497235	0.5804812451468547
R_obeum	R_obeum	0.5815817703887708	0.5513681150603942	0.45373901809868633	0.6687160042126261
