Source	Target	Interaction	Interaction_magnitude_log
B_ovatus	B_cellulosilyticus_WH2	-	-10.339393651264539
B_uniformis	B_cellulosilyticus_WH2	-	-10.455776783498639
P_distasonis	B_cellulosilyticus_WH2	+	-9.280354946222614
R_obeum	B_cellulosilyticus_WH2	+	-10.800078561513121
B_caccae	B_cellulosilyticus_WH2	+	-8.939892976703057
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-8.996523007638272
B_vulgatus	B_cellulosilyticus_WH2	+	-8.959131783682485
C_aerofaciens	B_cellulosilyticus_WH2	+	-8.914210020798494
C_scindens	B_cellulosilyticus_WH2	+	-8.933023056490173
D_longicatena	B_cellulosilyticus_WH2	+	-8.931869127623953
C_spiroforme	B_cellulosilyticus_WH2	+	-9.31831216106311
B_cellulosilyticus_WH2	B_ovatus	+	-9.78543360192933
B_uniformis	B_ovatus	+	-10.299631998161507
P_distasonis	B_ovatus	+	-9.155893172965394
R_obeum	B_ovatus	+	-9.823479828532385
B_caccae	B_ovatus	+	-8.905103931582106
B_thetaiotaomicron	B_ovatus	+	-8.94342960239368
B_vulgatus	B_ovatus	+	-8.890435520291994
C_aerofaciens	B_ovatus	+	-8.850676962678646
C_scindens	B_ovatus	+	-8.881170345525847
D_longicatena	B_ovatus	+	-8.87710131696462
C_spiroforme	B_ovatus	+	-9.315868123390166
B_cellulosilyticus_WH2	B_uniformis	+	-9.911898624485888
B_ovatus	B_uniformis	+	-12.042299311580473
P_distasonis	B_uniformis	+	-9.19099948846104
R_obeum	B_uniformis	+	-10.003225806402124
B_caccae	B_uniformis	+	-8.90593812118909
B_thetaiotaomicron	B_uniformis	+	-8.944195050220463
B_vulgatus	B_uniformis	+	-8.901515163550217
C_aerofaciens	B_uniformis	+	-8.8645155751911
C_scindens	B_uniformis	+	-8.893677838565516
D_longicatena	B_uniformis	+	-8.877420846997234
C_spiroforme	B_uniformis	+	-9.315575767906166
B_cellulosilyticus_WH2	P_distasonis	-	-9.0933739527176
B_ovatus	P_distasonis	-	-9.051756334893117
B_uniformis	P_distasonis	-	-9.062873844484146
R_obeum	P_distasonis	-	-9.090834483361657
B_caccae	P_distasonis	+	-9.07097645688269
B_thetaiotaomicron	P_distasonis	+	-9.11252353568803
B_vulgatus	P_distasonis	+	-9.141831851842461
C_aerofaciens	P_distasonis	+	-9.114565729410307
C_scindens	P_distasonis	+	-9.076016975608624
D_longicatena	P_distasonis	+	-9.121716540268265
C_spiroforme	P_distasonis	+	-9.42961897452788
B_cellulosilyticus_WH2	R_obeum	+	-10.15947123199801
B_ovatus	R_obeum	-	-10.766005853119728
B_uniformis	R_obeum	-	-11.143887434645258
P_distasonis	R_obeum	+	-9.250873839781233
B_caccae	R_obeum	+	-8.876435663402837
B_thetaiotaomicron	R_obeum	+	-8.940242131830479
B_vulgatus	R_obeum	+	-8.908192159999722
C_aerofaciens	R_obeum	+	-8.883709268182745
C_scindens	R_obeum	+	-8.864822423920474
D_longicatena	R_obeum	+	-8.890201471536137
C_spiroforme	R_obeum	+	-9.27060042922232
B_cellulosilyticus_WH2	B_caccae	-	-8.631665257472049
B_ovatus	B_caccae	-	-8.603807540015474
B_uniformis	B_caccae	-	-8.617692453707015
P_distasonis	B_caccae	-	-8.890061686901994
R_obeum	B_caccae	-	-8.633786635065384
B_thetaiotaomicron	B_caccae	-	-10.209146913118952
B_vulgatus	B_caccae	-	-9.705100325332387
C_aerofaciens	B_caccae	-	-10.26341740445137
C_scindens	B_caccae	-	-11.148893733707505
