	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	1.6389526170199752e-10	1.224902089582653e-10	-8.06540253270625e-10	6.926738111660936e-11	-2.3352573224350205e-09	-1.8744151607799686e-09	-1.9414803313901695e-09	-2.177926141983541e-09	-2.2941979504693e-09	-2.780137613950011e-09	-7.447577503410469e-08
B_ovatus	-4.577268079371831e-11	0.0	9.071950845492843e-13	-8.876538991322913e-10	-1.7139342081365824e-11	-2.489960513495675e-09	-2.0107467359875494e-09	-2.055747719442797e-09	-2.3352163200832936e-09	-2.470211624744549e-09	-3.029000626621202e-09	-7.791932895676381e-08
B_uniformis	-3.5012507632204956e-11	5.016120973899394e-11	0.0	-8.652192144493372e-10	-7.179803614253002e-12	-2.411612611254608e-09	-1.9557643597291995e-09	-2.000200075150571e-09	-2.23409879065712e-09	-2.364168961538361e-09	-2.923849569506196e-09	-7.537857323457307e-08
P_distasonis	5.243787135536956e-10	6.984041752481827e-10	6.441700242581116e-10	0.0	5.612109811366711e-10	-1.2880665825705264e-09	-1.067346317449941e-09	-9.980772815951366e-10	-1.1738359818655833e-09	-1.2741252835479413e-09	-1.0728510941510696e-09	-4.9335498927866484e-08
R_obeum	1.584606519819701e-11	1.5014821427559286e-10	9.925998234108988e-11	-8.112701871085491e-10	0.0	-2.3238782162112725e-09	-1.8894501865910077e-09	-1.9366071657197076e-09	-2.209595051239291e-09	-2.318556778572524e-09	-2.8360025192530375e-09	-7.388853110447044e-08
B_caccae	1.1484365961440614e-09	1.2442168209810478e-09	1.2418292323413444e-09	8.492265103839336e-10	1.3291204390957315e-09	0.0	8.897402033992597e-11	1.641019007941741e-10	1.2981026882885905e-10	1.3767183207892239e-11	1.78458089920928e-10	-2.290284780803361e-08
B_thetaiotaomicron	1.0080382050644476e-09	1.1391224146435844e-09	1.1371164696813468e-09	7.717496910790531e-10	1.1475136708039576e-09	-6.178073729335923e-11	0.0	8.295885466398152e-11	4.1798439105861454e-11	-4.6251925138319786e-11	1.4083753774438412e-10	-2.5883178559085673e-08
B_vulgatus	1.0986724042385293e-09	1.2869583135653602e-09	1.2545409343390598e-09	7.213867283448544e-10	1.2354006912373305e-09	-1.9719671440678466e-10	-1.2331853396777642e-10	0.0	-1.0123992168183132e-10	-1.8286148164290436e-10	6.318643873290207e-11	-2.5770957792978507e-08
C_aerofaciens	1.2184002493319908e-09	1.410337446868326e-09	1.3661060818723554e-09	7.681291924021087e-10	1.3070455770527111e-09	-5.452335801391763e-11	1.0892833258790469e-11	7.397004210323032e-11	0.0	-4.192089424513399e-11	1.7139703891521766e-10	-2.491526352574083e-08
C_scindens	1.1667476733304247e-09	1.314709056049481e-09	1.2773860276562668e-09	8.394271745305825e-10	1.3651412069312312e-09	-7.0975141379071054e-12	8.451467793143033e-11	1.5633042676512813e-10	1.2148465427354714e-10	0.0	2.0059965599053012e-10	-2.3419315507120168e-08
D_longicatena	1.1698518666647851e-09	1.3270848247577209e-09	1.3261087877153355e-09	7.555852297981725e-10	1.287652064426017e-09	-1.5641567838381673e-10	-3.484507363277496e-11	5.698738076495234e-11	-5.5089726597548315e-12	-1.2152268860658854e-10	0.0	-2.634799322996719e-08
C_spiroforme	4.804938561688675e-10	4.832055085555299e-10	4.835308991504821e-10	3.71861336175306e-10	5.362898417741298e-10	-4.515104952361029e-12	5.6742921623126544e-11	1.1610089660851493e-10	6.711671410046348e-11	-1.2436720641812108e-13	9.802824357184007e-11	0.0
