	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1	0	0	1	0	1	1	1	1	1	0	0
B_cellulosilyticus_WH2	0	1	1	0	1	0	0	0	0	0	0	0
B_ovatus	0	1	1	0	1	0	0	0	0	0	0	0
B_thetaiotaomicron	1	0	0	1	0	1	1	1	1	1	0	0
B_uniformis	0	1	1	0	1	0	0	0	0	0	0	0
B_vulgatus	1	0	0	1	0	1	1	1	1	1	0	0
C_aerofaciens	1	0	0	1	0	1	1	1	1	1	0	0
C_scindens	1	0	0	1	0	1	1	1	1	1	0	0
C_spiroforme	1	0	0	1	0	1	1	1	1	1	0	0
D_longicatena	1	0	0	1	0	1	1	1	1	1	0	0
P_distasonis	0	0	0	0	0	0	0	0	0	0	1	1
R_obeum	0	0	0	0	0	0	0	0	0	0	1	1
