	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum
B_caccae	0.0	0.0	0.0	0.0	0.0	-5.6039154942128164e-08	0.0	1.113149076637094e-09	1.1159146588502158e-09	1.1191019048471617e-09	0.0	1.0308261282000595e-09
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	-5.620138089234429e-08	0.0	1.1070750857653644e-09	1.10977422369343e-09	1.1116639596289807e-09	0.0	1.0242522503339811e-09
B_vulgatus	0.0	0.0	0.0	0.0	0.0	-5.732465266570078e-08	0.0	1.1076093897653039e-09	1.1105806677359308e-09	1.1155342428526347e-09	0.0	1.0247578689423449e-09
C_aerofaciens	0.0	0.0	0.0	0.0	0.0	-6.22943732037907e-08	0.0	1.1350839272042765e-09	1.137712794156413e-09	1.1047056692595087e-09	0.0	1.0581799089138523e-09
C_scindens	0.0	0.0	0.0	0.0	0.0	-5.6132784063723726e-08	0.0	1.1173404079779543e-09	1.1200089142172704e-09	1.1211633143341184e-09	0.0	1.0358592598749071e-09
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_longicatena	0.0	0.0	0.0	0.0	0.0	-6.285898960532072e-08	0.0	1.1310968150151353e-09	1.134117232415471e-09	1.1043175781157369e-09	0.0	1.0555526845203304e-09
B_cellulosilyticus_WH2	-2.61894944569137e-09	-2.612821221887763e-09	-2.614307173823823e-09	-2.6055565711052048e-09	-2.6206046650243686e-09	-1.74215959662286e-07	-2.606445011722977e-09	0.0	0.0	0.0	-1.230524963410141e-09	0.0
B_ovatus	-2.6270094450820236e-09	-2.6203362382804663e-09	-2.6213945064069195e-09	-2.6131082657621104e-09	-2.628307278131802e-09	-1.7446065376962001e-07	-2.614085674909789e-09	0.0	0.0	0.0	-1.2349703547343166e-09	0.0
B_uniformis	-2.5860154699456406e-09	-2.5792910626342045e-09	-2.5796374725899642e-09	-2.5847645620774816e-09	-2.587201829378985e-09	-1.671086594430575e-07	-2.58490923208933e-09	0.0	0.0	0.0	-1.2262599806230587e-09	0.0
P_distasonis	-2.5495319906484446e-09	-2.547186835266186e-09	-2.544228345240714e-09	-2.549811660956516e-09	-2.5513920436716113e-09	-1.4475684814855164e-07	-2.549811660956516e-09	0.0	0.0	0.0	0.0	0.0
R_obeum	-2.551902881699982e-09	-2.5474453947054796e-09	-2.5449075540109327e-09	-2.534687151255135e-09	-2.5522299420845466e-09	-1.561942747908055e-07	-2.5347487726119554e-09	0.0	0.0	0.0	-5.753062426809279e-10	0.0
