	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum
B_caccae	0.0	3.677066771147022e-12	1.137665986982477e-11	1.203885205622125e-10	1.1351543926245107e-11	-3.094835140220771e-08	2.511760374202523e-10	1.2770917672165391e-09	1.2866815013457263e-09	1.368409298757948e-09	1.0119757502856072e-09	1.2187439311785417e-09
B_thetaiotaomicron	-1.6734780446681044e-12	0.0	9.356717920763915e-12	1.1850523761101513e-10	8.704349815629088e-12	-3.1007904511220295e-08	2.447731496931155e-10	1.2672547880285192e-09	1.2767307588215061e-09	1.3562167521864217e-09	1.009019844995583e-09	1.211882543833035e-09
B_vulgatus	-1.1009157545758842e-11	-7.924387229583647e-12	0.0	1.0728045751065485e-10	-4.0280467688619327e-13	-3.1328812260552505e-08	1.9481915058447646e-10	1.2669507655458297e-09	1.2772228341130128e-09	1.3646302871815946e-09	1.0081473879222898e-09	1.213914986611952e-09
C_aerofaciens	-2.9057658873241325e-12	1.0716747630451513e-14	5.423568967198864e-12	0.0	-2.4068425483744893e-12	-3.279484302582482e-08	1.4175292864804802e-10	1.313885487766639e-09	1.3234755269317024e-09	1.28370226018797e-09	8.955112198567884e-10	1.250682033731578e-09
C_scindens	6.351319149343708e-14	2.9197584990931673e-12	1.1093709156925453e-11	1.103030869984743e-10	0.0	-3.0959719394732395e-08	2.408272044001413e-10	1.2837012591879196e-09	1.293016397196261e-09	1.3702135349920507e-09	1.0039290430021227e-09	1.2252376459880717e-09
C_spiroforme	-8.238454662120587e-11	-7.901137609698911e-11	-7.167601049819877e-11	-4.168457849766378e-11	-7.313957551752238e-11	0.0	5.191391987298611e-11	6.798077432609844e-10	6.764254740413441e-10	6.934537439915951e-10	3.789258120619872e-10	6.0508460384838e-10
D_longicatena	-9.1092167316927e-12	-5.977322023539736e-12	1.3178912585434724e-12	5.0253604020124534e-12	-8.610293392743058e-12	-3.305902749382355e-08	0.0	1.3059087772981343e-09	1.3161549330288648e-09	1.287733209040218e-09	8.952941525723997e-10	1.247587839859221e-09
B_cellulosilyticus_WH2	-2.1700693474277284e-09	-2.152722591733289e-09	-2.1528413254110097e-09	-2.126353943442981e-09	-2.1729412204619343e-09	-7.849304457711311e-08	-2.1462810096262437e-09	0.0	1.1717967240941113e-12	9.03858333448224e-12	-5.373056107819516e-10	-1.2218669859659845e-10
B_ovatus	-2.187602214632616e-09	-2.1704773618216196e-09	-2.1703727083673995e-09	-2.1445361270870947e-09	-2.1907412515721827e-09	-7.863402424042638e-08	-2.162396710506115e-09	-5.141408334273512e-13	0.0	7.031752143749579e-12	-5.404238756958932e-10	-1.229309374372946e-10
B_uniformis	-2.0628110666711864e-09	-2.0458899926195946e-09	-2.044719144284424e-09	-2.05064949172931e-09	-2.0661801713284216e-09	-7.523795951750267e-08	-2.086754300766554e-09	3.8352782061640716e-11	3.798635703223613e-11	0.0	-5.375277486857153e-10	-9.245243448103123e-11
P_distasonis	-1.5174484921723641e-09	-1.5113006286002804e-09	-1.5011283520541327e-09	-1.5320540937270078e-09	-1.527046419916646e-09	-6.823404631348136e-08	-1.5248389435036895e-09	4.74344147152054e-10	4.732742758081953e-10	4.4386645864171e-10	0.0	3.815351454613793e-10
R_obeum	-1.902214969091525e-09	-1.8888528566456077e-09	-1.882540025648665e-09	-1.8571303961927386e-09	-1.9025233982407965e-09	-7.095916659536262e-08	-1.852129909441553e-09	1.0013305819694287e-10	1.008233104807112e-10	1.0139456462518717e-10	-4.046271809323512e-10	0.0
