	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum
B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3100854305483948e-09	1.3127609595469636e-09	1.3190183383766962e-09	1.1111057118770077e-09	1.2753615927792113e-09
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3063647472182603e-09	1.30921761922062e-09	1.315102351520672e-09	1.1102412287143822e-09	1.272452798850986e-09
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3062777908395776e-09	1.3095255239767068e-09	1.3171916330295996e-09	1.1090321270696635e-09	1.272748770198665e-09
C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.322063845037829e-09	1.3248062106282498e-09	1.3063423880173072e-09	1.0825339490520336e-09	1.2890807254176762e-09
C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3118405883146239e-09	1.3144194662026353e-09	1.3193525798090939e-09	1.1092329339639764e-09	1.2772783052218738e-09
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.080283943340519e-10	7.929580433586245e-10	8.022191614818109e-10	0.0	0.0
D_longicatena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3191179532171609e-09	1.3219266111281838e-09	1.3058817226612816e-09	1.0810928375025908e-09	1.287294675732797e-09
B_cellulosilyticus_WH2	-2.2597890733534195e-09	-2.2532824422815163e-09	-2.254372626582107e-09	-2.237498604345198e-09	-2.2604180472475463e-09	-2.675144901368944e-09	-2.2380358518769578e-09	0.0	0.0	0.0	0.0	0.0
B_ovatus	-2.268038816350315e-09	-2.2615948451387742e-09	-2.2627117729430505e-09	-2.2461959291311334e-09	-2.269051864505789e-09	-2.678897067629433e-09	-2.2465028505590965e-09	0.0	0.0	0.0	0.0	0.0
B_uniformis	-2.21164643313403e-09	-2.204775607799836e-09	-2.2045345190436856e-09	-2.2093577126817814e-09	-2.2120123531475877e-09	-2.6373438426961138e-09	-2.2079165945629324e-09	0.0	0.0	0.0	0.0	0.0
P_distasonis	-2.0100824854159535e-09	-2.0064338902455687e-09	-1.998795864562843e-09	-2.0112009129930604e-09	-2.0129191930574105e-09	-2.534136663610379e-09	-2.0075517784161504e-09	0.0	0.0	0.0	0.0	0.0
R_obeum	-2.1448294967395913e-09	-2.1390839712090387e-09	-2.135147355960171e-09	-2.1128904624793053e-09	-2.1434876300707653e-09	-2.5729353021566933e-09	-2.1128904624793053e-09	0.0	0.0	0.0	0.0	0.0
