	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	1.0	0.010231578947368421	0.0002105263157894737	0.5944421052631579	0.6499789473684211	0.5763789473684211	0.16324210526315788	0.6555368421052632	0.3472421052631579	0.5252210526315789	0.01751578947368421	0.0010526315789473684
B_cellulosilyticus_WH2	0.010231578947368421	1.0	0.7971368421052631	0.02143157894736842	0.02185263157894737	0.11477894736842105	0.6904842105263158	0.009178947368421052	0.42151578947368423	0.16589473684210526	0.9468631578947369	0.8527157894736842
B_ovatus	0.0002105263157894737	0.7971368421052631	1.0	0.00016842105263157895	0.0010947368421052631	0.04446315789473684	0.5106947368421053	0.00016842105263157895	0.29713684210526314	0.1696	0.7675368421052632	0.9116631578947368
B_thetaiotaomicron	0.5944421052631579	0.02143157894736842	0.00016842105263157895	1.0	0.5853473684210526	0.5197894736842106	0.1639157894736842	0.6102736842105263	0.3391578947368421	0.5059789473684211	0.028463157894736843	0.0021894736842105263
B_uniformis	0.6499789473684211	0.02185263157894737	0.0010947368421052631	0.5853473684210526	1.0	0.6048842105263158	0.17494736842105263	0.6413473684210527	0.36143157894736844	0.5158736842105263	0.028210526315789474	0.0024842105263157893
B_vulgatus	0.5763789473684211	0.11477894736842105	0.04446315789473684	0.5197894736842106	0.6048842105263158	1.0	0.2392842105263158	0.5637894736842105	0.4161684210526316	0.48934736842105264	0.12113684210526315	0.04686315789473684
C_aerofaciens	0.16324210526315788	0.6904842105263158	0.5106947368421053	0.1639157894736842	0.17494736842105263	0.2392842105263158	1.0	0.15886315789473685	0.4830315789473684	0.1753684210526316	0.7018947368421052	0.5847578947368421
C_scindens	0.6555368421052632	0.009178947368421052	0.00016842105263157895	0.6102736842105263	0.6413473684210527	0.5637894736842105	0.15886315789473685	1.0	0.3448842105263158	0.5270315789473684	0.016294736842105265	0.0010947368421052631
C_spiroforme	0.3472421052631579	0.42151578947368423	0.29713684210526314	0.3391578947368421	0.36143157894736844	0.4161684210526316	0.4830315789473684	0.3448842105263158	1.0	0.3333473684210526	0.43124210526315787	0.3314105263157895
D_longicatena	0.5252210526315789	0.16589473684210526	0.1696	0.5059789473684211	0.5158736842105263	0.48934736842105264	0.1753684210526316	0.5270315789473684	0.3333473684210526	1.0	0.1695578947368421	0.15962105263157894
P_distasonis	0.01751578947368421	0.9468631578947369	0.7675368421052632	0.028463157894736843	0.028210526315789474	0.12113684210526315	0.7018947368421052	0.016294736842105265	0.43124210526315787	0.1695578947368421	1.0	0.8335157894736842
R_obeum	0.0010526315789473684	0.8527157894736842	0.9116631578947368	0.0021894736842105263	0.0024842105263157893	0.04686315789473684	0.5847578947368421	0.0010947368421052631	0.3314105263157895	0.15962105263157894	0.8335157894736842	1.0
