	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	0.29294405859556893	0.3039795335137064	0.2501531973950568	0.34354308804409095
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	0.518925890775074	0.5191735646979059	0.46515289013259187	0.5757673827787535
B_ovatus	B_ovatus	1.044072386590241	1.0053569769684516	0.9321814826467872	1.1298545649429936
B_thetaiotaomicron	B_thetaiotaomicron	0.6394130736386472	0.6375232148520507	0.5698189617146273	0.7077026419141634
B_uniformis	B_uniformis	0.3560684277839037	0.36283092354882956	0.3104975912640707	0.40685821274325207
B_vulgatus	B_vulgatus	0.2391475011925832	0.24882520493329408	0.18903660704474826	0.2992694900558073
C_aerofaciens	C_aerofaciens	0.5145316758446565	0.5210917099968463	0.42001702276838804	0.6176944100050421
C_scindens	C_scindens	0.48733107585679614	0.4901065508491765	0.41451883929444194	0.5631030384315734
C_spiroforme	C_spiroforme	0.22410980319774737	0.2434451454949557	0.16592687682478435	0.2985852985631192
D_longicatena	D_longicatena	0.07535254101562204	0.0768811992313335	0.042774040728622335	0.10518013062791187
P_distasonis	P_distasonis	0.4956744861596495	0.5019255639145411	0.4336624538595625	0.5647711574217221
R_obeum	R_obeum	0.954483130257577	0.9094242058455433	0.8300391227273485	1.0461732372998165
