OTU	StableState	SampleIdx	ExcludedCluster
B_caccae	69994106.80942027	0	None
B_cellulosilyticus_WH2	181929988.44315457	0	None
B_ovatus	45252853.51648282	0	None
B_thetaiotaomicron	44544645.55149929	0	None
B_uniformis	20801615.475760713	0	None
B_vulgatus	87865551.05651438	0	None
C_aerofaciens	2377435.136125739	0	None
C_scindens	5911888.319464027	0	None
C_spiroforme	574908.9836070834	0	None
D_longicatena	58426.132083942255	0	None
P_distasonis	24738052.12952272	0	None
R_obeum	18653203.863337256	0	None
B_caccae	63867582.69935175	100	None
B_cellulosilyticus_WH2	194464389.76517618	100	None
B_ovatus	42516972.888023645	100	None
B_thetaiotaomicron	44102198.65829671	100	None
B_uniformis	21914909.97416673	100	None
B_vulgatus	90098608.91927268	100	None
C_aerofaciens	2700100.290416283	100	None
C_scindens	5843049.599817591	100	None
C_spiroforme	466243.56783994526	100	None
D_longicatena	46326.68128722557	100	None
P_distasonis	26554630.853949245	100	None
R_obeum	24800348.76520824	100	None
B_caccae	83601093.5567119	200	None
B_cellulosilyticus_WH2	171607108.12407482	200	None
B_ovatus	44483182.38685296	200	None
B_thetaiotaomicron	46046474.867275685	200	None
B_uniformis	25434210.795083076	200	None
B_vulgatus	98445635.20625144	200	None
C_aerofaciens	2490923.3341667303	200	None
C_scindens	5892795.0426595155	200	None
C_spiroforme	416168.87732080667	200	None
D_longicatena	51959.91808716746	200	None
P_distasonis	24887738.125170063	200	None
R_obeum	18407007.670845613	200	None
B_caccae	66209585.7366105	300	None
B_cellulosilyticus_WH2	196416267.07062826	300	None
B_ovatus	42343627.15267552	300	None
B_thetaiotaomicron	42818101.23587148	300	None
B_uniformis	17552535.76389052	300	None
B_vulgatus	72687363.12683009	300	None
C_aerofaciens	2797994.7732391916	300	None
C_scindens	6168077.169538837	300	None
C_spiroforme	415492.555707783	300	None
D_longicatena	69979.53619235859	300	None
P_distasonis	18969391.22093506	300	None
R_obeum	18107711.1729066	300	None
B_caccae	73309167.31157197	400	None
