	median	mean	25th percentile	75th percentile
B_caccae	0.0	-0.0033890543370019227	0.0	0.0
B_cellulosilyticus_WH2	-0.861104867077414	-0.8658447023527402	-0.9170547598238479	-0.8104135346797466
B_ovatus	-0.8984577720865927	-1.0259120448436452	-1.0259888159912354	-0.8524668188472222
B_thetaiotaomicron	0.0	-0.015675124405334192	0.0	0.0
B_uniformis	0.0	-0.015774101028256972	0.0	0.0
B_vulgatus	0.0	-0.09036533720499187	0.0	0.0
C_aerofaciens	-0.7942000372619678	-0.5895855543216996	-0.8595309185140555	0.0
C_scindens	0.0	-0.005930028872379369	0.0	0.0
C_spiroforme	0.0	-0.35724757138021185	-0.8196063175437461	0.0
D_longicatena	0.0	0.03384852019952467	0.0	0.0
P_distasonis	-0.856602787228421	-0.842253940766468	-0.9099662765004266	-0.7990607699885641
R_obeum	-0.8803033119670765	-0.9865599422660543	-0.992138145769772	-0.8378708459399532
