	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	4.099886516316535e-09	4.2252581727161574e-09	3.4592636670490753e-09	4.849942269377726e-09
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	3.051531773746039e-09	3.0600600849144325e-09	2.6534075971070987e-09	3.460727444112451e-09
B_ovatus	B_ovatus	2.3477065722485646e-08	2.3238048320530818e-08	2.1380231748932663e-08	2.540754114844083e-08
B_thetaiotaomicron	B_thetaiotaomicron	1.3238701322155074e-08	1.3177530496469166e-08	1.1660558925339021e-08	1.4825851178908599e-08
B_uniformis	B_uniformis	1.5529015807007756e-08	1.581727628547404e-08	1.3187569271446662e-08	1.8170746920897863e-08
B_vulgatus	B_vulgatus	2.795963047743495e-09	2.999007995674646e-09	2.0637728226193447e-09	3.728183442160139e-09
C_aerofaciens	C_aerofaciens	2.2497777733162502e-07	2.2794577493143866e-07	1.839139257898161e-07	2.689818782433833e-07
C_scindens	C_scindens	7.785837939196278e-08	7.824797229368561e-08	6.590771308261175e-08	9.033476483278409e-08
C_spiroforme	C_spiroforme	5.256513725103506e-07	5.489953979156407e-07	4.0975725661155814e-07	6.628793650126676e-07
D_longicatena	D_longicatena	1.165841321690892e-06	1.2260363205936443e-06	7.694236325771254e-07	1.6161840088034045e-06
P_distasonis	P_distasonis	2.1045240830611928e-08	2.1183079498783832e-08	1.779029751724527e-08	2.454588619881911e-08
R_obeum	R_obeum	5.095567401084855e-08	5.1080779030499325e-08	4.643952538139734e-08	5.560866049193892e-08
