	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	0.0	0.33899676366342113	0.8220310956768543	0.08152235920423577	0.010661846174062071	0.0174459831818353	0.09733331989572704	0.017276240203630656	0.2224146645676341	0.3449675698245505	0.44195498956947665	0.889187557998011
B_cellulosilyticus_WH2	0.8818951838738808	0.0	0.24451918829523872	0.5406379569510279	0.9360375463304577	1.0964779127781241	0.5119493927411956	0.8403490935050835	0.6208043472747704	0.6207062678929801	0.1083422424672583	0.2490980413051789
B_ovatus	1.3978014454971548	0.17255766458237537	0.0	0.8254214126170986	1.4367545528415644	1.5861351216990176	0.7439569762817643	1.320276298847404	0.8356079666816179	0.8497432366133898	0.14662757259674383	0.03957372766578076
B_thetaiotaomicron	0.05942149821888841	0.31766351460984465	0.6988885156143635	0.0	0.047347221664424316	0.069983903246608	0.0792809840144205	0.0674051637627981	0.23833232698723292	0.2805683031900307	0.41177366147430017	0.7553727855661925
B_uniformis	0.022201696307854783	0.30799422077979355	0.8077791263981895	0.08998177033585951	0.0	0.020077915561659145	0.08954974049785194	0.029260693420609173	0.2091373877284426	0.35997806090619705	0.38366176609351943	0.8365351795249955
B_vulgatus	0.06233843088600066	0.20646927707430732	0.4745325878116808	0.11659678672528632	0.052994519297132704	0.0	0.0793671678422272	0.058735466773995576	0.13481587196741973	0.34837014396485616	0.2850965454351047	0.47529098355573907
C_aerofaciens	0.21118411045265015	0.29089990292070206	0.5365003159314472	0.19217989416493575	0.18651340835681557	0.1987415214536749	0.0	0.1899654929559559	0.2541316435790318	0.457315557326875	0.39564688236334333	0.6075837205924036
C_scindens	0.008459464381202979	0.23206525003872783	0.7385121059023448	0.07282241486508645	0.010238217470980478	0.01328934108525221	0.08376497405316112	0.0	0.14216135919097528	0.3129172860888757	0.3094523008320123	0.737806784231782
C_spiroforme	0.2508950538732289	0.19412955462206982	0.4348120009850808	0.20673601035643774	0.25674073735780645	0.3477262016338501	0.14207383516199817	0.2660208213226287	0.0	0.3976011810053953	0.27604499141494326	0.4219662113785361
D_longicatena	0.6850300893464212	0.08756299537329788	0.440450200631144	0.30089337745410955	0.6639780498804022	0.7055842345298652	0.3503025651833412	0.579320076241878	0.412894572393814	0.0	0.16146234035142898	0.43941596835755325
P_distasonis	0.8911689768811498	0.07316661210383756	0.18677885035722872	0.5960609734661197	0.9340361442500836	1.1029232413267245	0.5820409081603238	0.857190079920607	0.6543796329231927	0.674392037231807	0.0	0.15276562581070866
R_obeum	1.3948899732584819	0.16498141134441965	0.03641735413963834	0.832003982106338	1.4399270281217098	1.619458103856965	0.7473886992899391	1.3464752322040119	0.821723013796346	0.8678649486172579	0.10990497634610762	0.0
