Source	Target	Interaction	Interaction_magnitude_log
B_thetaiotaomicron	B_caccae	+	-11.078383893082203
B_uniformis	B_caccae	+	-12.157208741322549
B_vulgatus	B_caccae	+	-11.128839821692832
C_scindens	B_caccae	+	-12.101858914537738
D_longicatena	B_caccae	+	-10.113569042788107
B_cellulosilyticus_WH2	B_caccae	+	-10.062395524828078
B_ovatus	B_caccae	+	-9.742558222238896
C_aerofaciens	B_caccae	+	-10.81561106510568
P_distasonis	B_caccae	+	-10.083565868625735
R_obeum	B_caccae	+	-9.746843298032115
C_spiroforme	B_caccae	+	-10.59485703926328
B_caccae	B_thetaiotaomicron	-	-10.668394225439219
B_uniformis	B_thetaiotaomicron	-	-10.629821979098244
B_vulgatus	B_thetaiotaomicron	-	-10.564730912363547
C_scindens	B_thetaiotaomicron	-	-10.736097538411803
D_longicatena	B_thetaiotaomicron	+	-11.416565302921873
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-11.340662959017772
B_ovatus	B_thetaiotaomicron	+	-10.088164078713637
C_aerofaciens	B_thetaiotaomicron	-	-10.524446926767094
P_distasonis	B_thetaiotaomicron	+	-11.63560610463314
R_obeum	B_thetaiotaomicron	+	-10.084497107815848
C_spiroforme	B_thetaiotaomicron	-	-10.665990337130662
B_caccae	B_uniformis	+	-11.805386999354157
B_thetaiotaomicron	B_uniformis	+	-11.19879713718209
B_vulgatus	B_uniformis	+	-10.96964803041052
C_scindens	B_uniformis	+	-12.217133971229153
D_longicatena	B_uniformis	+	-10.070701195852413
B_cellulosilyticus_WH2	B_uniformis	+	-9.934850712841223
B_ovatus	B_uniformis	+	-9.689414732744181
C_aerofaciens	B_uniformis	+	-10.854349665236752
P_distasonis	B_uniformis	+	-9.966532226467312
R_obeum	B_uniformis	+	-9.689560881215657
C_spiroforme	B_uniformis	+	-10.562933064638061
B_caccae	B_vulgatus	+	-12.236326750346826
B_thetaiotaomicron	B_vulgatus	+	-11.11827353698342
B_uniformis	B_vulgatus	+	-11.743282284160882
C_scindens	B_vulgatus	+	-12.151592590755936
D_longicatena	B_vulgatus	+	-10.106980165390599
B_cellulosilyticus_WH2	B_vulgatus	+	-9.89670181576286
B_ovatus	B_vulgatus	+	-9.713645263879862
C_aerofaciens	B_vulgatus	+	-10.742539605585032
P_distasonis	B_vulgatus	+	-9.912859111899284
R_obeum	B_vulgatus	+	-9.704024607072165
C_spiroforme	B_vulgatus	+	-10.360531388182881
B_caccae	C_scindens	-	-11.469584539510716
B_thetaiotaomicron	C_scindens	+	-11.286148699788829
B_uniformis	C_scindens	-	-11.524712435955657
B_vulgatus	C_scindens	+	-11.838366773740079
D_longicatena	C_scindens	+	-10.207218284289597
B_cellulosilyticus_WH2	C_scindens	+	-10.033179479661191
B_ovatus	C_scindens	+	-9.733666219237367
C_aerofaciens	C_scindens	+	-11.13941516370865
P_distasonis	C_scindens	+	-10.046298876891367
R_obeum	C_scindens	+	-9.724944591636934
C_spiroforme	C_scindens	+	-10.523193842720795
B_caccae	D_longicatena	+	-8.417714989071323
B_thetaiotaomicron	D_longicatena	+	-8.250533016332406
B_uniformis	D_longicatena	+	-8.28781233814033
B_vulgatus	D_longicatena	+	-8.170354433873456
C_scindens	D_longicatena	+	-8.393539900569793
B_cellulosilyticus_WH2	D_longicatena	+	-7.797291800544371
B_ovatus	D_longicatena	+	-7.792160858944075
C_aerofaciens	D_longicatena	+	-8.023957619762383
P_distasonis	D_longicatena	+	-7.8276865739411265
R_obeum	D_longicatena	+	-7.800284310334305
C_spiroforme	D_longicatena	+	-8.066540687489015
B_caccae	B_cellulosilyticus_WH2	-	-10.535593719684387
B_thetaiotaomicron	B_cellulosilyticus_WH2	-	-10.548765913145111
B_uniformis	B_cellulosilyticus_WH2	-	-10.570832514066757
B_vulgatus	B_cellulosilyticus_WH2	-	-10.817622098834416
C_scindens	B_cellulosilyticus_WH2	-	-10.776057504781091
D_longicatena	B_cellulosilyticus_WH2	-	-11.224313588004925
B_ovatus	B_cellulosilyticus_WH2	+	-10.782557503163362
