	B_caccae	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_scindens	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	C_aerofaciens	P_distasonis	R_obeum	C_spiroforme
B_caccae	0.0	-2.1458816922337232e-11	1.5653555617446062e-12	5.803276318519756e-13	-3.3916846078020267e-12	3.821950085847406e-09	-2.91344135342764e-11	-2.1690447964680287e-10	-1.0757417209062155e-10	-7.466227006736787e-11	-2.4641502031163513e-10	-2.7416202927751037e-10
B_thetaiotaomicron	8.34864716235403e-12	0.0	6.327073255846846e-12	7.615991716471854e-12	5.1742963685685595e-12	5.616515783424686e-09	-2.826403009495929e-11	-1.9167666821376655e-10	-7.6328758767696e-11	-6.836268207144751e-11	-2.1275972229988234e-10	-1.3754451636011705e-10
B_uniformis	6.962917647526146e-13	-2.34518993108013e-11	0.0	1.8059998746705379e-12	-2.987360016786188e-12	5.154513267999334e-09	-2.6863802501070245e-11	-2.2499632045171922e-10	-1.0000361116225313e-10	-5.284855887216426e-11	-2.3375419187517714e-10	-1.6487397352138149e-10
B_vulgatus	7.432932318658099e-12	-2.7243888088628632e-11	1.0723880592571775e-11	0.0	1.450885786732754e-12	6.755314395955401e-09	-1.5218712093589454e-11	-9.848607708300875e-11	-1.1732387349576485e-10	-4.081783515058923e-11	-1.0315199877778485e-10	-2.15145903801981e-10
C_scindens	7.909355305993543e-13	-1.836125920611224e-11	6.065491923369752e-13	7.053544477950021e-13	0.0	4.040732487976583e-09	-1.674721112105741e-11	-2.1056875924173784e-10	-1.0076872350787071e-10	-4.4429116942562617e-11	-2.1611419527420194e-10	-2.0352979855894276e-10
D_longicatena	7.69894039263748e-11	3.832081147747126e-12	8.497649309008772e-11	7.8166350303e-11	6.205570525942873e-11	0.0	-5.966043450568073e-12	-1.6053815303014717e-10	-1.0343058089355689e-10	-2.944402341163944e-11	-1.617333100359313e-10	-2.0127160198496325e-10
B_cellulosilyticus_WH2	8.661726673715224e-11	-4.563909678533454e-12	1.161847926231476e-10	1.2685225276191347e-10	9.264468741560763e-11	1.5948072432298602e-08	0.0	-7.539568370066717e-11	-7.101138926981761e-11	-4.4453792870498036e-11	-1.0390742426217221e-10	1.8659483768368946e-10
B_ovatus	1.8090133746620021e-10	8.162739205632106e-11	2.044491302029084e-10	1.9335470129149525e-10	1.8464339667110842e-10	1.6137607230127896e-08	1.649842537927386e-11	0.0	-3.31954677603091e-11	-5.6516404825350546e-12	-2.1716795178279412e-11	2.5276751507619253e-10
C_aerofaciens	1.528934691465251e-11	-2.9891869201251853e-11	1.3984609207998856e-11	1.809090922268686e-11	7.2541216828117616e-12	9.463295035762555e-09	-2.7182267869441836e-11	-1.2038085320928176e-10	0.0	-7.197762007386279e-11	-1.4905554997789055e-10	5.5228491003228597e-11
P_distasonis	8.249623555039387e-11	2.3141627323993574e-12	1.0801094692671691e-10	1.222196084630264e-10	8.988787697162186e-11	1.4870084144926777e-08	6.34830744822118e-12	-5.02189810007346e-11	-6.360465966087715e-11	0.0	-5.74196186650204e-11	2.082439218608452e-10
R_obeum	1.7912520563249145e-10	8.231953189724633e-11	2.0438034070155293e-10	1.9768576284274416e-10	1.8838894254258031e-10	1.583855983674261e-08	1.8608558807626013e-11	5.066041073944089e-12	-2.964104595064538e-11	1.3313664536622104e-11	0.0	2.794328931710865e-10
C_spiroforme	2.5418092787511074e-11	-2.157792418591222e-11	2.73569033035551e-11	4.3598205271138006e-11	2.9978241734108966e-11	8.579447331990124e-09	-1.0452572650538754e-11	-8.758337609998328e-11	-3.6563325433577905e-11	-3.926982096681652e-11	-1.001778457230193e-10	0.0
