	median	mean	25th percentile	75th percentile
B_caccae	0.0	-0.02789114331679353	0.0	0.0
B_cellulosilyticus_WH2	-0.8523442492570856	-0.8354732204120272	-0.900273258797486	-0.7853226530634981
B_ovatus	-0.8976167525510359	-1.0710895474867905	-1.0400948294458365	-0.8516509117068267
B_thetaiotaomicron	0.0	-0.06952925038531642	0.0	0.0
B_uniformis	0.0	-0.03352569076778819	0.0	0.0
B_vulgatus	0.0	-0.10394542524775346	0.0	0.0
C_aerofaciens	-0.787165613956625	-0.6131507090686142	-0.8571726105831934	-0.4456144117660311
C_scindens	0.0	-0.029677844920095266	0.0	0.0
C_spiroforme	0.0	-0.3411326521171848	-0.7890683799621158	0.0
D_longicatena	0.0	-0.019729601589249388	0.0	0.0
P_distasonis	-0.855090815583254	-0.8397836334171992	-0.9058150180616208	-0.7946953115765185
R_obeum	-0.879124524470384	-1.0292306860996467	-0.9992657153558046	-0.8360705224937808
