	B_caccae	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_scindens	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	C_aerofaciens	P_distasonis	R_obeum	C_spiroforme
B_caccae	0.0	-1.5705201228797394e-11	-3.0954398727205004e-13	6.1953405622334944e-12	-1.134651608274534e-11	4.36618087937395e-09	3.073007059220286e-12	-3.611647092956186e-10	-2.278695294633811e-10	-1.8775173842416096e-10	-3.6441170859133267e-10	-4.1158539030645135e-10
B_thetaiotaomicron	-1.3220919936637909e-12	0.0	-3.349088003926493e-12	8.609523843742445e-13	-3.1730492128720576e-12	6.174447855877413e-09	-3.913551390222747e-12	-3.8419373514951733e-10	-1.958484561751146e-10	-2.521406816471952e-10	-3.897302733792925e-10	-8.291417030122143e-11
B_uniformis	4.286985123454858e-12	-5.89614346863006e-12	0.0	1.002593454875632e-11	-3.7127818642909516e-12	5.759558740694918e-09	5.6189410150944395e-12	-3.3977754168356896e-10	-2.1834176796370345e-10	-1.7733556577757397e-10	-3.4175366455368077e-10	-2.2082937276843445e-10
B_vulgatus	5.637270206049269e-12	-2.0034616944911827e-11	3.5348647192777875e-12	0.0	-2.813216347718017e-12	7.172011548325657e-09	-2.337098911303405e-12	-3.579755640616135e-10	-2.320179482830279e-10	-2.2472748973524988e-10	-3.628729206034013e-10	-2.1410777788050176e-10
C_scindens	1.7235916079661643e-12	-2.7571835255170644e-12	3.928442326074916e-12	7.341087770692498e-12	0.0	4.334281759248428e-09	4.272900507637405e-12	-3.6400402957513537e-10	-1.8025951388392027e-10	-1.8421403891058626e-10	-3.680668033684324e-10	-2.454626225685517e-10
D_longicatena	1.0471493801774677e-10	2.5119404932915893e-11	1.5209278640664797e-10	1.5221553918241192e-10	9.827584530581072e-11	0.0	1.0825822592833768e-11	-2.3875894711753554e-10	-2.239580577426037e-10	-1.1051614354739029e-10	-2.461599610225274e-10	-2.9247171844575424e-10
B_cellulosilyticus_WH2	9.963651180245929e-11	7.2245216929120846e-12	1.6031906518013496e-10	1.8258601429597685e-10	1.0881080457136336e-10	1.5619204468086247e-08	0.0	-4.127464163270348e-10	-2.1675441317307194e-10	-2.4911055352693476e-10	-4.145974302536178e-10	2.907888443213551e-10
B_ovatus	3.0305870578807684e-10	1.8023820547395795e-10	3.871051098112638e-10	3.953482793154787e-10	3.5384943707942307e-10	1.6613311159425475e-08	1.3832060484501693e-10	0.0	-5.959737718953256e-11	9.813784138143508e-11	-8.012744313403573e-12	7.6048555773905e-10
C_aerofaciens	1.6736298204243024e-11	-1.9408600238969125e-11	9.189593471043805e-12	1.9683422799229525e-11	4.435357221458853e-12	1.0021467667058741e-08	-4.310865642807889e-12	-4.12034326620692e-10	0.0	-2.901718331507924e-10	-4.107974868648423e-10	2.93503021752197e-10
P_distasonis	1.4881915783042493e-10	5.328692790633915e-11	2.0798025225688138e-10	1.9534606275388671e-10	1.7251132946189708e-10	1.4528029583660467e-08	5.48025251068711e-11	-1.2435091089596883e-10	-1.4122802835792018e-10	0.0	-1.2232838231970413e-10	3.322745475876862e-10
R_obeum	2.911304294778657e-10	1.7274539407574148e-10	3.7394089983440064e-10	3.858669426250279e-10	3.419983394614693e-10	1.6148086336706556e-08	1.385211294061071e-10	-7.552934908874629e-12	-5.182421053048971e-11	1.0006749678967592e-10	0.0	7.531649305447455e-10
C_spiroforme	1.0473910486156671e-11	-2.8424983980380703e-11	3.1866930994808284e-12	1.6001119813182816e-11	1.0717519093647656e-12	9.113733437119006e-09	-2.350068250519875e-12	-4.010554057566744e-10	-7.848938537089432e-11	-2.7485518226495954e-10	-4.1016666338231087e-10	0.0
