name	Growth_mean	Growth_median	Self_interaction_mean	Self_interaction_median	Cluster	Cluster_color	Perturbation_mean	Perturbation_median	Perturbation_bayes_factor
B_caccae	0.3101327360548177	0.3055515745147957	4.358893786600677e-09	4.452216266557511e-09	0	6a994e	-0.0278911433167935	0.0	0.431379576066325
B_cellulosilyticus_WH2	0.4958619386022163	0.4960860649138637	2.7495836449373782e-09	2.765067012520495e-09	1	83c5be	-0.8354732204120272	-0.8523442492570856	1257.409940450082
B_ovatus	0.9608581685085228	0.9966667289023928	2.1816649981418675e-08	2.1912708989392185e-08	1	83c5be	-1.0710895474867903	-0.8976167525510359	23201.554764032317
B_thetaiotaomicron	0.6481945013148027	0.6499609931954946	1.2778251139559717e-08	1.3024192870053225e-08	0	6a994e	-0.0695292503853164	0.0	0.8481974556058943
B_uniformis	0.3733167247879415	0.3640967496582744	1.5919952877012415e-08	1.5708377259032206e-08	0	6a994e	-0.0335256907677881	0.0	0.4380511276116245
B_vulgatus	0.2915489811150907	0.2737074124432412	3.424210235869426e-09	3.242950052233404e-09	0	6a994e	-0.1039454252477534	0.0	1.1558499264938047
C_aerofaciens	0.5475823653329868	0.5383452875620449	2.2970814866663522e-07	2.2749731214353337e-07	1	83c5be	-0.6131507090686142	-0.787165613956625	20.55068187830515
C_scindens	0.4899251784709676	0.4859557556402379	7.590183342176203e-08	7.57853815696326e-08	0	6a994e	-0.0296778449200952	0.0	0.4019625052965933
C_spiroforme	0.2702519411404417	0.2299742941291485	5.68008982972773e-07	5.358285912621197e-07	2	e29578	-0.3411326521171848	0.0	4.586205952681137
D_longicatena	0.0805199586557518	0.0763173557853131	1.2376924175282575e-06	1.16748026954309e-06	0	6a994e	-0.0197296015892493	0.0	1.699614134619963
P_distasonis	0.509433620642872	0.5068244850877016	2.317917374879527e-08	2.157800284572085e-08	1	83c5be	-0.8397836334171992	-0.855090815583254	271.2968613064564
R_obeum	0.8963538566542569	0.9585600182846088	5.038998008722728e-08	5.045695461643549e-08	1	83c5be	-1.0292306860996467	-0.879124524470384	5938.045441744735
