sampleID	measurement1	measurement2	measurement3
1-0.0	2095963.424048149	2106671.602520302	2094458.7370231485
1-1.0	22102425.93748885	22041363.49093063	22060207.49153054
1-10.0	117813004.97661951	117585112.89159289	118024776.4446984
1-11.0	184682544.3863636	184211333.57867646	184549049.5484378
1-12.0	48012527.637725726	48056681.27712721	47925721.16041418
1-13.0	131270969.5485658	131017951.47558805	131969715.16349828
1-14.0	139786305.97734976	138666732.25701365	139130791.91254053
1-15.0	192221375.49468976	191368699.7899191	192637638.52715197
1-16.0	89702076.6891409	89283711.1184609	89520007.60942298
1-17.0	109352748.55148625	110032550.51157382	109748806.98634456
1-18.0	125013861.93812831	125521839.5406329	125879746.41687897
1-19.0	92933141.67562068	93206020.97115119	92792302.31098521
1-2.0	71357898.39297062	71177591.85569364	71515254.29989639
1-20.0	259296997.36357263	258239335.87700444	259528799.62974584
1-21.0	163433555.04412916	163018828.0146975	162780292.820433
1-22.0	84668472.50599127	84223167.09827879	84770408.05923313
1-24.0	75383715.0522076	76324956.26594588	75492689.94113605
1-25.0	69023857.40670921	68248953.60026228	69166347.08989854
1-26.0	93361629.28206757	93624913.06088498	93269015.06079315
1-27.0	81671751.33609122	81147193.15679197	81710215.58673474
1-28.0	87647079.87644084	87601352.86477272	87144156.13569212
1-29.0	124933480.52333613	124316307.91613834	124709778.33396564
1-3.0	56282530.2425514	55951130.554074235	56438985.174223885
1-30.0	83985508.1350729	83506708.30653414	84360282.49969701
1-31.0	90694968.33827078	91490810.40650949	90503459.19025667
1-32.0	137642149.8642397	137550625.80247095	137714215.1849004
1-33.0	91607597.75069775	91256877.05755487	91712054.83706611
1-34.0	89359650.5257329	89607975.17011893	89449671.41386016
1-35.0	94897734.67335789	94902645.30589671	95154325.61443888
1-36.0	110221228.8134175	110618043.8421264	109219275.06092218
1-37.0	107384823.92832342	106405336.52933364	107358340.64538229
1-37.01	107384823.92832342	106405336.52933364	107358340.64538229
1-4.0	70279622.6162296	70386308.45538162	70363618.5726707
1-5.0	86048280.11318183	86380725.4221068	85617896.5828194
1-6.0	97303557.28444535	96495160.16192934	98117981.10512264
1-7.0	133979198.4195096	134279442.6442218	134087426.32511868
1-8.0	99327966.06148346	100170357.3899834	100104415.12875643
1-9.0	156850767.02699757	156839114.81616035	156230796.31536248
2-0.0	5425033.977196027	5447314.752783177	5400423.307262082
2-1.0	36772061.77613847	36895353.0662589	36813292.8587524
2-10.0	206129937.18524846	205400746.66031817	204399797.55133107
2-11.0	119414784.81502901	119438528.49529622	119543135.16376527
2-12.0	90713746.21911389	90003006.41647492	90757841.82281153
2-13.0	155205998.6131413	154855773.9203881	155994185.33453348
2-14.0	131168296.96446775	131342546.16046904	131628068.95857932
2-15.0	183614388.5768658	184278246.85205227	183231114.33514664
2-16.0	176472996.5993279	176494713.47680378	175504603.98220268
2-17.0	105968274.82361817	106349751.9925399	106875524.97500429
2-18.0	94427327.59535488	93906605.16396645	94053341.07265435
2-19.0	90984061.97362298	90937797.81796974	90508431.61814621
2-20.0	212125811.547498	212146259.82292786	210975181.6873706
2-21.0	168194525.28060582	169749980.88909805	169134148.46630675
2-22.0	268821717.8858531	268533854.6436852	268124259.66402906
2-22.3	165765323.29864508	165351725.02700254	165140632.97610477
2-24.0	76930490.5245527	76938703.32517062	76983453.25378762
2-25.0	77315956.229143	76960645.55477709	77235955.5882265
2-26.0	107943157.52910379	108047189.82457373	107577178.70338668
2-27.0	121376494.36413063	121154948.75196202	121834078.56934221
2-28.0	71938897.56762478	71294566.92268178	72322085.67794098
2-29.0	119181977.12356415	119147064.81857923	119769137.56761375
2-3.0	64406141.15387646	64303882.52722593	64653112.83636588
2-30.0	114022960.1163125	113092291.43098933	114252502.89070176
2-31.0	75963723.00350395	75938224.20187789	75289207.68293221
2-32.0	128153153.87486473	129107482.19377562	129222752.65209158
2-33.0	133605529.88902447	133953775.20663202	133807267.0313774
2-34.0	123293016.53097753	123670248.27842332	123667923.73338546
2-35.0	82841772.02263987	82286112.19309053	83303599.29549707
2-36.0	127172672.48240602	127475914.68279772	128084088.82441026
2-37.0	57376701.72604979	57419289.4628108	57496733.215538085
2-37.01	57376701.72604979	57419289.4628108	57496733.215538085
2-4.0	106836794.49824128	107119401.98528232	107069456.27581711
2-5.0	74033420.55863112	74189863.77108654	73811607.44392054
2-6.0	147517319.20626158	146514363.16958824	147541725.76316753
2-7.0	139145866.24581254	139117062.48687497	138551601.20306438
2-8.0	122528005.88579136	122063703.85955714	122086941.49699286
2-9.0	205011059.1029646	204959720.13689688	204095095.92993596
3-0.0	2427457.6616512686	2416565.6478733644	2425563.9547032584
3-1.0	49093583.154405	49415752.519939646	49351101.87269435
3-10.0	108178814.10594244	107714201.03428416	109893975.5586144
3-11.0	235217805.66829944	234160569.66096666	235440674.11289424
3-12.0	97353567.94554111	97389874.20952737	96697203.8197535
3-13.0	98356036.6522213	97826340.67447944	98978130.38600026
3-14.0	162238828.85534948	161894344.4711267	161994834.73605928
3-15.0	87447045.86728552	87084156.1061399	87158204.51719637
3-16.0	68725009.03521091	69209923.09941617	68797118.57154238
3-17.0	147442048.95196104	148021351.58347243	146527447.78726715
3-18.0	116052719.51638298	116019372.04684694	116181806.79226007
3-19.0	127909072.6419283	127658871.59020187	127852552.48584506
3-2.0	56690556.924510375	56957262.6424621	56718442.41614256
3-20.0	80417353.5245668	80580280.7234514	80570715.95334058
3-21.0	233944740.94691578	234527324.65087336	234023688.2400964
3-22.0	110390712.17732753	110376255.27865778	110399730.0410317
3-22.3	217552430.23622215	215716037.50952494	217861696.8090194
3-24.0	54673134.41877239	54642390.079862304	54786690.69013387
3-25.0	55500537.63444623	55352770.250441104	55214298.478906244
3-26.0	72660786.6576499	72895137.7756862	72141265.20880167
3-27.0	58193981.26708409	58488396.96503861	58176046.44881684
3-28.0	129682285.06815362	129255662.09341559	128753283.00698914
3-29.0	75728246.6455816	75905596.60831401	75761389.66967763
3-3.0	58274718.7447068	58780508.04653169	58548244.795471095
3-30.0	90024016.60964787	89723465.70441228	90297289.76583028
3-31.0	52749840.84911278	53193446.369660385	52473386.73839881
3-32.0	81013139.17643653	80667785.89695305	80664676.36769304
3-33.0	82242070.08516994	82251511.37431918	82377070.97573246
3-34.0	79654391.33518736	79649952.35055076	79494565.67312708
3-35.0	59872413.798501186	59875856.13295743	59777619.214216955
3-36.0	86457237.21623434	86095120.57033402	86715271.64246015
3-37.0	17578916.175545644	17526954.384418275	17492139.025418025
3-37.01	17578916.175545644	17526954.384418275	17492139.025418025
3-4.0	115953923.30317585	115566799.3688134	115721299.60927778
3-5.0	157548490.9723845	157806053.28993645	156918232.0385816
3-6.0	168077538.05319643	168354895.50078642	167200904.8636942
3-7.0	192716305.47394353	194861184.31295985	191890440.7638285
3-8.0	79901692.18734755	80449413.8952121	80172344.05596599
3-9.0	96037539.26711538	95792718.81518064	96062422.78056416
4-0.0	3419115.023987258	3424668.8569082865	3404085.2674145172
4-1.0	59204238.1624867	59499406.21454117	59135827.189408354
4-10.0	94664976.01376571	94679460.61860062	93889287.74166618
