Day	B_caccae	B_cellulosilyticus_WH2	B_vulgatus
0.0	2466828.1050539115	415016.7244730572	496703.46594845067
1.0	21149323.772724766	6322130.640485486	10142707.002234729
2.0	40990731.33201154	27249075.14059271	15193551.891962633
3.0	33192473.184404347	26580156.034765188	12098636.032154161
4.0	44909855.896672726	46226989.14334277	21205945.204762403
5.0	40316478.70552176	39652449.42967211	21946655.337232105
6.0	44980288.60341029	53097108.36335702	32257129.470305312
7.0	56824339.541883565	68808891.53206377	47508505.14931567
8.0	46916713.48705668	54230903.92140003	36408664.90179565
9.0	43871164.473545946	62508401.1145261	35293825.65395619
10.0	44647355.139306486	61274106.56599045	28627531.13849599
11.0	57604015.83448599	84659017.59019874	30519488.90416634
12.0	37800547.66068599	58845371.34162013	22455220.210115436
13.0	39631064.0609342	66982029.19898086	28729618.863303747
14.0	31716692.00350776	60715222.877426505	29961661.044873595
15.0	32105247.834296595	81416809.05608034	44849427.14067285
16.0	25420013.31943732	61095205.35683883	34592692.19458465
17.0	26638483.48876012	81297799.52078779	44213829.86110984
18.0	27152636.888156544	55660026.6752991	31106775.21794843
19.0	24532344.307676904	73813771.88266866	37300435.26369311
20.0	39567644.266733184	79688847.90865919	46214772.82714348
21.0	32586965.24282304	85816272.70723401	42067692.93862412
22.0	36897485.6795096	66464696.476494595	36693517.26644101
22.3	38643370.150857076	80570338.70186682	51252250.633667566
24.0	35293921.04863627	25393456.4745513	23018652.51950389
25.0	59272393.51121638	21782345.826374386	17098652.099256225
26.0	74071580.40282397	27157976.20389181	13221429.578505082
27.0	54781711.85449735	24125600.107571576	10794642.695896061
28.0	58999088.59670571	25872660.619158685	14694391.250584519
29.0	64384608.158121474	24686472.726632643	19956010.864544153
30.0	58237684.29080192	23006744.791316796	20526414.133132476
31.0	45290362.36879694	21901009.5398614	14609873.475152077
32.0	64785095.570065424	26652155.205341887	23934877.24779413
33.0	57284456.9141163	22323356.092986714	19982950.923578404
34.0	63959752.26538209	23952567.40332192	20748359.60498674
35.0	52008739.24476152	20859057.47296258	13444632.892875921
36.0	69903237.38951847	24367585.95778283	20273008.232030682
37.0	37198045.71993405	11035041.839892622	13701563.084708411
