sampleID	measurement1	measurement2	measurement3
10-D0AM	31244459.1999897	66240726.2129611	21468915.1054152
10-D10	124971446228.467	147657087762.461	58661291490.9192
10-D11	143043915191.278	215455387258.745	293199726018.656
10-D14	72746835530.0065	195094250365.161	69494827730.5755
10-D16	93644844758.6041	116778847248.891	110718367253.096
10-D18	57604658958.3892	79849198300.3368	103215068318.63
10-D1AM	8787440405.90367	15034457656.9695	10812377331.4595
10-D1PM	49758144503.5742	109323703860.909	112121422711.849
10-D21AM	130502986978.105	230374879314.465	168095797820.392
10-D21PM	187967460114.663	195384947867.171	302999336667.619
10-D22AM	97459525397.1586	83610873385.775	116867666912.387
10-D22PM	44953091758.0408	89373328068.615	80746909001.4954
10-D23AM	31776736531.085	62190966542.5347	19965360808.4105
10-D23PM	64387754561.7975	110130083918.298	131946990169.853
10-D24	71753967749.0578	92923731268.1755	110991350187.977
10-D25	161542419185.323	257409482679.296	288858052198.63
10-D29AM	170257410309.671	202570016525.152	222722460781.864
10-D29PM	222020633338.734	446857147004.91	323145298012.666
10-D2AM	73858363536.0393	121884763804.298	153688988537.376
10-D2PM	134498564739.4	148701622943.514	183286745796.243
10-D30AM	149641930885.95	302850986505.689	311775341912.079
10-D30PM	350208242988.292	528188627977.708	394284680456.852
10-D31AM	390754810531.301	189299416171.523	359232401397.288
10-D31PM	129152913122.574	251326988905.26	147992330401.393
10-D32	495791896583.084	512647036393.993	272152058373.93
10-D33	286801621964.026	267185339071.352	208354106250.016
10-D35AM	349491308254.829	235032841126.876	415952609099.237
10-D35PM	522252912508	215089779815.956	659377817549.539
10-D36AM	132201965152.937	58854866903.0504	186682391232.406
10-D36PM	140876564510.476	247516157968.59	166281536561.178
10-D37AM	165043478391.608	72975534475.633	149522304289.593
10-D37PM	1085912648177.47	2019930187538.74	2649231668720.28
10-D38	68891172293.8085	64687738206.5575	84969329855.513
10-D39	47605005867.1042	96272432963.1184	72424731679.9673
10-D3AM	24466886723.5655	35589986699.9327	32560915392.9298
10-D3PM	129136185227.611	130630228824.942	82982897306.178
10-D42AM	59262492409.7865	49634039498.326	48720917739.6747
10-D42PM	30357673195.7765	36992498187.6845	48225640730.3758
10-D43AM	38763462633.9074	36416100619.2957	57808056012.0759
10-D43PM	54523382484.4815	29587640550.6428	41787381183.4268
10-D44AM	45099840901.3206	47835250424.0806	24911898447.9704
10-D44PM	28364496431.707	51586816497.9631	47423406084.6574
10-D45AM	40224320827.019	38683869633.2199	56338443423.4232
10-D45PM	14397264598.412	40514421315.8679	36843020276.7708
10-D46	12639740592.1408	27104862942.4081	26493263214.592
10-D47	20965239914.0876	38035727774.7194	39270497080.6614
10-D4AM	38545186769.5809	42397507342.3956	67740468784.2839
10-D4PM	35408038145.4512	49415783808.623	66338830307.4982
10-D5	14261652848.7268	11146950372.8157	21264931634.3027
10-D50AM	38795232057.4003	62218563887.7114	29660248020.0928
10-D50PM	31298115469.8694	42528431805.695	49924756743.765
10-D51AM	50156234549.2598	53234723274.2328	96632451807.5286
10-D51PM	56382440055.4846	31773865061.4693	43346659442.9791
10-D52AM	60959770593.2574	85621241392.3538	113276222309.875
10-D52PM	103797513549.456	60196304368.9803	90217695716.2136
10-D53	65839333748.2428	83715726749.755	96306705376.9234
10-D54	20087568483.6444	34169595737.7254	39792549028.3581
10-D57AM	61724841877.9177	71979481239.5733	89278449267.7991
10-D57PM	169939938265.67	309800255466.202	285168299069.197
10-D58AM	25185232406.3764	45924525603.4374	30081529492.1946
10-D58PM	11244261885.4859	21830862266.4067	22016044183.6833
10-D59AM	108480084184.059	123229043429.913	209260750245.769
10-D59PM	20396402076.8699	22979243260.7081	33605365447.0212
10-D6	50172004756.9826	87334557808.3308	89720928565.9389
10-D60AM	38276606070.769	119011560038.546	49011311012.6272
10-D60PM	28877560618.1067	40813022902.5661	41583989753.4875
10-D61	176191826346.956	214194259520.061	293990095520.195
10-D62	190038463801.92	149598537015.086	207695979240.783
10-D63	142204370965.843	397300901756.49	303322520374.062
10-D64AM	69409878379.4912	171641490161.66	211018608103.999
