sampleID	measurement1	measurement2	measurement3
M2-D10-1A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-1B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-2A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-2B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-3A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-3B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D8-1A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-1B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-2A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-2B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-3A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-3B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D9-1A	59563252958.998726	136371020165.8746	127689214381.69353
M2-D9-1B	59563252958.998726	136371020165.8746	127689214381.69353
M2-D9-2A	59563252958.998726	136371020165.8746	127689214381.69353
M2-D9-2B	59563252958.998726	136371020165.8746	127689214381.69353
M2-D9-3A	59563252958.998726	136371020165.8746	127689214381.69353
M2-D9-3B	59563252958.998726	136371020165.8746	127689214381.69353
