sampleID	measurement1
01-01	5.57
01-02	9.31
01-03	23.62
01-05	17.69
01-07	19.06
01-10	14.21
01-12	6.75
01-13	34.99
01-15	27.23
01-16	20.04
01-17	14.56
01-19	17.03
01-21	18.12
01-25	15.26
01-26	14.29
01-27	19.65
01-29	38.85
01-30	30.96
01-31	27.89
01-33	44.37
01-35	37.98
01-38	26.92
01-40	24.47
01-41	34.78
01-42	12.22
02-01	6.6
02-02	11.06
02-03	17.93
02-05	34.03
02-07	8.03
02-10	15.1
02-12	11.73
02-13	28.37
02-15	22.82
02-16	10.54
02-17	21.43
02-19	17.74
02-21	12.41
02-25	21.45
02-26	17.18
02-27	21.28
02-29	28.22
02-30	32.44
02-31	29.84
02-33	44.49
02-35	50.57
02-38	40.65
02-40	42.86
02-41	38.17
02-42	12.9
03-01	5.03
03-02	11.78
03-03	17.21
03-05	55.98
03-07	16.3
03-10	20.48
03-12	12.28
03-13	34.96
03-15	22.91
03-16	13.24
03-17	15.24
03-19	16.55
03-21	21.16
03-25	18.74
03-26	16.61
03-27	18
03-29	26.15
03-30	30.65
03-31	26.02
03-33	47.49
03-35	49.51
03-38	29.19
03-40	34.76
03-41	25.86
03-42	8.46
04-01	2.3
04-02	9.85
04-03	18.82
04-05	26.19
04-07	15.63
04-10	18.14
04-12	10.37
04-13	12.63
04-15	24.28
04-16	15.77
04-17	17.19
04-19	14.03
04-21	9.74
04-25	18.62
04-26	16.73
04-27	13.31
04-29	27.81
04-30	19.73
04-31	16.32
04-33	46.2
04-35	51.9
04-38	26.91
04-40	35.95
04-41	59.95
04-42	7.51
05-01	1.99
05-02	10.87
05-03	10.2
05-05	13.57
05-07	15.07
05-10	8.65
05-12	15.2
05-13	23.84
05-15	25.4
05-16	14.7
05-17	15.76
05-19	15.64
05-21	15.99
05-25	12.39
05-26	15.48
05-27	12.23
05-29	22.15
05-30	36.09
05-31	31.99
05-33	43.11
05-35	41.28
05-38	32.63
05-40	47.87
05-41	59.34
05-42	8.86
06-01	6.48
06-02	12.63
06-03	6.93
06-05	18.06
06-07	20.11
06-10	10.97
06-12	15.36
06-13	24.83
06-15	23.22
06-16	12.82
06-17	15.99
06-19	22.85
06-21	14.82
06-25	14.09
06-26	17.71
06-27	18.79
06-29	29.51
06-30	31.96
06-31	27.83
06-33	40.45
06-35	31.16
06-38	20.64
06-40	26.99
06-41	47.12
06-42	11.32
07-01	5.55
07-02	18.01
07-03	23.39
07-05	23.83
07-07	22.04
07-10	18.7
07-12	22.78
07-13	32.51
07-15	22.59
07-16	16.32
07-17	16.15
