sampleID	measurement1	measurement2	measurement3
08-00	134949392.41243756	142965587.34472844	144479030.70328778
08-01	306826267.7899202	311688583.72594476	270473692.47319293
08-02	218723837.8495589	228794526.65230745	228173279.6129382
08-04	80755657.77492486	82042610.83814844	71712622.82929386
08-06	85631871.73921566	89300472.19224991	87350927.51866105
08-09	126880282.44501145	122750166.88716877	134650878.60218507
08-11	306180070.3705619	290346843.066671	307172952.73077375
08-12	265495737.71710536	274543759.6898611	248508136.66268274
08-14	274072247.0539904	263062632.4557396	266049724.77139378
08-15	249709052.07255945	241099711.00461712	246442290.26118088
08-16	291089337.62392175	284459304.88817024	288436861.95398027
08-18	336185139.2652807	336478950.94083464	332774594.13179934
08-20	267804792.89186352	263064729.58745253	266333436.14409786
08-24	498862541.88209087	464566957.0221618	504187401.87411284
08-25	580713656.5482084	562025756.7416681	545621895.264846
08-26	533200843.72941023	473924821.8935755	526748584.8551078
08-28	510092923.25227284	526039230.1804588	548815637.1846308
08-29	378279948.7964139	347978634.3998227	371004766.2478576
08-30	326839291.4383637	308791498.0316072	319586137.72828287
08-32	340821650.8085027	341710600.22991675	359195300.05596083
08-34	283242991.4092091	272769189.63753736	246999435.38601506
08-37	235227082.89871874	253375024.0061024	249121695.00771934
08-39	379270792.3071895	354753649.0826577	367287660.359164
08-40	325977365.84843194	330329992.79533094	328649216.06020135
09-00	120266058.77875409	120029839.29245692	120845268.27139749
09-01	290032315.1721736	273093072.09780157	303699625.70184636
09-02	107932628.7640817	110756560.04118581	106488518.54384978
09-04	93937369.1977186	93131638.64519168	90752771.28929903
09-06	56745334.23646632	58935109.875924625	60427668.89536069
09-09	106386006.3931025	110766472.3025191	93810255.85186315
09-11	230913803.18113405	255889855.1924618	231148575.34274074
09-12	188380249.51223388	200969022.94197896	175684123.14029604
09-14	393468697.8019743	386205622.95060664	378485933.334077
09-15	296547166.56908816	292997805.7267992	326368790.0756402
09-16	240710512.14250314	253945493.3679234	240173782.745433
09-18	319797020.81738013	330274590.26411855	322916156.21741813
09-20	515190911.68968725	531680408.9162637	469298662.09651494
09-24	558607132.5868342	513444973.6152629	538244655.2679816
09-25	821026116.7795362	820027497.6069585	829095054.7517679
09-26	661353794.2100604	636948817.1076862	673084811.5283421
09-28	384636706.91522884	390020170.7132567	396500567.5563345
09-29	437358589.4264169	435212243.62812203	437547263.7114321
09-30	416461250.84808534	435413963.1760746	427435092.440847
09-32	310569291.47286755	315495203.28958005	317615827.8273909
09-34	272610853.6977669	283328930.54961455	247670498.9233045
09-37	145872779.0551796	142470886.56291565	146142685.42997843
09-39	208139104.21286547	198310294.3286645	216130630.17628485
09-40	265945828.85052165	260493278.57408896	273789632.7428936
10-00	106408472.12555166	106317916.31385463	104472589.123631
10-01	187842140.24826786	191403173.92254347	180275609.87742126
10-02	119915597.49853054	133461916.63632412	113210445.36879253
10-04	82026627.48452945	81853316.90263821	81489131.55527642
10-06	116942808.76514432	111353264.09601319	123568085.94869359
10-09	179318749.2686331	176216698.30422536	161818995.75387964
10-11	254168225.96784016	248276657.6457587	245782050.45403036
10-12	220455081.08279634	225762332.94982597	207891318.94632235
10-14	262108514.20623234	241915713.39875838	272395716.6866001
10-15	285892491.3907652	286796797.84737927	277968843.3836475
10-16	262758348.19207412	264814518.16192624	256575149.50938717
10-18	334524572.4078823	338408085.5006881	330895824.3020257
10-20	365493952.2386137	354578181.6995246	373633379.21711093
10-24	562734959.7470454	556040615.9967484	551694409.3930994
10-25	429864480.49776775	399256820.35592	364393045.40909505
10-26	418992442.81232786	408657577.6614369	430374621.64140004
10-28	247896315.81829602	241167647.82308468	253338172.40293938
10-29	283620384.9768369	289520398.6913517	280507069.42816144
10-30	330499005.8778947	311393148.66136324	312585354.6045294
10-32	214409243.6148601	222784048.3199103	218180488.98735717
10-34	203800873.71042994	219029736.50613368	207665300.36425963
10-37	210250066.23624238	188489341.80538613	205308844.00018883
10-39	192805038.31358677	196914279.8595454	190715692.33918294
10-40	221092718.54968965	228575690.43333793	210810177.05870098
11-00	185726978.78635654	179807516.1402377	184068538.16047764
11-01	295083593.00880474	289222173.29014134	272208279.91612864
11-02	119857881.37737904	119061542.1520903	122358828.86476812
11-04	116879127.65296389	115138850.74258974	111360279.38343942
11-06	158490247.8800422	156041470.77692088	160377099.22609028
11-09	84709873.58540744	77611170.05726373	78754926.54026622
11-11	209578758.04903328	221653968.95943055	203395580.61909956
11-12	321617853.8171509	338979084.5427497	319841085.550809
11-14	415699930.6010383	398794157.2958107	381182290.77387774
11-15	301989100.73037034	279846892.5282594	303727770.8633999
11-16	256512772.85537434	263195762.67019635	251649963.22159
11-18	325341054.75261366	315974681.4819712	296998054.5951132
11-20	307617468.1643261	309800831.7992588	287572456.34314936
11-24	581900148.2514501	572609285.5875685	599506121.5833172
11-25	447868633.53415334	463354559.3080393	467923205.3092635
11-26	614915211.1227322	636275801.9401606	610859579.6687716
11-28	405657974.7433235	390940756.5919934	413867717.5896128
11-29	366303651.2359605	340967087.84348905	370403386.96331984
11-30	392208013.41970706	361165957.21047866	398672052.169597
11-32	273738358.3415723	282092570.80169	291339515.8891561
11-34	330368547.5877707	310730462.27375144	305475303.9860134
11-37	396089543.1052397	386052310.19461817	409486494.22572726
11-39	274366050.6953598	266185634.31016648	269125536.27175254
11-40	262550811.17321965	261860731.85938203	259606842.91818917
12-00	67634380.93763328	61086426.63810981	66612257.26723852
12-01	208205949.72633258	210171191.07800576	204300556.64075467
12-02	105406714.68340293	108167796.26712732	98944249.07674553
12-04	93912029.87514576	94327224.75915381	94772917.69304402
12-06	147130203.15839478	144843165.8783382	159422512.55241123
12-09	76516833.6214982	76889471.23735294	76302077.57218072
12-11	271934411.32100123	277360132.97557354	271915579.28196007
12-12	281103399.740754	242134137.24434802	271443294.9415898
12-14	412309052.3688121	452631069.8853791	409887261.4232567
12-15	452963199.2169075	461798095.18880135	463521011.00210184
12-16	303013500.776208	293129070.3519313	297404077.87152046
12-18	340569520.62638855	333912180.44764304	332841929.39041865
12-20	420441075.99575996	430820542.2023975	428918524.8546185
12-24	479412851.5476303	476629765.5232114	457407687.3259666
12-25	428054428.0610293	384592254.13959813	433458543.0255658
12-26	336919905.6503282	371698342.65357614	350739042.77713954
12-28	428132572.1983472	425766269.4026755	457244485.5586786
12-29	401182847.65081584	421646637.3299058	399369862.0980277
12-30	369655115.25093037	356864126.938824	394932081.0158106
12-32	376957588.51988566	405915037.99117476	396454021.3373457
12-34	249485503.93257773	253057433.9086379	237058473.30222878
12-37	208411327.56669447	214755825.15788573	195719718.46190783
12-39	253716793.2842631	240456876.67284375	249848073.47102675
12-40	287981316.2050656	305420676.9369851	302797026.0774443
13-00	228005374.70437318	235869487.15850505	227181283.39212435
13-01	159597690.23838562	169986272.80259186	154804512.29706496
13-02	136827043.97529563	132530075.76812491	147446486.2681385
13-04	156833010.63337576	153060964.07415062	159082815.36426535
13-06	142869768.61906907	159327770.89485478	126292630.2570211
13-09	121800767.63610901	115345230.5904137	123732288.02342893
13-11	193265876.39519778	191952154.49283475	198291181.65200457
13-12	184880729.03751144	195390194.23523325	186966263.66330093
13-14	362585865.41084546	364357550.0104023	370738827.96326274
13-15	118537363.77324288	121992453.3932362	118138630.10684438
13-16	281659908.0764754	276034469.23330444	263092945.10384834
13-18	423378046.44037825	431211723.38391036	415530649.6058231
13-20	411865148.88843966	384959505.0726041	392391839.36703706
13-24	584719463.0033787	633196527.0321674	557449874.7793303
13-25	368755078.06903815	366576398.4847212	345466934.68505114
13-26	365412278.70126116	352985005.32899016	373679532.22270715
13-28	454761006.54676753	469913258.60329604	456986974.0280123
13-29	228242590.6554655	222984796.76347557	223128069.48445097
13-30	549342701.1759405	512694443.538577	531507248.6161706
13-32	241193755.06020233	224952762.4487712	240911279.72743765
13-34	257524643.05529436	266457827.230688	271420604.9125106
13-37	315953373.4883136	313432485.18324155	284291437.6628048
13-39	165351636.67162505	164246248.0857888	168467494.1489152
13-40	309155261.0972005	325814769.4838246	300719774.7066337
14-00	50983181.9929165	48110723.728808485	46179072.837123424
14-01	192378905.73807722	185350556.4109126	173663294.23656294
14-02	222076332.5196703	217802697.6954779	211940951.98156753
14-04	306288343.307199	307733282.90621537	309650004.2163966
14-06	125493144.72129403	125228533.31929825	127959479.90422103
14-09	53109271.25146119	52347452.7655009	50615839.89928779
14-11	245499861.7404509	244743398.08074874	257983787.3794053
14-12	213066742.9142292	211923583.6283856	228226265.85539863
14-14	387519387.1560875	373576354.5737664	395193948.6892432
14-15	358018962.93476903	343465617.6030006	347432294.44449323
14-16	282068832.06220627	285940457.4824644	297927012.36836517
14-18	379572826.21876156	362664468.42008483	393909210.1745826
14-20	410437125.2961971	386686047.01976067	428237935.5150535
14-24	421943810.2323935	415355321.11509216	408094271.01756114
14-25	454572804.1730763	450989247.2899169	390147234.6708689
14-26	441905874.69818264	491768843.249458	488676994.0932828
14-29	400709258.69867134	386590262.4415163	368434564.15366524
14-30	288770663.2428507	302389964.5008694	288254224.751151
14-32	243200006.1785224	252285816.55327672	272149870.384829
14-34	287829758.87205744	270719071.8836354	292587250.27441543
14-37	315968724.2749203	328184912.11550444	330965334.13855344
14-39	282033480.4123469	265338781.54502097	260847173.7412322
14-40	397745518.54501504	344861826.50988895	362392565.30947024
15-00	90745261.64388816	93496292.83777766	88328248.93205744
15-01	323637360.1640797	295223770.50604224	341287728.3966824
15-02	308603624.7873238	315561625.2600651	303260933.05609536
15-04	132096930.64376238	127579143.63786384	126848479.69418256
15-06	118198481.04821101	128006300.21481061	119368452.6966473
15-09	117375820.74338046	123646679.1292171	123725472.45637734
15-11	224434211.31403965	219346447.04862124	208219510.61529046
15-12	223713998.88618407	216020053.75880677	210173228.1842346
15-14	379246273.0431563	356224556.5276884	364291279.27133626
15-15	175578139.97967762	171707321.1970338	185187868.46879393
15-16	254679047.35340703	251109013.83171284	257669253.47974184
15-18	557176940.9840428	547016999.3110034	616576276.7345594
15-20	606223307.2786384	610973183.7489647	634608068.5286525
15-24	465063362.6391942	478515820.29383695	464247288.5908229
15-25	512095993.2184086	521048825.54026675	544488057.8181418
15-26	594101818.4229232	571402853.686441	600384356.4156744
15-28	619102003.6654902	574595024.5513043	597281092.5772928
15-29	471585589.43308866	503760267.2274699	487618906.3192386
15-30	459069413.81511253	443244162.16478014	443086300.37452024
15-32	404463341.8740878	391271899.408448	398590592.7810039
15-34	333479463.47306955	324789166.8613659	355618876.52591425
15-37	364130569.1933	330574670.975231	362286584.93204576
15-39	365873573.2338698	357129670.39531016	351181162.7739353
15-40	123351147.77515067	120392843.01540545	120487318.4154591
