name	01-00	01-01	01-02	01-04	01-06	01-09	01-11	01-12	01-14	01-15	01-16	01-18	01-20	01-24	01-25	01-26	01-28	01-29	01-30	01-32	01-34	01-37	01-39	01-40	02-00	02-01	02-02	02-04	02-06	02-09	02-11	02-12	02-14	02-15	02-16	02-18	02-20	02-24	02-25	02-26	02-28	02-29	02-30	02-32	02-34	02-37	02-39	02-40	03-00	03-01	03-02	03-04	03-06	03-09	03-11	03-12	03-14	03-15	03-16	03-18	03-20	03-24	03-25	03-26	03-28	03-29	03-30	03-32	03-34	03-37	03-39	03-40	04-00	04-01	04-02	04-04	04-06	04-09	04-11	04-12	04-14	04-15	04-16	04-18	04-20	04-24	04-25	04-26	04-28	04-29	04-30	04-32	04-34	04-37	04-39	04-40	05-00	05-01	05-02	05-04	05-06	05-09	05-11	05-12	05-14	05-15	05-16	05-18	05-20	05-24	05-25	05-26	05-28	05-29	05-30	05-32	05-34	05-37	05-39	05-40	06-00	06-01	06-02	06-04	06-06	06-09	06-11	06-12	06-14	06-15	06-16	06-18	06-20	06-24	06-25	06-26	06-28	06-29	06-30	06-32	06-34	06-37	06-39	06-40	07-00	07-01	07-02	07-04	07-06	07-09	07-11	07-12	07-14	07-15	07-16	07-18	07-20	07-24	07-25	07-26	07-28	07-29	07-30	07-32	07-34	07-37	07-39	07-40
B_caccae	6581.3	16753.9	20944.5	20945.4	10145.1	8934.0	11038.2	9829.0	18002.8	24973.4	49181.8	80075.2	99051.7	32333.7	61652.2	77521.0	48066.4	17412.3	14984.0	8576.1	9629.1	14596.1	11217.8	10772.8	26571.3	10598.1	25325.3	6690.9	7430.3	16347.9	16305.7	4601.4	14657.3	58689.3	46103.7	61441.9	102087.5	72408.9	71570.5	93495.8	27932.2	16260.2	4598.9	8202.0	11094.5	7885.4	9978.7	7168.8	22830.6	27859.5	8952.7	17602.4	7182.9	3311.4	9967.2	5517.6	21187.3	40401.4	53797.7	50141.8	90276.4	58006.8	31195.3	43592.8	103697.9	26727.3	7674.2	13463.0	10438.7	9262.0	7332.7	5785.5	28112.6	16910.1	21328.1	11743.0	10999.5	10565.4	7458.9	3334.2	19357.5	29204.2	44410.5	46908.8	38246.9	14924.5	32701.1	19905.6	19487.6	28008.3	10705.7	5327.0	7758.7	13797.4	9147.5	6140.5	15914.8	19990.9	7816.4	8830.4	4591.7	22838.7	4571.9	10052.6	18868.4	33036.0	63493.1	44729.4	64454.0	12557.9	67846.0	42970.7	4850.7	36276.5	21120.8	13030.1	8267.5	10877.1	12838.3	10399.0	3870.8	20160.8	15900.4	18050.3	14137.8	31839.2	5509.8	7356.7	29981.9	31625.0	46180.7	37567.7	51193.2	86221.7	43071.5	79234.5	38708.2	7508.1	11752.0	19811.4	12856.5	14236.8	14990.5	17951.3	15776.1	24965.1	20630.4	9329.8	28764.1	15243.9	13782.8	3530.9	25091.3	33931.4	83253.5	32923.4	48887.3	91454.3	96502.3	30477.2	20377.7	3169.0	5589.8	9530.1	13254.6	6922.3	668.1	1067.6
B_cellulosilyticus_WH2	8823.2	40690.9	63087.5	120582.5	45214.9	7183.0	33209.8	44957.8	47547.4	21869.8	28976.1	49487.2	49755.8	12698.4	28815.4	37167.0	61030.8	54921.1	42187.8	33509.1	39294.4	62254.4	63425.8	54065.2	33430.3	12627.2	81799.5	37993.8	35459.1	54545.4	52896.0	31274.6	32803.7	22827.9	28061.0	41820.1	33268.5	21876.3	26837.7	33469.1	47741.6	42964.1	14844.4	40649.0	63555.2	46837.6	93121.0	68452.5	24607.6	69784.8	28554.0	110076.4	34165.5	14017.7	36841.7	39836.0	26151.1	23709.8	27415.4	24672.0	36196.7	27792.2	12990.6	19721.8	99882.6	35056.6	21469.6	45629.3	51565.1	46436.4	70856.1	66852.7	33309.7	44651.1	68287.5	62275.9	47537.9	81995.5	29375.3	29582.3	31366.2	20085.8	34364.3	38940.1	39733.5	7892.3	19256.9	11251.9	24438.6	69549.9	28530.5	24048.4	36718.6	51780.0	71235.6	65548.0	16502.0	41935.6	22980.3	18988.9	20726.0	97673.7	13248.6	35353.5	19041.9	22462.3	33323.7	22503.3	35783.6	5370.2	35230.1	24234.0	5244.4	72771.0	57905.0	48506.8	26139.4	35319.7	64571.8	58232.5	4496.4	30977.5	52307.6	86293.7	56797.1	62059.5	16325.9	28556.8	32255.5	17114.7	20876.4	8811.9	17559.5	29353.9	17880.9	34806.9	36565.1	11117.4	25486.0	71272.3	48552.6	40731.5	52657.0	65846.2	15098.7	60226.9	23183.8	21099.7	107891.9	57916.5	50067.1	25081.3	20516.3	19828.5	54934.7	24053.0	33410.0	56372.9	58770.9	19112.6	30535.6	12024.1	20734.7	54911.2	45867.0	38279.6	38299.6	53558.7
B_ovatus	10751.7	27653.7	25690.8	29712.0	11304.7	904.6	12536.7	14105.3	13155.2	5452.6	1569.1	1399.3	1261.8	527.0	1155.7	1475.6	9818.7	9395.7	9129.6	7658.7	9142.3	22747.6	15386.5	21426.8	36288.7	7893.8	30324.9	7527.6	8456.6	13977.7	16723.1	8084.2	7002.6	1566.6	818.6	1156.0	2741.8	2809.2	2534.7	3652.7	10911.7	11323.0	3817.0	9641.1	15846.2	28134.3	37866.2	28195.8	27054.9	39176.8	13734.7	23363.5	10143.2	4252.6	15795.5	11733.2	7292.6	1552.0	756.3	571.7	2857.2	1890.2	1190.3	1816.9	15035.6	9901.7	6327.0	12469.7	14152.0	25461.6	28370.0	29616.0	45754.2	24456.8	28501.5	17766.8	12962.2	19647.4	11582.1	10609.3	10758.5	3939.2	776.5	365.0	631.8	434.4	1104.9	1040.5	4275.4	15779.2	6304.7	4050.2	7409.6	27302.3	18202.5	20645.4	23497.6	24421.7	7882.8	12538.0	7078.6	30825.4	5535.6	13555.5	9207.2	2465.5	471.8	229.5	667.9	303.7	1670.9	1017.5	857.0	17104.1	16315.3	10662.4	8392.0	16021.2	19697.5	22284.4	4661.6	17386.7	19030.1	20185.3	16016.2	17430.1	6826.0	10482.0	7543.6	842.1	558.1	510.9	1108.0	2639.0	1062.9	1694.5	7219.1	5171.8	9516.6	16610.0	11803.1	16491.1	23066.5	28666.3	13441.3	30532.9	7667.6	6391.8	28630.7	16916.3	17915.6	9018.6	7753.7	1458.9	1004.8	11128.6	1047.3	3311.3	3031.7	1254.1	4623.7	1437.6	4526.7	9463.9	21322.8	40689.9	12098.3	18857.4
B_thetaiotaomicron	4151.9	12870.7	24935.7	35765.9	13906.9	2423.5	9148.6	9462.1	10126.3	12373.1	19196.6	23941.4	27178.8	12765.9	19935.9	27230.3	45214.2	20584.5	11231.8	6951.9	9394.0	16232.5	12550.4	12491.4	21383.0	4408.1	33672.3	10113.1	11552.8	14827.3	15124.6	5994.3	10265.7	17087.8	30241.9	23625.6	37303.7	32813.6	17798.5	34899.0	20615.4	11856.3	3209.3	7680.1	11007.6	9106.5	21855.8	16681.5	13398.1	22184.9	10033.6	30809.5	11550.6	4389.9	12603.1	10065.7	8133.3	13872.3	15535.7	15557.4	35237.2	33202.5	8882.2	16825.8	69695.7	21824.4	5341.4	10676.0	12562.1	15319.2	15690.6	14389.7	20722.9	17334.3	27344.1	19686.6	16879.1	21726.2	8251.1	7819.6	11687.8	18128.6	17962.4	28793.9	22964.4	8688.4	12530.5	9492.7	17700.1	24024.9	6469.7	3227.9	7720.7	15247.5	14683.5	17562.5	7552.2	15597.1	7846.1	13001.4	7694.7	31926.6	4903.7	11126.4	9829.9	14971.7	18468.5	19096.5	23200.5	7719.0	25856.9	20419.2	8426.9	26469.3	18858.8	8285.6	3912.0	5623.0	13556.2	13944.3	2619.4	15169.1	19626.6	33108.5	20877.6	22438.8	5217.8	8146.8	11533.1	11998.0	17592.2	16736.4	16880.4	34221.1	9699.6	22925.3	37124.7	4502.3	8754.4	6872.8	4495.2	8726.3	14653.0	16010.1	9332.6	21712.0	20959.9	8748.6	39943.5	19851.1	13733.0	7502.0	12379.5	21147.7	31723.1	16444.8	27847.1	51983.8	41302.7	15472.2	26977.9	2433.9	4662.3	8762.3	16900.4	16838.7	5205.6	10403.6
B_uniformis	1023.3	1066.9	3261.1	7482.4	3394.4	771.4	3581.4	3552.0	4398.3	3415.5	4388.1	23953.6	17503.7	2560.9	5298.1	5942.9	9530.7	6294.6	6271.7	7915.2	6602.4	5987.5	2170.4	3123.6	1922.2	271.1	2353.2	1627.3	2905.7	4890.5	6522.9	2826.0	3141.9	2554.0	7579.0	12039.9	21009.5	8275.7	9227.1	13251.5	10721.1	8316.6	1998.2	5944.7	10448.8	9923.4	3906.5	3120.1	2088.8	1632.6	1135.6	5133.6	2283.8	1207.7	6017.7	4075.5	2464.3	2850.0	6235.2	10295.9	12546.7	5645.7	2690.1	4618.3	23866.0	7675.6	3339.0	3647.7	2633.0	5011.6	6518.1	7711.2	3642.2	1081.3	2669.8	3299.5	3677.3	5478.4	2930.0	2950.3	3222.1	2281.3	6109.5	14149.7	11704.8	1643.0	3245.4	1778.0	4317.2	9057.2	3243.1	1882.4	2371.7	4782.1	5565.7	7059.3	1583.2	976.3	776.9	2634.9	1433.0	6002.3	2020.9	5052.0	2861.8	2708.6	8183.7	15535.3	16777.9	1885.7	11553.9	6659.2	1649.5	10755.0	7698.4	3553.4	3354.5	6340.8	5027.1	7904.3	306.0	480.0	1481.7	3272.9	3688.6	4288.8	1788.2	2655.4	2778.1	1825.1	8176.8	19015.3	23377.0	11892.0	5609.6	10309.3	10465.5	3115.3	4756.9	5676.2	4324.1	6088.7	5127.8	4046.1	1259.4	1358.1	1748.6	1739.4	7137.1	3532.6	5143.3	2305.6	2673.5	2095.0	12280.7	4410.3	19027.5	28159.6	22569.6	6866.5	6683.3	632.7	755.7	3569.8	12036.2	10435.9	1507.2	3221.1
B_vulgatus	87112.3	27895.8	21950.1	33730.1	16341.4	6046.3	7601.6	8245.9	18523.3	16784.2	21574.6	26367.3	45462.7	18773.9	37331.4	51963.9	35062.1	18431.1	14085.7	10411.1	16478.5	20009.0	20305.6	16027.9	39410.9	9442.8	17733.8	13852.7	11946.4	18910.4	18466.1	9619.1	22626.3	23104.8	10894.9	31356.0	65534.1	49576.3	64740.7	76441.9	22343.2	16491.2	5406.6	13790.7	23208.4	15655.7	31841.4	18935.3	49359.6	31553.0	7926.9	33030.5	13349.2	4907.2	13087.5	10078.6	21724.8	19515.3	18296.5	27237.8	59600.5	40544.1	23279.3	37506.5	75157.7	16445.8	7194.8	19428.6	31854.5	20018.9	35870.0	31088.9	107408.2	17030.6	16306.8	16392.0	18072.2	26728.5	8620.0	6264.9	24895.1	19887.4	17531.3	26652.7	28349.0	9311.7	25876.8	15991.4	11226.5	18100.3	8014.0	9266.8	16531.9	16536.1	26305.9	21879.0	80496.4	18516.1	6397.6	10874.2	8092.3	39077.2	6319.9	13981.7	19275.8	18767.0	22207.7	20530.3	36510.5	6962.1	42785.5	28646.0	3110.4	26886.5	21116.6	21992.5	10800.0	14542.8	29700.7	26667.3	56210.4	17953.2	12832.7	27161.2	23507.1	29397.7	5166.1	9840.4	35343.4	14924.3	16955.7	26623.2	31616.5	50898.5	31010.0	62172.5	28368.6	9600.4	16795.8	40917.5	22395.9	15589.1	21561.7	20985.1	34704.5	23429.3	10129.1	10899.7	44377.1	17227.1	13140.9	8346.3	31176.4	17801.3	34224.8	35585.8	33636.6	53905.5	61067.8	20499.1	16026.2	6420.6	7619.9	16621.8	36623.4	22017.4	15913.5	20594.4
C_aerofaciens	81.3	1237.0	2356.6	2947.7	1385.8	89.2	1052.2	1050.4	517.6	1545.0	588.9	408.9	334.9	261.8	517.6	1548.0	1177.0	321.9	404.1	406.7	146.6	374.9	312.7	331.9	371.9	367.1	2099.5	652.4	1301.4	1354.9	712.5	429.7	551.1	1783.7	814.2	167.5	546.7	110.0	669.4	628.1	1073.5	308.8	131.8	295.8	155.3	197.0	326.2	305.3	555.0	2413.6	736.4	2496.6	1213.1	180.1	759.9	1148.7	364.1	938.6	846.4	229.2	489.8	366.7	100.9	388.0	6054.1	746.8	237.5	565.4	119.6	252.7	418.9	316.6	592.4	1919.9	2180.9	670.7	2247.4	2084.7	220.1	74.8	692.9	1172.6	1753.7	476.7	397.5	237.0	101.8	92.6	662.0	1173.9	371.5	12.2	87.4	276.6	163.5	264.9	100.5	1103.0	675.9	501.5	785.1	2193.9	333.6	743.3	515.9	421.5	561.5	345.4	579.4	114.8	986.0	237.0	70.0	615.9	1009.1	120.0	68.7	217.0	213.1	384.5	36.1	975.2	711.1	1492.3	2267.0	1172.6	103.5	352.3	537.6	268.8	367.1	177.9	446.7	1025.6	183.6	852.9	929.5	23.1	274.9	197.9	76.6	165.3	261.0	313.2	372.3	1198.7	1113.0	462.8	3793.7	1179.6	1922.1	699.0	392.8	478.9	582.0	991.3	165.3	1680.7	564.1	276.6	607.6	13.5	101.3	116.1	348.0	375.8	47.8	211.0
C_scindens	4595.3	3298.5	2936.9	3211.7	1514.9	382.1	1963.8	1199.9	720.0	2324.0	3328.0	2081.5	2930.0	1936.0	2737.3	8373.9	7372.5	1437.9	2269.6	1391.1	984.4	1319.0	1453.6	1199.0	6363.0	1055.2	3512.8	819.2	1152.4	2205.9	1770.6	937.8	828.5	3843.7	5362.1	1308.6	3656.0	1739.9	5075.1	5776.9	5561.4	1544.4	753.5	1683.8	1180.2	1016.2	1276.8	1254.3	10307.1	6544.9	1437.6	2856.5	1356.7	276.8	1623.4	1638.7	743.7	1404.7	3633.7	1851.0	3833.0	3082.1	940.7	1714.2	22901.1	3893.8	841.2	1646.5	565.2	1052.3	1155.9	906.3	9977.3	6125.5	4080.4	996.5	1873.3	2182.5	844.1	189.5	1220.4	3244.4	6038.1	4143.1	3241.8	1380.4	612.4	688.4	3210.8	4318.4	1436.5	150.7	531.4	1580.8	919.3	1540.0	5566.9	5647.3	1155.6	674.3	910.3	2657.8	607.7	1481.9	1263.2	1810.5	5774.0	2228.2	4121.4	1377.5	6799.7	1827.9	485.1	2828.4	3674.8	589.2	261.8	676.9	868.1	1264.1	1912.6	4426.9	1945.0	2289.2	2462.5	2150.4	362.7	1173.5	1527.6	1475.0	3663.2	1791.7	3501.5	8513.1	1480.2	5483.3	5611.2	200.7	1236.0	1186.9	521.3	586.6	748.9	971.9	5112.5	6351.4	3038.4	731.6	5569.5	1529.6	1945.0	1469.8	1190.9	2752.9	5627.1	2385.9	2169.2	10166.8	6918.3	2076.6	4258.0	101.8	651.1	671.7	1559.7	1342.8	231.7	993.3
C_spiroforme	32.9	720.1	1559.6	641.3	68.8	135.9	79.2	14.3	26.0	24.7	45.4	30.7	81.4	64.9	58.4	132.9	138.9	23.8	32.0	13.0	88.7	103.4	95.2	93.0	19.5	89.1	1432.4	155.8	47.6	261.4	131.6	8.2	20.8	42.8	51.5	32.5	81.8	94.8	168.8	193.9	76.6	30.3	11.7	22.9	96.9	114.2	88.3	80.9	8.7	534.0	332.8	159.7	68.8	26.4	138.0	19.0	17.7	11.7	69.7	57.1	167.0	124.2	46.7	80.5	298.2	81.8	12.5	19.5	75.7	161.4	120.3	97.8	38.5	771.6	2551.5	593.7	159.3	113.8	80.1	3.0	40.2	49.3	74.0	239.3	76.2	44.1	11.7	24.2	56.7	51.5	17.3	13.4	46.7	216.8	91.7	126.4	17.7	408.1	228.1	81.8	47.2	314.2	18.2	15.6	35.1	29.0	440.5	39.8	112.5	36.4	190.0	41.5	20.8	51.5	33.8	42.0	25.1	72.3	77.9	129.8	6.9	1549.7	980.6	828.7	165.3	224.6	10.4	17.7	42.8	14.7	79.6	55.0	87.8	222.9	46.7	145.4	117.7	4.8	25.5	95.6	58.9	53.2	67.1	100.4	24.7	837.8	733.9	238.9	592.9	246.2	38.5	19.5	45.0	47.2	346.2	80.5	64.0	149.3	470.4	41.5	74.9	2.2	19.5	56.7	141.5	175.7	14.7	75.3
D_longicatena	275.9	38.4	2.5	0.4	0.7	0.0	0.4	0.4	0.0	0.0	0.7	0.7	5.7	2.5	8.2	21.0	23.5	12.8	11.0	5.7	3.6	12.5	17.1	22.8	131.4	16.7	1.4	0.0	0.0	1.1	0.0	0.4	0.0	0.0	0.7	0.0	2.1	3.2	9.3	10.0	19.2	14.2	1.8	7.1	8.2	12.5	18.5	23.1	233.2	10.0	0.4	0.4	0.0	0.0	0.0	0.4	0.4	0.0	0.0	6.8	16.4	3.6	3.6	7.1	60.2	11.7	2.8	7.1	1.4	5.7	12.5	12.1	287.6	5.7	1.4	0.0	0.0	0.7	0.4	0.0	0.0	3.2	9.3	10.7	10.7	0.7	2.5	2.1	8.9	12.8	4.6	3.2	3.2	6.4	14.2	26.3	307.2	6.4	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.4	1.4	0.4	2.5	11.0	6.8	2.1	16.7	15.7	5.3	5.7	7.5	8.9	7.1	105.0	9.3	0.4	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.7	0.0	0.7	17.8	2.5	8.2	8.9	1.4	6.1	9.3	2.8	5.7	6.1	24.9	78.7	4.3	0.4	0.0	0.0	0.4	0.4	0.0	0.0	0.0	0.4	0.0	0.7	17.1	10.3	4.6	16.0	0.7	3.9	4.6	15.7	11.7	12.8	23.5
