sampleID	measurement1	measurement2	measurement3
01-00	949474195.6404079	1033220304.7531691	951823906.0349307
01-01	1447999540.069759	1476970912.7533257	1483753311.3159769
01-02	3677001944.999638	3856943018.5597296	3795275371.9637775
01-04	2667242315.6783257	2966092573.969621	2457780654.8032217
01-06	2928678848.8934927	3202152728.1352053	2898381127.886506
01-09	2336669703.963068	2222490923.250045	2439504073.859385
01-11	1057056835.3748423	1107271708.1726367	967307117.1938092
01-12	5226592990.140754	5187038863.945952	5327800861.036665
01-14	4154785701.620798	4133343091.1423187	3686216401.1504207
01-15	3332521365.3157253	3400937779.3295383	3162145070.1858654
01-16	2446996981.7334013	2464620690.92684	2451723423.921183
01-18	2858549956.3389745	3066405629.8306713	2621759812.1685476
01-20	3079125215.074794	3196291737.530957	2927399666.968282
01-24	2624706164.1900043	2640674222.480837	2431549443.3519883
01-25	2438967423.845529	2493095822.110972	2639954794.333334
01-26	3383856229.3720083	3440311526.9353547	3411642385.0440884
01-28	6257719655.122417	6725196054.242689	6435216831.216343
01-29	4664329590.889971	4616483302.865049	4612398087.865609
01-30	4292432537.5713253	4359623637.022776	4216578440.6625185
01-32	6803462088.262274	6512921689.157992	6253581045.305182
01-34	5781848784.799764	5043798731.585442	5697480809.741619
01-37	4054347651.568736	4186847502.441	3899979943.5364194
01-39	3665681971.552801	3824119381.038647	3822925784.6649137
01-40	5212178423.432463	5018763598.133024	5509559749.849018
01-41	1871657681.6250055	2084067865.4945197	2008904347.5606127
02-00	1035102019.6817088	959831177.3250622	1079225931.4027028
02-01	1737314812.7658522	1741289660.2617524	1685312295.1490073
02-02	2687577420.844908	2662423866.401096	2537624443.6721063
02-04	5087004012.230602	5476866712.89586	5282004946.283504
02-06	1224741564.9918349	1314720802.9609425	1246559896.135153
02-09	2322062785.491937	2340052668.0378666	2116729919.4405022
02-11	1787249175.6016319	1821042708.171753	1819015902.6527665
02-12	4245652437.561963	4057190951.389035	4418560841.051371
02-14	3570988473.826448	3217318405.975259	3581509603.8155
