name	01-00	01-01	01-02	01-04	01-06	01-09	01-11	01-12	01-14	01-15	01-16	01-18	01-20	01-24	01-25	01-26	01-28	01-29	01-30	01-32	01-34	01-37	01-39	01-40	01-41	02-00	02-01	02-02	02-04	02-06	02-09	02-11	02-12	02-14	02-15	02-16	02-18	02-20	02-24	02-25	02-26	02-28	02-29	02-30	02-32	02-34	02-37	02-39	02-40	02-41	03-00	03-01	03-02	03-04	03-06	03-09	03-11	03-12	03-14	03-15	03-16	03-18	03-20	03-24	03-25	03-26	03-28	03-29	03-30	03-32	03-34	03-37	03-39	03-40	03-41	04-00	04-01	04-02	04-04	04-06	04-09	04-11	04-12	04-14	04-15	04-16	04-18	04-20	04-24	04-25	04-26	04-28	04-29	04-30	04-32	04-34	04-37	04-39	04-40	04-41	05-00	05-01	05-02	05-04	05-06	05-09	05-11	05-12	05-14	05-15	05-16	05-18	05-20	05-24	05-25	05-26	05-28	05-29	05-30	05-32	05-34	05-37	05-39	05-40	05-41	06-00	06-01	06-02	06-04	06-06	06-09	06-11	06-12	06-14	06-15	06-16	06-18	06-20	06-24	06-25	06-26	06-28	06-29	06-30	06-32	06-34	06-37	06-39	06-40	06-41	07-00	07-01	07-02	07-04	07-06	07-09	07-11	07-12	07-14	07-15	07-16	07-18	07-20	07-24	07-25	07-26	07-28	07-29	07-30	07-32	07-34	07-37	07-39	07-40	07-41	08-00	08-01	08-02	08-04	08-06	08-09	08-11	08-12	08-14	08-15	08-16	08-18	08-20	08-24	08-25	08-26	08-28	08-29	08-30	08-32	08-34	08-37	08-39	08-40	08-41	09-00	09-01	09-02	09-04	09-06	09-09	09-11	09-12	09-14	09-15	09-16	09-18	09-20	09-24	09-25	09-26	09-28	09-29	09-30	09-32	09-34	09-37	09-39	09-40	09-41	10-00	10-01	10-02	10-04	10-06	10-09	10-11	10-12	10-14	10-15	10-16	10-18	10-20	10-24	10-25	10-26	10-28	10-29	10-30	10-32	10-34	10-37	10-39	10-40	10-41	11-00	11-01	11-02	11-04	11-06	11-09	11-11	11-12	11-14	11-15	11-16	11-18	11-20	11-24	11-25	11-26	11-28	11-29	11-30	11-32	11-34	11-37	11-39	11-40	11-41	12-00	12-01	12-02	12-04	12-06	12-09	12-11	12-12	12-14	12-15	12-16	12-18	12-20	12-24	12-25	12-26	12-28	12-29	12-30	12-32	12-34	12-37	12-39	12-40	12-41	13-00	13-01	13-02	13-04	13-06	13-09	13-11	13-12	13-14	13-15	13-16	13-18	13-20	13-24	13-25	13-26	13-28	13-29	13-30	13-32	13-34	13-37	13-39	13-40	13-41	14-00	14-01	14-02	14-04	14-06	14-09	14-11	14-12	14-14	14-15	14-16	14-18	14-20	14-24	14-25	14-26	14-29	14-30	14-32	14-34	14-37	14-39	14-40	14-41	15-00	15-01	15-02	15-04	15-06	15-09	15-11	15-12	15-14	15-15	15-16	15-18	15-20	15-24	15-25	15-26	15-28	15-29	15-30	15-32	15-34	15-37	15-39	15-40	15-41
B_caccae	28518	72598	90757	90761	43961	38713	47831	42591	78010	108215	213115	346983	429212	140109	267152	335915	208282	75451	64929	37162	41725	63248	48609	46681	63377	115139	45924	109740	28993	32197	70839	70656	19939	63513	254313	199777	266241	442367	313763	310130	405137	121036	70459	19928	35541	48075	34169	43240	31064	45588	98930	120721	38794	76275	31125	14349	43190	23909	91809	175068	233117	217275	391187	251356	135176	188897	449345	115815	33254	58338	45233	40134	31774	25070	28671	121818	73275	92419	50885	47663	45782	32321	14448	83880	126548	192440	203266	165732	64671	141701	86255	84444	121366	46390	23083	33620	59787	39638	26608	36056	68962	86625	33870	38264	19897	98965	19811	43560	81761	143152	275129	193822	279293	54416	293991	186201	21019	157194	91521	56462	35825	47133	55631	45061	92814	16773	87361	68900	78216	61262	137966	23875	31878	129918	137038	200111	162789	221831	373617	186638	343340	167731	32534	50924	85847	55710	61691	64957	77787	81910	68361	108179	89396	40428	124641	66055	59724	15300	108726	147032	360755	142664	211839	396291	418165	132064	88301	13732	24222	41296	57435	29996	2895	4626	11591	123485	217557	731821	545096	467105	361281	193626	162890	101238	152392	78277	41448	78474	75106	92494	67702	54550	102858	94674	110962	216236	242926	142408	93628	175957	136750	134376	366776	153850	178216	242873	233049	265401	54388	70071	102631	82402	72455	140148	134056	105421	107770	82763	101885	226757	160303	249271	338332	153040	283685	108487	512667	718590	546895	669742	205404	112299	143696	115358	78716	51348	47206	91444	43328	119932	65778	75447	79244	470819	146145	222341	129533	235617	172643	289307	137577	296311	386872	305622	413267	296098	214653	269121	107240	116791	75258	58071	45764	28534	10847	24490	89134	70495	39320	144522	209572	180453	192367	361974	248341	215441	700089	820275	500059	680476	468569	322428	233165	91429	110771	88954	54748	44426	67114	18596	41753	106938	266291	200357	188540	135807	270810	314379	139068	417241	43601	305694	176017	663514	637672	457096	177658	270880	161945	80165	58505	54851	23111	12630	35941	16023	11462	253034	241819	79885	77904	72368	145090	98986	247501	96736	600720	626653	480636	373043	331039	173026	307751	80056	75566	85316	71194	95594	37326	16597	54196	115221	162114	292823	150561	276970	214506	235737	272139	95080	455946	123789	524479	540444	473332	189830	221496	102514	101257	72527	73821	150786	73564	121543	119269	27031	73923	65570	203081	204656	225795	261540	145981	250616
B_cellulosilyticus_WH2	61078	281681	436720	834727	312998	49724	229893	311218	329145	151393	200586	342573	344432	87904	199473	257287	422483	380189	292043	231965	272014	430953	439062	374264	593139	231420	87411	566253	263010	245464	377588	366170	216497	227082	158025	194251	289498	230300	151438	185783	231688	330489	297417	102760	281391	439958	324231	644626	473859	749408	170345	483082	197664	761999	236509	97037	255035	275763	181030	164130	189782	170791	250570	192390	89927	136523	691433	242678	148622	315867	356957	321454	490498	462785	694994	230585	309095	472717	431102	329079	567610	203349	204782	217131	139043	237885	269561	275053	54634	133305	77891	169175	481456	197501	166474	254183	358445	493125	453753	617157	114234	290297	159080	131450	143475	676142	91713	244733	131817	155494	230682	155778	247710	37175	243879	167759	36304	503754	400845	335786	180949	244499	446995	403112	739540	31126	214440	362097	597364	393175	429604	113015	197683	223287	118476	144516	61000	121555	203201	123780	240949	253120	76960	176426	493379	336103	281962	364516	455817	628366	104520	416918	160489	146062	746877	400924	346587	173624	142023	137262	380283	166506	231279	390239	406839	132306	211381	83236	143535	380120	317512	264989	265127	370758	793387	244631	107702	304392	329165	343676	320709	167910	133854	277134	354858	330281	241822	519841	674327	1221629	890766	155289	172766	143013	212810	245529	365688	242866	193769	334111	216421	73004	126839	137730	117405	265045	219254	243736	114881	170661	384346	309152	270855	595517	578339	527920	217217	103610	84765	242585	204859	293426	271844	153614	411869	234251	399543	360017	601085	853085	199292	136986	214106	308274	386488	293645	334670	489895	240576	566294	318603	228620	79587	408368	180308	327196	204859	348256	178954	418317	184698	163504	137280	181680	212401	229850	183910	171182	157232	291407	266557	342154	373663	367605	112315	308733	301422	117904	36481	83517	228509	179221	186558	283975	190059	266273	616132	465737	400470	422973	300497	277028	160390	200753	324341	333788	338590	272196	434260	98313	242098	212605	313127	197414	168015	181520	226303	195192	71929	412236	88793	327061	76683	406687	666041	524442	300917	307555	394062	300029	293571	412929	275006	168159	340537	166757	90551	682303	617564	284585	253122	161398	315774	143975	377455	319657	774282	257798	291534	384262	254620	144820	245049	152680	375886	477735	671225	710781	340337	174796	694904	164212	196152	260208	164730	294659	150390	204751	242903	109050	389518	89345	445346	522762	320483	150640	167821	137898	371193	361759	483900	1109924	489203	665898	755282	55939	75706	57077	256189	224229	313596	246003	75657	88325
B_ovatus	66063	169916	157855	182563	69461	5558	77031	86669	80831	33503	9641	8598	7753	3238	7101	9067	60330	57731	56096	47058	56174	139771	94541	131655	200614	222973	48503	186329	46253	51961	85885	102754	49673	43027	9626	5030	7103	16847	17261	15574	22444	67046	69573	23453	59239	97366	172869	232666	173247	289270	166237	240719	84392	143555	62324	26130	97054	72094	44809	9536	4647	3513	17556	11614	7314	11164	92385	60840	38876	76619	86956	156447	174317	181973	259247	281133	150273	175125	109167	79645	120722	71165	65188	66105	24204	4771	2243	3882	2669	6789	6393	26270	96954	38739	24886	45528	167757	111844	126854	258095	144379	150057	48435	77039	43494	189404	34013	83291	56573	15149	2899	1410	4104	1866	10267	6252	5266	105095	100248	65514	51564	98441	121030	136925	310743	28643	106831	116929	124027	98410	107098	41942	64406	46351	5174	3429	3139	6808	16215	6531	10412	44357	31778	58474	102059	72523	101328	141730	176138	225071	82589	187607	47113	39274	175919	103941	110081	55414	47642	8964	6174	68379	6435	20346	18628	7706	28410	8833	27814	58150	131016	250016	74337	115868	290950	278571	69850	58913	14421	28221	22873	16324	12494	22709	80175	84241	49295	115066	250704	458166	416896	43080	18439	3875	2459	5968	10718	4038	3252	6567	205717	47116	26647	20330	8863	24612	18698	17280	17913	34000	95550	62198	77538	172498	195792	180094	52770	15087	3798	6168	2654	2995	4311	3452	12360	236884	219112	69391	21983	67877	13784	20425	29321	50778	74853	60493	62278	131169	74719	293429	182628	65754	12364	25637	5797	10142	5862	10068	8216	16756	220044	126353	28912	12927	17536	16002	15184	18049	24026	59896	48218	81263	114764	145424	54447	135302	90374	11460	2118	12152	12091	6219	7000	17330	16723	257323	363313	78636	12138	32495	25950	11929	8073	30340	75539	70425	75208	57668	137684	39879	107881	60026	21808	4600	3981	3384	5781	6176	3740	17004	79815	244009	35519	27118	35742	35368	21072	23133	60242	58547	63870	105666	73813	50191	147844	68078	20576	62318	15903	3769	6828	8529	12024	8305	15376	292076	483544	82558	14369	25386	32803	13359	19366	23436	64076	101487	124681	177502	142717	73161	325617	10347	4564	5849	3172	5088	3498	6134	8598	70408	281247	19284	23692	70869	31579	13853	12164	14453	43613	53555	54774	180502	161048	260993	294711	17201	7579	1767	5301	6507	6843	8071	6086	15165
B_thetaiotaomicron	24562	76142	147517	211588	82272	14337	54122	55977	59906	73198	113565	141635	160787	75522	117939	161092	267483	121776	66446	41127	55574	96030	74247	73898	124139	126500	26078	199202	59828	68345	87717	89476	35462	60731	101090	178908	139767	220685	194122	105294	206459	121959	70141	18986	45435	65120	53873	129297	98686	150645	79262	131244	59358	182266	68332	25970	74559	59548	48116	82067	91908	92036	208460	196423	52546	99540	412313	129111	31599	63158	74316	90627	92824	85128	149469	122595	102548	161765	116464	99855	128530	48813	46260	69144	107247	106264	170342	135855	51400	74129	56158	104712	142129	38274	19096	45675	90203	86866	103898	179994	44678	92271	46417	76915	45521	188875	29010	65823	58153	88571	109258	112973	137252	45665	152967	120798	49853	156590	111567	49017	23143	33265	80197	82493	169518	15496	89739	116109	195867	123510	132746	30868	48196	68229	70979	104074	99011	99863	202449	57382	135624	219626	26635	51790	40659	26593	51624	86686	94714	126116	55211	128446	123997	51756	236302	117437	81243	44381	73236	125108	187671	97286	164741	307531	244343	91532	159599	14399	27582	51837	99981	99616	30796	61547	147327	62222	131370	498206	94726	90837	119823	137859	93266	104824	214438	110424	38678	103189	64085	111183	117744	99223	116134	118138	70655	152369	188980	127930	120626	161244	46815	91994	302438	55340	37184	117146	125391	82364	91925	97240	95645	54840	47605	140559	144120	168433	156030	81423	131611	174796	101891	175066	252144	213847	343454	76406	413372	418991	137916	210558	83269	106493	97019	231095	103801	110032	89661	110295	46517	116339	70222	70598	60258	527220	145234	195712	124791	198851	273559	478618	53659	137840	228978	86883	38540	90542	177128	65667	289608	150199	85004	60986	91408	82885	24693	66242	162857	90270	64290	132164	175550	165511	188416	505328	383858	38843	513783	444136	119581	193966	157640	142559	50085	131389	90651	107065	56182	57767	76324	16140	43340	82705	162269	120584	140168	120620	211984	215033	154345	338494	19614	147277	216980	220687	267799	155322	123447	128164	179753	115343	60205	78467	54713	32480	77213	33644	34035	340908	305823	95612	136945	154484	288552	345711	586312	67560	466173	338879	110420	109048	118513	88825	105822	179446	77922	102241	98757	130524	75113	37462	143408	87308	117737	108213	90285	194361	129620	311103	212482	22841	240524	95756	137108	188970	165208	72713	78797	212022	136888	69500	83304	168614	81232	101532	90300	23595	53246	42963	137392	118051	164264	204214	183137	252820
B_uniformis	4428	4617	14112	32379	14689	3338	15498	15371	19033	14780	18989	103656	75745	11082	22927	25717	41243	27239	27140	34252	28571	25910	9392	13517	28691	8318	1173	10183	7042	12574	21163	28227	12229	13596	11052	32797	52101	90916	35812	39929	57344	46394	35989	8647	25725	45216	42942	16905	13502	25409	9039	7065	4914	22215	9883	5226	26041	17636	10664	12333	26982	44554	54294	24431	11641	19985	103277	33215	14449	15785	11394	21687	28206	33369	56036	15761	4679	11553	14278	15913	23707	12679	12767	13943	9872	26438	61231	50651	7110	14044	7694	18682	39194	14034	8146	10263	20694	24085	30548	56215	6851	4225	3362	11402	6201	25974	8745	21862	12384	11721	35414	67227	72604	8160	49998	28817	7138	46541	33314	15377	14516	27439	21754	34205	33429	1324	2077	6412	14163	15962	18559	7738	11491	12022	7898	35384	82286	101161	51461	24275	44612	45288	13481	20585	24563	18712	26348	22190	17509	28022	5450	5877	7567	7527	30885	15287	22257	9977	11569	9066	53143	19085	82339	121857	97667	29714	28921	2738	3270	15448	52085	45160	6522	13939	51864	3556	2914	36157	57117	39156	31142	19514	15289	19361	26007	28506	14974	35772	41131	34888	40597	6237	12630	10512	13886	36568	56902	16569	9389	15620	2864	2212	25306	14162	9789	8324	16454	20944	16750	22732	47931	57420	50386	123706	149678	149240	42619	20622	11935	22406	15010	29471	32009	13311	25732	18470	11486	40604	83458	65060	20016	37080	44108	45426	42752	29291	25303	41775	15185	31750	20822	10587	5765	31843	16229	37309	18893	22705	9886	14341	3653	6466	31568	36948	21065	15537	11304	15030	17662	23719	21880	34412	47194	62682	19379	40321	14839	8928	3038	31224	19099	13098	12107	21551	13263	4739	14769	45445	18420	26980	44013	34174	21330	22732	32362	31173	30469	19049	42310	12724	40925	13624	19388	14510	11039	12185	11853	8442	2588	13127	1529	5162	6167	80119	75367	55986	43332	44234	40164	26239	19233	26107	22650	15656	40208	20533	6495	73698	52212	17109	15527	10827	14437	6769	11167	6174	14772	33386	65898	29721	32874	25291	40793	32144	25846	27841	39377	55511	55639	27857	123276	30101	29672	19758	13170	32067	9972	8564	7561	1620	8222	5345	32402	34946	34148	27005	36990	20579	30489	20921	16102	63456	36885	47209	56028	4612	11342	7656	22550	17774	27056	23763	18286	49599
B_vulgatus	412906	132224	104042	159878	77457	28659	36031	39085	87799	79556	102262	124979	215490	88987	176948	246305	166192	87362	66765	49348	78107	94841	96247	75971	115136	186805	44758	84057	65661	56625	89634	87528	45594	107247	109515	51641	148625	310627	234988	306866	362329	105905	78167	25627	65367	110006	74207	150926	89752	143552	233961	149559	37573	156562	63274	23260	62034	47772	102974	92501	86724	129105	282502	192176	110342	177778	356242	77952	34103	92090	150988	94888	170021	147359	224795	509107	80724	77293	77697	85661	126691	40858	29695	118001	94265	83097	126332	134372	44137	122654	75798	53213	85794	37986	43924	78360	78380	124688	103705	167720	381547	87765	30324	51543	38357	185223	29956	66272	91366	88954	105263	97312	173057	33000	202800	135780	14743	127440	100091	104243	51191	68932	140779	126401	217719	266433	85097	60826	128742	111422	139343	24487	46643	167525	70740	80369	126192	149860	241255	146985	294693	134465	45505	79611	193946	106155	73891	102201	99468	156972	164497	111053	48011	51664	210344	81655	62287	39561	147774	84377	162223	168674	159435	255508	289457	97164	75963	30433	36118	78786	173592	104361	75429	97616	191487	184603	143753	261522	234137	437758	326971	238217	155188	110953	110320	58006	52106	118306	191378	417401	267363	111795	194731	123825	160962	232245	343271	188824	149572	266895	179343	78430	137499	121550	102994	127133	197491	234953	54910	77514	46354	76735	92094	199372	192979	162603	185716	96814	90575	225493	181302	276010	442800	189395	508116	348062	487409	344881	276895	377902	104541	117776	172199	72754	38001	36614	54733	129508	82598	158516	92213	168273	57470	343464	138855	239504	171258	307918	191398	266745	303630	272537	143967	161486	222088	129415	112323	206349	53612	63136	32149	94944	130759	117965	32569	101809	187463	109888	45980	247779	262736	185576	245511	369233	215288	215941	719015	421600	212274	406250	292816	203702	161084	73269	81260	48461	70326	82294	129225	29751	61332	136317	254866	162814	189534	180573	289371	356528	86660	327558	64737	230212	84997	380850	325184	254310	172489	207714	115704	64446	51569	78178	56076	33418	77174	37466	48422	605718	488409	190932	231597	199148	351157	213004	349567	297544	911225	233643	156818	257442	232930	158865	271425	68730	78144	60770	106525	156861	105482	54062	191984	195986	202572	241971	189334	283193	157867	206284	252810	90190	294848	43971	191243	277858	232327	172656	188472	73184	44937	25006	96041	311690	131733	193970	230247	53179	91247	44173	167332	200621	232121	328177	161095	268588
C_aerofaciens	187	2844	5418	6777	3186	205	2419	2415	1190	3552	1354	940	770	602	1190	3559	2706	740	929	935	337	862	719	763	1719	855	844	4827	1500	2992	3115	1638	988	1267	4101	1872	385	1257	253	1539	1444	2468	710	303	680	357	453	750	702	2055	1276	5549	1693	5740	2789	414	1747	2641	837	2158	1946	527	1126	843	232	892	13919	1717	546	1300	275	581	963	728	2351	1362	4414	5014	1542	5167	4793	506	172	1593	2696	4032	1096	914	545	234	213	1522	2699	854	28	201	636	376	609	1863	231	2536	1554	1153	1805	5044	767	1709	1186	969	1291	794	1332	264	2267	545	161	1416	2320	276	158	499	490	884	2112	83	2242	1635	3431	5212	2696	238	810	1236	618	844	409	1027	2358	422	1961	2137	53	632	455	176	380	600	720	2063	856	2756	2559	1064	8722	2712	4419	1607	903	1101	1338	2279	380	3864	1297	636	1397	31	233	267	800	864	110	485	1322	1564	1488	5113	2212	3050	718	868	1132	1155	2978	2810	338	652	1419	1482	1977	3248	5722	3220	254	428	3148	437	303	6291	1011	1173	2124	1076	1196	1181	801	1196	1531	1043	1748	795	996	2768	2149	2570	3914	1528	2940	412	178	536	1558	720	1862	179	7313	6008	2546	4980	1842	501	614	2037	999	1631	490	912	316	1208	1275	1565	783	9650	350	598	721	421	2946	1539	1063	2349	2037	634	4194	4645	1653	304	1353	2176	1474	725	1573	1836	389	2248	6707	3640	1018	304	397	1931	383	2283	2023	2920	10234	6232	1402	8478	3779	1335	465	813	961	963	348	448	1346	251	239	3879	4275	6347	264	382	898	759	1125	2483	429	1525	1309	2023	2029	6615	271	1525	856	792	933	900	788	501	1183	479	383	7507	8358	306	604	551	665	1626	4030	830	10561	2936	563	1411	1927	615	908	1160	1279	1457	747	3254	750	478	2555	1497	3431	665	795	484	913	515	2339	625	2481	330	1765	3317	6446	975	1465	795	1629	1749	531	6456	1184	1928	2070	726	1062	711	347	668	536	358	579	2142
C_scindens	15886	11403	10153	11103	5237	1321	6789	4148	2489	8034	11505	7196	10129	6693	9463	28949	25487	4971	7846	4809	3403	4560	5025	4145	12322	21997	3648	12144	2832	3984	7626	6121	3242	2864	13288	18537	4524	12639	6015	17545	19971	19226	5339	2605	5821	4080	3513	4414	4336	11719	35632	22626	4970	9875	4690	957	5612	5665	2571	4856	12562	6399	13251	10655	3252	5926	79170	13461	2908	5692	1954	3638	3996	3133	10138	34492	21176	14106	3445	6476	7545	2918	655	4219	11216	20874	14323	11207	4772	2117	2380	11100	14929	4966	521	1837	5465	3178	5324	16705	19245	19523	3995	2331	3147	9188	2101	5123	4367	6259	19961	7703	14248	4762	23507	6319	1677	9778	12704	2037	905	2340	3001	4370	12186	6612	15304	6724	7914	8513	7434	1254	4057	5281	5099	12664	6194	12105	29430	5117	18956	19398	694	4273	4103	1802	2028	2589	3360	7088	17674	21957	10504	2529	19254	5288	6724	5081	4117	9517	19453	8248	7499	35147	23917	7179	14720	352	2251	2322	5392	4642	801	3434	10091	13853	14305	68457	21965	46540	12403	7303	6770	8072	20041	12589	2596	5515	7921	8709	11086	13026	26519	18956	4179	5570	20068	6839	3762	33418	9971	10795	37377	7795	13511	8648	9388	12996	9424	6295	8728	5416	9000	11957	9799	8336	23011	7717	19784	7569	4898	6039	15255	14198	35821	7067	51795	73672	20022	53194	15057	7533	7262	9389	3044	5814	4514	8523	2213	6593	6019	6047	7337	104242	6336	9014	12116	8989	39930	21857	10842	21340	36746	9850	29168	15290	17645	4918	9165	13236	7151	3931	10773	6704	1521	6190	27665	14772	9575	4949	4912	21155	7058	31132	29471	15989	66782	74926	17091	67959	24634	11325	5685	8802	6712	6204	2909	4934	9063	1702	1410	25463	37537	45269	5416	5335	8896	13193	16942	36036	3646	16706	23337	35495	22236	46145	3136	11592	12608	5911	3609	6011	5808	2607	6968	1757	2680	54689	62389	3667	9360	9134	8122	28512	52389	10450	81869	60059	8191	11698	20662	6272	9020	9539	5105	8761	4008	16366	3875	2280	11862	13819	31010	7899	11003	8058	12993	11401	42349	2826	25739	6920	20564	27412	48226	10589	10257	8572	7752	5990	2578	15446	6771	10387	11376	5187	6106	7428	6985	11135	7155	7066	16116	34857
C_spiroforme	76	1664	3604	1482	159	314	183	33	60	57	105	71	188	150	135	307	321	55	74	30	205	239	220	215	117	45	206	3310	360	110	604	304	19	48	99	119	75	189	219	390	448	177	70	27	53	224	264	204	187	166	20	1234	769	369	159	61	319	44	41	27	161	132	386	287	108	186	689	189	29	45	175	373	278	226	151	89	1783	5896	1372	368	263	185	7	93	114	171	553	176	102	27	56	131	119	40	31	108	501	212	292	181	41	943	527	189	109	726	42	36	81	67	1018	92	260	84	439	96	48	119	78	97	58	167	180	300	573	16	3581	2266	1915	382	519	24	41	99	34	184	127	203	515	108	336	272	11	59	221	136	123	155	232	114	57	1936	1696	552	1370	569	89	45	104	109	800	186	148	345	1087	96	173	5	45	131	327	406	34	174	241	2880	1116	8225	5493	778	154	182	127	173	1837	186	42	130	143	165	163	146	198	202	329	303	744	417	236	500	412	367	6350	2282	2380	858	155	85	193	188	193	117	88	187	194	75	227	93	371	414	419	642	1974	1047	948	62	764	9602	6176	4693	605	65	69	188	48	72	74	167	59	134	66	109	89	2392	357	437	1010	842	2257	538	35	1174	6531	4933	1914	1303	230	59	172	211	122	80	227	57	16	42	193	68	73	152	103	997	605	1794	362	218	1768	9604	8030	3377	493	65	61	255	152	137	45	75	115	23	28	226	183	174	290	140	369	850	879	920	29	834	2901	9221	2429	3512	71	158	601	110	69	84	75	25	116	22	40	482	1865	187	432	490	396	843	1458	68	1563	10467	2742	2588	122	60	134	113	118	723	71	251	79	32	151	103	231	537	652	433	927	408	717	121	1311	1834	2710	7913	3549	64	43	98	84	140	91	198	109	146	133	48	50	54	380	660	292	405	481	442
D_longicatena	775	108	7	1	2	0	1	1	0	0	2	2	16	7	23	59	66	36	31	16	10	35	48	64	69	369	47	4	0	0	3	0	1	0	0	2	0	6	9	26	28	54	40	5	20	23	35	52	65	45	655	28	1	1	0	0	0	1	1	0	0	19	46	10	10	20	169	33	8	20	4	16	35	34	37	808	16	4	0	0	2	1	0	0	9	26	30	30	2	7	6	25	36	13	9	9	18	40	74	45	863	18	0	0	0	2	0	0	0	0	1	4	1	7	31	19	6	47	44	15	16	21	25	20	11	295	26	1	0	0	0	0	0	1	0	2	0	2	50	7	23	25	4	17	26	8	16	17	70	38	221	12	1	0	0	1	1	0	0	0	1	0	2	48	29	13	45	2	11	13	44	33	36	66	49	382	31	7	1	8	0	2	1	1	1	1	0	0	53	141	87	26	26	19	6	23	45	19	8	61	159	23	4	3	0	3	1	1	0	0	1	1	3	29	27	26	21	16	20	18	5	13	75	10	65	775	360	26	9	1	2	10	5	1	0	0	0	1	4	35	17	13	12	104	12	18	13	29	45	62	256	41	2	0	1	0	0	0	1	2	1	0	2	18	8	21	50	23	4	10	30	31	16	25	24	88	123	30	0	6	0	0	0	0	1	1	1	3	18	9	12	26	32	37	17	17	25	40	7	41	162	111	12	0	4	0	1	0	2	0	12	2	4	5	19	8	5	62	77	10	24	14	17	23	46	312	195	8	1	0	0	1	0	1	1	3	0	0	33	20	107	22	19	22	32	21	21	18	27	98	133	4	15	16	1	4	3	2	2	0	0	2	40	65	115	7	10	10	20	29	30	49	14	20
