B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K00009	K00009	K00001	K00009	K00009	K00002	K00009	K00008	K00001	K00001	K00057
K00012	K00012	K00009	K00012	K00012	K00003	K00012	K00012	K00003	K00003	K00088
K00013	K00013	K00012	K00013	K00013	K00005	K00013	K00013	K00004	K00005	K00128
K00014	K00014	K00013	K00014	K00014	K00008	K00014	K00014	K00008	K00010	K00134
K00018	K00018	K00014	K00018	K00018	K00012	K00018	K00015	K00013	K00012	K00147
K00023	K00024	K00018	K00024	K00023	K00013	K00024	K00024	K00014	K00013	K00286
K00024	K00027	K00023	K00027	K00024	K00014	K00027	K00027	K00018	K00016	K00287
K00027	K00029	K00024	K00029	K00027	K00016	K00029	K00029	K00020	K00020	K00290
K00029	K00031	K00027	K00031	K00029	K00027	K00031	K00031	K00027	K00030	K00355
K00031	K00033	K00029	K00033	K00031	K00031	K00033	K00033	K00031	K00046	K00384
K00033	K00036	K00031	K00036	K00033	K00052	K00036	K00036	K00042	K00048	K00537
K00036	K00041	K00033	K00041	K00036	K00053	K00041	K00052	K00046	K00057	K00554
K00041	K00046	K00036	K00046	K00041	K00057	K00046	K00053	K00048	K00058	K00560
K00046	K00048	K00041	K00048	K00045	K00058	K00048	K00057	K00052	K00059	K00563
K00048	K00052	K00046	K00052	K00046	K00059	K00052	K00058	K00053	K00075	K00566
K00052	K00053	K00048	K00053	K00048	K00067	K00053	K00059	K00057	K00077	K00567
K00053	K00057	K00052	K00057	K00052	K00075	K00057	K00067	K00058	K00088	K00600
K00057	K00058	K00053	K00058	K00053	K00076	K00058	K00075	K00059	K00099	K00604
K00058	K00059	K00057	K00059	K00057	K00077	K00059	K00077	K00060	K00111	K00611
K00059	K00067	K00058	K00064	K00058	K00087	K00067	K00088	K00065	K00123	K00640
K00064	K00075	K00059	K00067	K00059	K00088	K00075	K00097	K00067	K00128	K00656
K00067	K00076	K00064	K00075	K00064	K00099	K00077	K00099	K00075	K00133	K00661
K00075	K00077	K00067	K00076	K00067	K00111	K00088	K00111	K00076	K00134	K00756
K00077	K00088	K00075	K00077	K00075	K00128	K00097	K00123	K00087	K00140	K00759
K00088	K00097	K00077	K00088	K00076	K00132	K00099	K00133	K00088	K00145	K00761
K00097	K00099	K00088	K00097	K00077	K00133	K00133	K00134	K00091	K00147	K00762
K00099	K00123	K00091	K00099	K00088	K00134	K00134	K00145	K00097	K00176	K00763
K00123	K00128	K00097	K00123	K00097	K00145	K00145	K00147	K00099	K00215	K00773
K00133	K00133	K00099	K00128	K00099	K00147	K00147	K00156	K00100	K00219	K00783
K00134	K00134	K00128	K00133	K00123	K00194	K00174	K00174	K00102	K00262	K00784
K00145	K00145	K00133	K00134	K00133	K00197	K00175	K00175	K00104	K00266	K00790
K00147	K00147	K00134	K00145	K00134	K00198	K00176	K00176	K00111	K00278	K00791
K00174	K00156	K00145	K00147	K00145	K00215	K00177	K00177	K00121	K00286	K00806
K00175	K00174	K00147	K00156	K00147	K00243	K00179	K00179	K00130	K00287	K00820
K00176	K00175	K00174	K00174	K00156	K00261	K00180	K00180	K00133	K00297	K00845
K00177	K00176	K00175	K00175	K00174	K00262	K00208	K00208	K00134	K00336	K00857
K00179	K00177	K00176	K00176	K00175	K00265	K00210	K00210	K00145	K00338	K00858
K00180	K00179	K00177	K00177	K00176	K00266	K00215	K00215	K00146	K00375	K00859
K00208	K00180	K00179	K00179	K00177	K00278	K00226	K00226	K00147	K00384	K00864
K00210	K00208	K00180	K00180	K00179	K00284	K00239	K00239	K00151	K00395	K00873
K00215	K00210	K00208	K00186	K00180	K00286	K00240	K00240	K00179	K00525	K00882
K00226	K00215	K00210	K00208	K00208	K00287	K00241	K00241	K00180	K00528	K00919
K00239	K00226	K00215	K00210	K00210	K00290	K00243	K00243	K00215	K00537	K00925
K00240	K00239	K00226	K00215	K00215	K00297	K00259	K00259	K00243	K00548	K00927
K00241	K00240	K00239	K00226	K00226	K00334	K00262	K00262	K00259	K00554	K00931
K00243	K00241	K00240	K00239	K00239	K00335	K00265	K00265	K00261	K00560	K00939
K00259	K00243	K00241	K00240	K00240	K00336	K00266	K00266	K00262	K00563	K00942
K00262	K00262	K00243	K00241	K00241	K00347	K00275	K00275	K00265	K00566	K00943
K00265	K00265	K00259	K00243	K00243	K00375	K00278	K00278	K00266	K00568	K00945
K00266	K00266	K00262	K00254	K00259	K00384	K00281	K00281	K00278	K00595	K00948
K00275	K00275	K00265	K00259	K00262	K00385	K00283	K00283	K00282	K00602	K00949
K00278	K00278	K00266	K00262	K00265	K00390	K00284	K00284	K00283	K00604	K00951
K00281	K00281	K00278	K00265	K00266	K00394	K00286	K00286	K00284	K00609	K00962
K00283	K00283	K00281	K00266	K00275	K00395	K00287	K00287	K00286	K00611	K00969
K00284	K00284	K00283	K00275	K00278	K00528	K00290	K00290	K00287	K00615	K00974
K00286	K00286	K00284	K00278	K00281	K00537	K00297	K00294	K00297	K00616	K00980
K00287	K00287	K00286	K00281	K00283	K00548	K00330	K00297	K00334	K00620	K00981
K00290	K00290	K00287	K00283	K00284	K00554	K00331	K00318	K00335	K00625	K00991
K00297	K00294	K00290	K00284	K00286	K00560	K00333	K00335	K00336	K00640	K00995
K00330	K00297	K00294	K00286	K00287	K00566	K00337	K00346	K00375	K00648	K01000
K00331	K00330	K00297	K00287	K00290	K00595	K00338	K00347	K00382	K00651	K01002
K00333	K00331	K00330	K00290	K00297	K00602	K00339	K00348	K00384	K00655	K01006
K00335	K00333	K00331	K00294	K00330	K00604	K00340	K00349	K00520	K00656	K01012
K00337	K00335	K00333	K00297	K00331	K00605	K00341	K00350	K00525	K00674	K01056
K00338	K00337	K00337	K00330	K00333	K00609	K00342	K00351	K00526	K00688	K01091
K00339	K00338	K00338	K00331	K00335	K00610	K00343	K00375	K00528	K00700	K01096
K00340	K00339	K00339	K00333	K00337	K00611	K00346	K00382	K00537	K00703	K01104
K00341	K00340	K00340	K00335	K00338	K00615	K00347	K00384	K00548	K00705	K01142
K00342	K00341	K00341	K00337	K00339	K00616	K00348	K00425	K00554	K00759	K01151
K00343	K00342	K00342	K00338	K00340	K00620	K00349	K00426	K00558	K00760	K01153
K00346	K00343	K00343	K00339	K00341	K00625	K00350	K00428	K00560	K00761	K01176
K00347	K00346	K00346	K00340	K00342	K00640	K00351	K00525	K00566	K00762	K01186
K00348	K00347	K00347	K00341	K00343	K00645	K00382	K00528	K00567	K00763	K01190
K00349	K00348	K00348	K00342	K00346	K00648	K00384	K00548	K00571	K00764	K01197
K00350	K00349	K00349	K00343	K00347	K00651	K00425	K00554	K00574	K00765	K01206
K00351	K00350	K00350	K00346	K00348	K00655	K00426	K00558	K00590	K00767	K01218
K00382	K00351	K00351	K00347	K00349	K00656	K00491	K00560	K00595	K00768	K01243
K00384	K00382	K00382	K00348	K00350	K00688	K00525	K00566	K00600	K00773	K01265
K00425	K00384	K00384	K00349	K00351	K00700	K00548	K00567	K00602	K00783	K01271
K00426	K00425	K00425	K00350	K00375	K00702	K00549	K00568	K00604	K00789	K01273
K00428	K00426	K00426	K00351	K00382	K00703	K00554	K00571	K00605	K00790	K01304
K00432	K00428	K00432	K00382	K00384	K00705	K00560	K00588	K00609	K00791	K01338
K00525	K00432	K00525	K00384	K00425	K00721	K00566	K00590	K00610	K00797	K01356
K00526	K00525	K00526	K00425	K00426	K00757	K00567	K00595	K00611	K00800	K01361
K00548	K00537	K00548	K00426	K00432	K00759	K00571	K00600	K00615	K00806	K01409
K00554	K00548	K00554	K00428	K00525	K00760	K00588	K00602	K00616	K00812	K01462
K00560	K00554	K00560	K00432	K00537	K00761	K00595	K00603	K00620	K00817	K01480
K00566	K00560	K00566	K00525	K00548	K00762	K00600	K00604	K00625	K00820	K01489
K00567	K00566	K00567	K00537	K00554	K00763	K00602	K00605	K00633	K00821	K01491
K00571	K00567	K00588	K00548	K00558	K00764	K00603	K00606	K00639	K00826	K01493
K00588	K00571	K00595	K00554	K00560	K00765	K00604	K00609	K00640	K00831	K01515
K00595	K00588	K00600	K00558	K00566	K00766	K00605	K00610	K00645	K00845	K01534
K00600	K00590	K00602	K00560	K00567	K00767	K00606	K00615	K00648	K00847	K01537
K00602	K00600	K00603	K00566	K00571	K00768	K00609	K00616	K00651	K00849	K01585
K00603	K00602	K00604	K00567	K00588	K00773	K00610	K00625	K00655	K00852	K01591
K00604	K00604	K00605	K00588	K00590	K00783	K00615	K00639	K00656	K00854	K01598
K00605	K00605	K00606	K00600	K00600	K00784	K00616	K00640	K00661	K00858	K01611
K00606	K00606	K00609	K00602	K00602	K00788	K00625	K00645	K00688	K00859	K01624
K00609	K00609	K00610	K00603	K00603	K00789	K00634	K00648	K00691	K00864	K01662
K00610	K00610	K00615	K00604	K00604	K00790	K00639	K00651	K00692	K00872	K01689
K00615	K00615	K00616	K00605	K00605	K00791	K00640	K00652	K00700	K00873	K01727
K00616	K00616	K00625	K00606	K00606	K00793	K00645	K00655	K00703	K00874	K01752
K00625	K00625	K00633	K00609	K00609	K00794	K00648	K00656	K00705	K00878	K01756
K00633	K00634	K00634	K00610	K00610	K00796	K00651	K00657	K00721	K00882	K01775
K00634	K00639	K00639	K00615	K00615	K00797	K00652	K00658	K00757	K00891	K01776
K00639	K00640	K00640	K00616	K00616	K00798	K00655	K00661	K00759	K00901	K01783
K00640	K00645	K00645	K00625	K00625	K00800	K00656	K00666	K00760	K00917	K01784
K00645	K00648	K00647	K00633	K00633	K00805	K00657	K00677	K00761	K00919	K01791
K00647	K00651	K00648	K00634	K00634	K00806	K00661	K00688	K00762	K00925	K01803
K00648	K00652	K00651	K00639	K00639	K00817	K00666	K00691	K00763	K00926	K01808
K00651	K00655	K00652	K00640	K00640	K00820	K00677	K00693	K00764	K00927	K01809
K00652	K00656	K00655	K00645	K00645	K00821	K00684	K00700	K00765	K00928	K01810
K00655	K00657	K00656	K00648	K00647	K00826	K00688	K00703	K00767	K00930	K01835
K00656	K00658	K00657	K00651	K00648	K00830	K00691	K00705	K00768	K00931	K01839
K00657	K00661	K00661	K00652	K00651	K00831	K00693	K00721	K00773	K00937	K01866
K00658	K00666	K00666	K00655	K00652	K00833	K00700	K00748	K00783	K00939	K01867
K00661	K00677	K00677	K00656	K00655	K00845	K00702	K00757	K00784	K00941	K01868
K00666	K00688	K00684	K00657	K00656	K00847	K00703	K00760	K00786	K00942	K01869
K00677	K00691	K00688	K00658	K00657	K00848	K00705	K00761	K00788	K00943	K01870
K00684	K00693	K00691	K00661	K00658	K00849	K00721	K00762	K00789	K00945	K01872
K00688	K00700	K00693	K00666	K00661	K00850	K00748	K00764	K00790	K00948	K01873
K00691	K00703	K00700	K00677	K00666	K00852	K00757	K00765	K00791	K00949	K01874
K00693	K00705	K00703	K00688	K00674	K00854	K00759	K00766	K00796	K00951	K01875
K00700	K00721	K00705	K00691	K00677	K00858	K00760	K00767	K00800	K00954	K01876
K00703	K00748	K00721	K00693	K00688	K00859	K00761	K00768	K00805	K00962	K01880
K00705	K00757	K00748	K00700	K00689	K00864	K00762	K00773	K00806	K00963	K01883
K00721	K00759	K00754	K00703	K00691	K00865	K00763	K00782	K00812	K00965	K01887
K00748	K00760	K00757	K00705	K00693	K00868	K00764	K00783	K00817	K00969	K01889
K00754	K00761	K00759	K00721	K00700	K00873	K00765	K00784	K00820	K00973	K01890
K00757	K00762	K00760	K00748	K00703	K00876	K00766	K00788	K00821	K00974	K01892
K00759	K00763	K00761	K00757	K00705	K00878	K00767	K00789	K00826	K00975	K01893
K00760	K00764	K00762	K00759	K00713	K00882	K00768	K00790	K00831	K00981	K01914
K00761	K00765	K00764	K00760	K00721	K00891	K00773	K00791	K00845	K00989	K01915
K00762	K00766	K00765	K00761	K00748	K00917	K00783	K00793	K00847	K00991	K01924
K00764	K00767	K00766	K00762	K00754	K00919	K00784	K00794	K00848	K00995	K01925
K00765	K00773	K00767	K00763	K00757	K00925	K00788	K00796	K00849	K00997	K01926
K00766	K00782	K00768	K00764	K00759	K00926	K00789	K00798	K00850	K01000	K01928
K00767	K00783	K00773	K00765	K00760	K00927	K00790	K00800	K00852	K01006	K01929
K00768	K00784	K00782	K00766	K00761	K00928	K00791	K00806	K00854	K01008	K01934
K00773	K00788	K00783	K00767	K00762	K00930	K00793	K00812	K00858	K01042	K01937
K00783	K00789	K00784	K00773	K00763	K00931	K00794	K00817	K00859	K01051	K01938
K00784	K00790	K00788	K00782	K00764	K00937	K00796	K00819	K00864	K01056	K01939
K00788	K00791	K00789	K00783	K00765	K00939	K00798	K00821	K00865	K01060	K01951
K00789	K00793	K00790	K00784	K00766	K00942	K00800	K00826	K00868	K01091	K01972
K00790	K00794	K00791	K00788	K00767	K00945	K00806	K00831	K00873	K01104	K01989
K00791	K00796	K00793	K00789	K00768	K00948	K00812	K00833	K00874	K01129	K01990
K00793	K00798	K00794	K00790	K00773	K00949	K00817	K00844	K00876	K01142	K01992
K00794	K00800	K00796	K00791	K00782	K00950	K00820	K00845	K00878	K01151	K02003
K00796	K00806	K00798	K00793	K00783	K00951	K00821	K00847	K00880	K01153	K02004
K00798	K00812	K00800	K00794	K00784	K00954	K00826	K00848	K00882	K01154	K02016
K00800	K00817	K00806	K00796	K00786	K00955	K00830	K00849	K00887	K01159	K02029
K00806	K00821	K00812	K00798	K00788	K00956	K00831	K00850	K00891	K01160	K02030
K00812	K00826	K00817	K00800	K00789	K00957	K00833	K00852	K00899	K01187	K02033
K00817	K00831	K00819	K00806	K00790	K00962	K00835	K00854	K00901	K01193	K02036
K00820	K00833	K00820	K00812	K00791	K00965	K00845	K00857	K00917	K01210	K02037
K00821	K00844	K00821	K00817	K00793	K00969	K00847	K00858	K00918	K01222	K02038
K00826	K00845	K00826	K00820	K00794	K00970	K00848	K00859	K00919	K01223	K02041
