	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	2752	2270	2439	2479	2095	2115	677	846	734	1896	837
B_cellulosilyticus_WH2	2270	3395	2635	2630	2480	2381	733	912	782	2144	890
B_ovatus	2439	2635	3326	2827	2282	2390	711	886	771	2022	884
B_thetaiotaomicron	2479	2630	2827	3344	2318	2364	714	885	789	2090	882
B_uniformis	2095	2480	2282	2318	2825	2210	705	859	753	1966	863
B_vulgatus	2115	2381	2390	2364	2210	2934	729	886	773	1986	879
C_aerofaciens	677	733	711	714	705	729	1232	904	781	712	916
C_scindens	846	912	886	885	859	886	904	2079	1009	882	1501
C_spiroforme	734	782	771	789	753	773	781	1009	1327	761	998
P_distasonis	1896	2144	2022	2090	1966	1986	712	882	761	2584	864
R_obeum	837	890	884	882	863	879	916	1501	998	864	1963
