B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
B_cellulosilyticus_WH2	1	0.934782608695652	0.978260869565217	0.934782608695652	0.956521739130435	0.565217391304348	0.978260869565217	0.934782608695652	0.434782608695652	0.326086956521739	0.347826086956522
B_caccae	0.716666666666667	1	0.933333333333333	0.9	0.85	0.583333333333333	0.816666666666667	0.75	0.366666666666667	0.4	0.416666666666667
B_vulgatus	0.714285714285714	0.888888888888889	1	0.873015873015873	0.761904761904762	0.555555555555556	0.777777777777778	0.714285714285714	0.428571428571429	0.444444444444444	0.396825396825397
B_thetaiotaomicron	0.767857142857143	0.964285714285714	0.982142857142857	1	0.821428571428571	0.607142857142857	0.839285714285714	0.75	0.375	0.410714285714286	0.446428571428571
B_ovatus	0.846153846153846	0.980769230769231	0.923076923076923	0.884615384615385	1	0.538461538461538	0.961538461538462	0.846153846153846	0.423076923076923	0.326923076923077	0.326923076923077
R_obeum	0.530612244897959	0.714285714285714	0.714285714285714	0.693877551020408	0.571428571428571	1	0.591836734693878	0.551020408163265	0.428571428571429	0.612244897959184	0.489795918367347
B_uniformis	0.775862068965517	0.844827586206897	0.844827586206897	0.810344827586207	0.862068965517241	0.5	1	0.775862068965517	0.431034482758621	0.327586206896552	0.327586206896552
P_distasonis	0.826923076923077	0.865384615384615	0.865384615384615	0.807692307692308	0.846153846153846	0.519230769230769	0.865384615384615	1	0.403846153846154	0.307692307692308	0.307692307692308
C_scindens	0.512820512820513	0.564102564102564	0.692307692307692	0.538461538461538	0.564102564102564	0.538461538461538	0.641025641025641	0.538461538461538	1	0.564102564102564	0.307692307692308
C_aerofaciens	0.333333333333333	0.533333333333333	0.622222222222222	0.511111111111111	0.377777777777778	0.666666666666667	0.422222222222222	0.355555555555556	0.488888888888889	1	0.422222222222222
C_spiroforme	0.432432432432432	0.675675675675676	0.675675675675676	0.675675675675676	0.459459459459459	0.648648648648649	0.513513513513513	0.432432432432432	0.324324324324324	0.513513513513513	1
