B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
B_cellulosilyticus_WH2	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
B_caccae	0.001	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
B_vulgatus	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
B_thetaiotaomicron	0.001	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001
B_ovatus	0.001	0.001	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001	0.001
R_obeum	0.001	0.001	0.001	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001
B_uniformis	0.001	0.001	0.001	0.001	0.001	0.001	0	0.001	0.001	0.001	0.001
P_distasonis	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0	0.001	0.001	0.001
C_scindens	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0	0.001	0.001
C_aerofaciens	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0	0.001
C_spiroforme	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0
