B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
B_cellulosilyticus_WH2	0	0	0	0.0217391304347826	0	0.0434782608695652	0.0217391304347826	0.0217391304347826	0.0434782608695652	0.0434782608695652	0
B_caccae	0.0333333333333333	0	0.0166666666666667	0.0333333333333333	0	0.0666666666666667	0.0333333333333333	0.0166666666666667	0.0333333333333333	0.0666666666666667	0
B_vulgatus	0.0476190476190476	0.0158730158730159	0	0.0476190476190476	0.0158730158730159	0.0793650793650794	0.0158730158730159	0.0317460317460317	0.0476190476190476	0.0793650793650794	0
B_thetaiotaomicron	0	0	0	0	0	0.0535714285714286	0	0.0178571428571429	0.0357142857142857	0.0535714285714286	0
B_ovatus	0.0384615384615385	0	0.0192307692307692	0.0384615384615385	0	0.0576923076923077	0.0384615384615385	0.0192307692307692	0.0384615384615385	0.0576923076923077	0
R_obeum	0.122448979591837	0.122448979591837	0.122448979591837	0.142857142857143	0.122448979591837	0	0.102040816326531	0.102040816326531	0.0816326530612245	0.0408163265306122	0.0204081632653061
B_uniformis	0.103448275862069	0.0517241379310345	0.0517241379310345	0.0862068965517241	0.0862068965517241	0.0689655172413793	0	0.0689655172413793	0.0517241379310345	0.0689655172413793	0
P_distasonis	0.0576923076923077	0.0192307692307692	0.0769230769230769	0.0576923076923077	0.0384615384615385	0.0384615384615385	0.0769230769230769	0	0.0384615384615385	0.0384615384615385	0
C_scindens	0.179487179487179	0.153846153846154	0.179487179487179	0.153846153846154	0.153846153846154	0.102564102564103	0.128205128205128	0.205128205128205	0	0.0256410256410256	0.0512820512820513
C_aerofaciens	0.2	0.177777777777778	0.2	0.177777777777778	0.177777777777778	0.111111111111111	0.155555555555556	0.2	0.0888888888888889	0	0.0444444444444444
C_spiroforme	0.297297297297297	0.297297297297297	0.297297297297297	0.297297297297297	0.297297297297297	0.27027027027027	0.243243243243243	0.297297297297297	0.297297297297297	0.243243243243243	0
