	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	55.38768620054849	31.978247746417026	33.32434719570074	43.060775837374635	37.48628165366558	59.50738619386824	80.58082051363048	22.278802671065325	51.669682071304436	74.46220340153074
B_cellulosilyticus_WH2	16.97455764493438	0.0	18.83985783550964	24.007993939260853	19.096014746370702	23.178981437485767	50.6002554209264	69.85350792538182	21.289205031466526	34.10533269727825	63.731316225187825
B_ovatus	8.248522545214424	33.52326118992114	0.0	22.41000255614758	33.32833092073878	27.588561131121782	56.18162055505654	75.97185726441202	22.697005623251236	45.899777313800925	72.91053253343861
B_thetaiotaomicron	6.288446322141693	35.38522162131592	19.103826883791136	0.0	30.292467279614534	28.898646153259605	57.46885157372658	76.13013949888044	20.29398730247388	42.64062530901988	70.56863334405364
B_uniformis	21.005080744690627	35.45344820930082	35.00236102925737	35.27267306048958	0.0	27.658672861157612	53.05769100274978	71.98640334879227	18.86585039842418	40.109911485537	65.20503680192041
B_vulgatus	16.38886421697115	40.49469255640547	30.22086889562996	34.837129590124235	28.6169505171472	0.0	51.99091157549986	67.52982488321047	21.618904545870038	38.79065327035413	62.90612661934468
C_aerofaciens	118.22760265229466	147.73360043496695	138.63156221468557	143.22496890571205	133.8336025538602	131.80854547062071	0.0	74.16664812595015	17.574054013825226	135.5185176953038	69.85335375602804
C_scindens	100.82076467623219	128.5065806435976	119.94152662821631	123.40598453504117	114.28204260407796	108.86718648250658	35.686375830125435	0.0	16.87367206642455	111.57497829460836	39.35577499921004
C_spiroforme	136.4193798493759	173.8429107653912	160.56730800276443	161.4704653543435	155.06212266941878	156.8568991608751	72.99441473370939	110.77430508213344	0.0	160.3566097987292	107.43910543703437
P_distasonis	26.89303580125673	47.741814982844666	44.85285624495584	44.899879912531254	37.38896030817331	35.11142443700087	52.0216549668297	66.55838786195898	21.43938635037092	0.0	63.782311676662516
R_obeum	96.44667940795799	124.12892078722918	118.62473374106847	119.58901022403994	109.24520790103166	105.98802006246635	33.11761330402887	41.1003068430356	15.283004265151042	110.54343395313745	0.0
