	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	5.065410847340747	4.547691572738068	4.570661712666769	4.288477694114278	4.052835176079839	5.809503747439557	9.365584760665332	3.3060842741712686	3.9672160706273614	6.637069958646789
B_cellulosilyticus_WH2	2.5408526223237713	0.0	2.471216204741678	2.710407591001396	1.3158190969256258	3.6308050190503045	5.4788842182193855	9.393354940701647	3.5229483587695825	3.5783814568579593	7.283086564830675
B_ovatus	0.9058733230749723	1.3539561800955575	0.0	2.1695277549570684	1.859573556368264	2.759305653785804	5.314699103750353	9.15840701390353	3.4017558765933216	2.8338318583086717	6.760511741105156
B_thetaiotaomicron	0.35838970925648644	1.0226938126080896	1.5990740012098825	0.0	0.9347698978582794	2.2189823983874915	5.314699103750353	8.87078011697613	3.1418991597022354	2.27688307677268	6.472884844177757
B_uniformis	1.8014137139999387	1.3533133418282617	3.0143278259170203	2.659977921154222	0.0	3.2457160154892692	5.6453186329705245	9.559789355452786	2.783509450445749	2.9753574829668445	6.831274553434243
B_vulgatus	2.1320332432201106	4.2345613112075515	4.480321970589173	4.5104524689380465	3.811978062743882	0.0	5.286928923714038	8.891445447607497	3.1141289796659213	3.0539234919834004	6.472884844177757
C_aerofaciens	11.248219225285089	13.442157921081892	14.39523283125898	14.965686585006168	13.571098090930397	12.646446334419299	0.0	6.450154255461053	1.9748088550838634	11.544543674527354	4.194116795470311
C_scindens	10.165671459080752	12.717999864134043	13.600311961982046	13.88313881880183	12.846940033982545	11.612334078882641	1.8115254760309418	0.0	1.8106237406148307	10.41001152943006	1.9915416432057944
C_spiroforme	12.827106362152207	15.568528671767496	16.56459621423736	16.875193251093457	14.791595518541026	14.555953000506587	6.05711546521927	10.531559130180352	0.0	13.01170349693572	7.638859213692773
P_distasonis	3.675059959060326	5.810783570307899	6.183493996404732	6.196998968615926	5.170265351514149	4.682569313276093	5.8136720851147885	9.317768719447606	3.198525297387747	0.0	7.207500343576635
R_obeum	9.964690180157286	13.135265011358145	13.72995021227875	14.012777069098536	12.645958755059077	11.721306998547977	2.0830215391352738	4.519075166300868	1.4454573472223295	10.827276676654167	0.0
