	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	2.586137431808554	1.5247326182541556	3.347800600527817	2.1091542765815676	1.9420882334407321	8.14447319602464	12.513150470085604	4.015755280425646	2.56665387537212	8.891229479733799
B_cellulosilyticus_WH2	2.631581365356282	0.0	2.216623467532841	3.3932445340755453	1.0667848460791425	2.995217728992646	7.904359091229914	12.79008342154085	5.082540126504789	2.919586515792016	10.06010348423947
B_ovatus	0.8919410530504271	1.5383879687813842	0.0	2.7150090353240883	1.9533458666048253	2.3570461312641733	7.667490040797653	12.036167314858616	4.907696333476073	2.464564716945591	9.306187377557238
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.9642164414567518	7.667490040797653	12.036167314858616	4.015755280425646	1.0419212571179648	8.891229479733799
B_uniformis	2.08184357552711	0.9940302114769565	2.558826730754096	3.320489899473359	0.0	2.445479939163474	8.14447319602464	13.030197526335574	4.015755280425646	2.56665387537212	9.408276535983768
B_vulgatus	2.558826730754096	3.566512292758281	3.6065761937812657	4.928755539297932	3.0895291375312954	0.0	7.627426139774669	12.065981084878821	3.975691379402662	3.574339437376305	8.891229479733799
C_aerofaciens	6.89378347170334	6.608225433360886	7.049591881680083	9.76460091700417	6.921094172757797	5.759997918140006	0.0	6.2763750660551585	1.6213927343863497	5.907580404844408	3.4333578298286733
C_scindens	6.710868501735041	6.942357519642557	6.8666769117117825	9.581685947035872	7.255226259039468	5.646960619214895	1.724782822025897	0.0	1.6213927343863497	5.730493640785313	1.5107531528243747
C_spiroforme	7.019770725020823	8.041111637552234	8.544503343274977	10.367571325548639	7.047081426075279	6.3629683266844745	5.876097903302824	10.42769014733209	0.0	6.804384169733814	6.903032192829696
P_distasonis	3.018909481091388	3.3263981879635556	3.5496118878685876	4.841977463365049	3.0462201821458454	3.409856545782209	7.610525734884974	11.985031214855143	4.252624330857906	0.0	8.840093379730325
R_obeum	6.1986475680621895	7.322077639020132	7.246397031089359	9.546448168590004	6.7430053253666165	5.581909070748826	1.9914656424783623	4.620453209503325	1.2064348365629087	5.695255862339447	0.0
