	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.0	0.0	0.0	0.0	0.5170470562499704	2.851333888864397	3.4803214558893605	1.5784518698043686	0.0	2.984009490558697
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	0.5170470562499704	2.851333888864397	3.4803214558893605	1.5784518698043686	0.0	2.984009490558697
B_ovatus	0.0	0.0	0.0	0.0	0.0	0.5170470562499704	2.851333888864397	3.4803214558893605	1.5784518698043686	0.0	2.984009490558697
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.5170470562499704	2.851333888864397	3.4803214558893605	1.5784518698043686	0.0	2.984009490558697
B_uniformis	0.0	0.0	0.0	0.0	0.0	0.5170470562499704	2.851333888864397	3.4803214558893605	1.5784518698043686	0.0	2.984009490558697
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	2.334286832614427	2.96327439963939	1.061404813554398	0.0	2.4669624343087264
C_aerofaciens	1.164047881928553	1.164047881928553	1.164047881928553	1.164047881928553	1.164047881928553	1.164047881928553	0.0	1.3906507357442264	0.0	1.164047881928553	0.7813014714884521
C_scindens	1.4981799682102235	1.4981799682102235	1.4981799682102235	1.4981799682102235	1.4981799682102235	1.4981799682102235	1.0957952550009336	0.0	0.0	1.4981799682102235	0.7813014714884521
C_spiroforme	1.9719180690747442	1.9719180690747442	1.9719180690747442	1.9719180690747442	1.9719180690747442	1.9719180690747442	2.08075220620622	2.375607686949513	0.0	1.735049018642484	1.9765587574682595
P_distasonis	0.23686905043226034	0.23686905043226034	0.23686905043226034	0.23686905043226034	0.23686905043226034	0.7539161066822307	3.0882029392966577	3.7171905063216206	1.5784518698043686	0.0	3.220878540990957
R_obeum	1.400916932360813	1.400916932360813	1.400916932360813	1.400916932360813	1.400916932360813	1.400916932360813	0.8854949202264126	1.1803504009697052	0.0	1.400916932360813	0.0
