	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	1.0477494630271695	1.0477494630271695	1.0477494630271695	1.0477494630271695	0.0	1.5531401074587305	3.3223340918494224	0.530702406777199	1.028265906590736	2.064358957799496
B_cellulosilyticus_WH2	1.3606182024240812	0.0	0.9456603046006401	1.3606182024240812	0.8299157956468821	0.8299157956468821	1.5531401074587305	3.3223340918494224	1.3606182024240812	1.871837052764847	2.4793168556229377
B_ovatus	0.41495789782344106	0.0	0.0	0.41495789782344106	0.41495789782344106	0.41495789782344106	1.5531401074587305	3.3223340918494224	0.9456603046006401	0.9261767481642068	2.4793168556229377
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	1.5531401074587305	3.3223340918494224	0.530702406777199	0.5112188503407658	2.064358957799496
B_uniformis	1.0477494630271695	0.5170470562499704	1.0477494630271695	1.0477494630271695	0.0	0.5170470562499704	1.5531401074587305	3.3223340918494224	0.530702406777199	1.0419212571179648	2.064358957799496
B_vulgatus	1.5647965192771398	2.08184357552711	2.612545982304309	2.612545982304309	2.08184357552711	0.0	1.5531401074587305	3.3223340918494224	0.530702406777199	1.5589683133679353	2.064358957799496
C_aerofaciens	2.9117593711739924	2.598890631777081	3.5445509363777212	3.959508834201162	2.9117593711739924	1.3469628518968526	0.0	1.769193984390692	0.8299157956468821	2.388884109014817	0.9261767481642068
C_scindens	2.9117593711739924	2.598890631777081	3.5445509363777212	3.959508834201162	2.9117593711739924	1.3469628518968526	0.0	0.0	0.8299157956468821	1.8776652586740514	0.41495789782344106
C_spiroforme	2.206846778936142	2.7238938351861126	3.254596241963312	3.254596241963312	2.206846778936142	0.6420502596590022	1.1474409040905633	2.9166348884812554	0.0	1.683971516776967	1.658659754431329
P_distasonis	1.5511411687499113	2.08184357552711	2.08184357552711	2.08184357552711	1.5647965192771398	0.5170470562499704	1.5531401074587305	2.811115241508657	0.530702406777199	0.0	1.5531401074587305
R_obeum	2.4968014733505512	2.598890631777081	3.5445509363777212	3.5445509363777212	2.4968014733505512	0.9320049540734114	0.0	1.2579751340499263	0.41495789782344106	1.4627073608506105	0.0
