	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	100.7447745829748	62.25150466149388	54.913244477272265	69.18883627790945	68.46808976604171	165.98580970338168	244.5465475800127	72.47881766954234	101.1018877574322	236.5830452288069
B_cellulosilyticus_WH2	40.41872489269143	0.0	46.38991426441951	47.54042562634739	34.25624612471588	50.4096326497697	149.79739369891547	232.23362329898663	72.26198608549416	75.69106693302683	225.03001497283634
B_ovatus	19.9908565037281	64.4553157969371	0.0	34.263205506307756	52.38693699469514	46.695212997051925	157.2207618806373	234.7668291596901	70.48034695042367	85.50943051000347	231.45855461585143
B_thetaiotaomicron	17.127038716238356	70.08026955559689	38.73764790303965	0.0	52.8013370071185	52.74227905767897	161.2988625579166	239.1444527185046	69.00933358371972	86.58835471377859	233.24865973106336
B_uniformis	54.04157326077228	79.43503279786208	79.50032213532376	75.44027975101523	0.0	58.54801015531072	158.2788422307039	240.19625524590074	72.05673586455202	92.37826215360448	233.57954637802203
B_vulgatus	48.283779383198976	90.5513719572103	68.77155077197494	70.34417443587012	53.51096278960512	0.0	155.225877260727	232.66683973707532	70.35040924660888	94.54644048303058	226.66445558353303
C_aerofaciens	250.0965762413475	294.23420992716467	283.59217657636896	283.19583485691635	257.5368717858069	259.52095418153556	0.0	205.27544285154966	51.96802186824113	276.2695625268416	197.94287469431126
C_scindens	216.6317596117663	264.6448850210236	249.1126893492095	249.0158705112921	227.42873029479154	224.9363621516717	93.24988834533744	0.0	42.02475092760811	236.78432427445912	99.13234968191071
C_spiroforme	276.0147857155996	336.1240038218348	316.2769631542467	310.3315073908108	290.7399669277465	294.0706876755089	171.39322337633254	273.4755069419118	0.0	315.62152713591723	262.84066075689753
P_distasonis	60.57709380572614	95.49232267160417	87.24528471606321	83.84976652310644	67.0007312190356	74.2059569141673	151.63400203716975	224.1743182909995	71.56076513815394	0.0	222.69393281814294
R_obeum	213.77559053638947	262.5486099707023	250.91174808119982	248.22741079967983	225.91935470274177	224.04131127395834	91.02465346392802	104.23968295773969	36.49723801842283	240.41127207743153	0.0
