	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	19.9825409095064	15.613708889112683	15.534752538968599	12.267005076734986	11.125701871219135	1.4204645057644307	3.322334091849423	4.103480817005119	7.104038302303297	3.9558983303007165
B_cellulosilyticus_WH2	3.5651860945236438	0.0	2.773709155784176	3.1659077549578707	1.8883689818905192	2.4592153722716943	0.9434813505374448	3.322334091849423	4.438789774017899	4.08098161629074	3.9558983303007165
B_ovatus	1.5531401074587308	5.130495189112981	0.0	2.7768795463948774	4.285453745156056	0.9882020055677518	0.9434813505374448	2.8453509366224363	4.5804639722321046	2.663687501137011	3.9558983303007165
B_thetaiotaomicron	2.581406014049467	6.6299160450215	3.8841018031297	0.0	5.8249385020875595	2.016467912158488	0.9434813505374448	2.8453509366224363	3.5727784102279196	3.7114369641641805	3.9558983303007165
B_uniformis	3.3524573545351393	9.39117607467343	9.431474804610165	9.863737304806845	0.0	7.5980766087527325	0.9434813505374448	3.322334091849423	4.295938705072584	3.9517858978726537	3.3956916461688245
B_vulgatus	4.495166840866615	12.246035156901929	8.418235756869183	8.339279406725096	9.882089300600052	0.0	0.9434813505374448	3.322334091849423	5.534430282686076	5.196105681395352	3.9558983303007165
C_aerofaciens	17.0783698240086	33.01874148376437	30.661955450435567	29.55473319370075	25.515934390981457	23.231921699134134	0.0	4.634927601782222	8.426911296902748	18.284081382054087	6.542994927956654
C_scindens	16.489520821758386	32.90687563674115	30.073106448185353	28.96588419145053	25.404068543958232	23.120055852110905	2.144209013447015	0.0	7.563712494744029	17.695232379803873	5.472740845385879
C_spiroforme	13.353680648384522	30.106344420380065	27.891232585265463	25.776324766526457	22.460686258651833	21.415165144418005	2.0192058100379837	3.6467255962144702	0.0	14.98265611010678	5.724212706991955
P_distasonis	5.898326744257808	19.292624873228014	15.518544724745478	15.459071931037823	11.660622062027011	10.620929153702386	1.4204645057644307	3.322334091849423	4.526744720681892	0.0	3.0293480725038138
R_obeum	14.491273226352664	30.908628041335422	28.551842008006616	27.444619751271798	22.845614264420618	21.121808256705187	1.4204645057644307	2.8409290115288615	7.0093877716645	14.770434526601248	0.0
