	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	9.201631685315897	7.351371661500572	4.591216025267683	7.423537547710879	4.490378223604949	7.56891557775778	7.430894181310252	2.463063571587984	7.66740419694287	9.508717114172638
B_cellulosilyticus_WH2	1.5194888594305858	0.0	2.805470592974087	1.9308719449803946	3.801797299427084	1.942072107894256	7.2010607007837875	6.81264775516268	2.7076978362226116	5.600449505679212	8.810242707978473
B_ovatus	1.1668564347130508	4.303098192071874	0.0	2.352919617161021	4.11750878255484	2.0057300708183954	7.56891557775778	6.81264775516268	2.4200709392952118	6.168214509010584	8.810242707978473
B_thetaiotaomicron	0.5763801886017929	5.5981789341998125	4.522599007282652	0.0	4.604230061210467	2.7072695219238194	7.2010607007837875	7.430894181310252	2.463063571587984	6.610540081492217	8.773007360224653
B_uniformis	2.122291663202698	6.182694240804207	5.000778124834179	3.3178200133681743	0.0	2.531369939455174	7.402481163006641	6.976832869631712	2.463063571587984	5.407906881921795	8.664473623858703
B_vulgatus	1.3120899425497783	6.445926652724393	5.011957016550746	3.5438170775345386	4.654327542908185	0.0	7.238296048537609	6.482028225942509	2.1324440423678115	6.360148532318638	8.559851158804893
C_aerofaciens	14.353640784108087	21.6679287330194	20.538156010895612	18.000621743799986	19.48845225386513	17.201309535943086	0.0	7.629751670725169	2.749544460997251	16.397551577638513	9.343985190910674
C_scindens	13.73637213995093	20.800268539688666	19.30264094059088	17.751207976616826	18.583556712780574	15.965794465638359	7.150504423015542	0.0	2.8064186268309843	16.231859883350207	8.04658139069609
C_spiroforme	14.836718327677243	22.763495418197177	20.978240922171995	18.851554164343135	20.137964212185427	17.68438707951224	8.338474010736201	8.874595424279565	0.0	17.632321563026036	11.270549291340004
P_distasonis	4.871800961594077	10.48698909621573	9.557126500449318	7.829772682809316	7.913549531081186	6.742833578025016	6.817223135939412	7.130778689360734	2.463063571587984	0.0	9.20860162222312
R_obeum	12.224585594539741	19.208254014230885	17.7106264151331	15.503711677257646	16.681587988733988	14.454007920227166	5.275128464927467	4.456971912422515	1.6127630156178474	14.720073337939018	0.0
