	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	19.99720252031463	14.311635247648049	14.352965908910784	11.603412237339093	14.754832073774061	9.814804414629611	10.384079753826457	5.283649354834275	13.103558436064503	13.95683804615894
B_cellulosilyticus_WH2	3.9236878620515445	0.0	3.007222976512073	4.072633009113028	3.053816229999149	5.682039675638594	9.484184885409437	10.053460224606283	5.516067813004181	11.114415897519649	12.98564478912979
B_ovatus	1.812264440447575	6.581366827574682	0.0	3.775209023152989	5.3725480291665155	5.63902952819473	9.484184885409437	10.053460224606283	5.6142688840544475	10.076482117504014	13.95683804615894
B_thetaiotaomicron	2.147684009775361	7.940865768240688	4.069297931218039	0.0	6.157453529396108	5.891895036981297	9.484184885409437	10.053460224606283	4.915794477860283	10.449137034585622	13.626218516938767
B_uniformis	4.511945289652428	12.03586394057557	10.780451888680329	11.271268480844869	0.0	12.085329719840907	9.153565356189267	9.722840695386111	5.086431468104589	11.058059792817868	12.597339105492932
B_vulgatus	4.015707090310269	11.016429350437887	7.3992753519314105	7.358051952652927	8.437671684063776	0.0	8.653446367306696	9.519170932881153	5.94488841327462	10.370733796568542	12.737579320450836
C_aerofaciens	26.4296924386919	42.17258756773481	38.5984437166722	38.304354808607144	32.85992032793822	36.00745937483278	0.0	8.584200038953652	7.39373708104538	33.08476234637158	12.538360531716181
C_scindens	26.04386071466803	41.78675584371094	38.212611992648334	37.918523084583285	32.474088603914346	35.91807687718652	7.629092975732935	0.0	6.441063360303542	31.93373320831816	11.673555216708927
C_spiroforme	27.52253044411031	43.8284635605433	40.35252078053095	39.35995746627174	34.41677950506728	38.92289448601445	13.017730146259122	13.020163488738	0.0	34.82533443801914	18.876088316940994
P_distasonis	5.763519094401845	19.84789121412008	15.235813583041828	15.314379592058387	10.809487398841878	13.769819438369677	9.129834980646642	8.933912905813925	5.246414007080456	0.0	10.912504499028389
R_obeum	24.105830700037238	39.20815210127117	36.60520150723771	35.98049306995249	29.837798707057896	33.62569695779293	6.072465161532189	6.16276690974565	6.786199881543258	28.401536494569342	0.0
