	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.20286085825747724	0.11977715877437323	0.1166666666666667	0.18791946308724827	0.15753424657534243	0.5779467680608366	0.5190930787589498	0.7010014306151645	0.23267973856209145	0.49022004889975546
B_cellulosilyticus_WH2	0.20286085825747724	0.0	0.1472868217054264	0.16793893129770987	0.15917843388960207	0.17496807151979565	0.5861664712778429	0.5244988864142539	0.7314578005115089	0.22716049382716053	0.4977220956719818
B_ovatus	0.11977715877437323	0.1472868217054264	0.0	0.12016021361815754	0.19096774193548383	0.1618421052631579	0.5889423076923077	0.5273348519362187	0.7217043941411452	0.25155666251556663	0.5104166666666667
B_thetaiotaomicron	0.1166666666666667	0.16793893129770987	0.12016021361815754	0.0	0.18556701030927836	0.17792207792207793	0.5985748218527316	0.5338600451467268	0.7154255319148937	0.24626865671641796	0.5086505190311419
B_uniformis	0.18791946308724827	0.15917843388960207	0.19096774193548383	0.18556701030927836	0.0	0.1618421052631579	0.5786924939467313	0.5137931034482759	0.7096774193548387	0.22503160556257906	0.4840989399293286
B_vulgatus	0.15753424657534243	0.17496807151979565	0.1618421052631579	0.17792207792207793	0.1618421052631579	0.0	0.5726495726495726	0.4953271028037384	0.7181208053691275	0.210997442455243	0.4719904648390941
C_aerofaciens	0.5779467680608366	0.5861664712778429	0.5889423076923077	0.5985748218527316	0.5786924939467313	0.5726495726495726	0.0	0.4609826589595376	0.6240601503759399	0.5831325301204819	0.44493392070484583
C_scindens	0.5190930787589498	0.5244988864142539	0.5273348519362187	0.5338600451467268	0.5137931034482759	0.4953271028037384	0.4609826589595376	0.0	0.6682316118935837	0.5063437139561707	0.3267045454545454
C_spiroforme	0.7010014306151645	0.7314578005115089	0.7217043941411452	0.7154255319148937	0.7096774193548387	0.7181208053691275	0.6240601503759399	0.6682316118935837	0.0	0.7258278145695365	0.6544585987261147
P_distasonis	0.23267973856209145	0.22716049382716053	0.25155666251556663	0.24626865671641796	0.22503160556257906	0.210997442455243	0.5831325301204819	0.5063437139561707	0.7258278145695365	0.0	0.488862837045721
R_obeum	0.49022004889975546	0.4977220956719818	0.5104166666666667	0.5086505190311419	0.4840989399293286	0.4719904648390941	0.44493392070484583	0.3267045454545454	0.6544585987261147	0.488862837045721	0.0
