	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.2135854341736695	0.1312453392990306	0.11831198191409198	0.19676945668135093	0.18450184501845024	0.6562107904642409	0.6140350877192983	0.7114682249817386	0.2524407252440726	0.6024027459954233
B_cellulosilyticus_WH2	0.2135854341736695	0.0	0.16851595006934816	0.17980636237897651	0.1804775280898876	0.21034482758620687	0.655050206733609	0.6211312700106724	0.7373670212765957	0.25561426684280053	0.6117393645665051
B_ovatus	0.1312453392990306	0.16851595006934816	0.0	0.1171761280931587	0.20070671378091876	0.1759656652360515	0.6578472639807577	0.6155943293347874	0.7248968363136177	0.25771812080536916	0.6112938596491229
B_thetaiotaomicron	0.11831198191409198	0.17980636237897651	0.1171761280931587	0.0	0.19815340909090906	0.18888096935138987	0.6640625	0.6220043572984749	0.7205270457697642	0.25791245791245787	0.613948380010983
B_uniformis	0.19676945668135093	0.1804775280898876	0.20070671378091876	0.19815340909090906	0.0	0.17916970138383104	0.6505875077303649	0.6149137451307736	0.7196593328601846	0.2501718213058419	0.6058394160583942
B_vulgatus	0.18450184501845024	0.21034482758620687	0.1759656652360515	0.18888096935138987	0.17916970138383104	0.0	0.6464396284829721	0.6041433370660694	0.7168204400283888	0.2570061517429938	0.5957086391869
C_aerofaciens	0.6562107904642409	0.655050206733609	0.6578472639807577	0.6640625	0.6505875077303649	0.6464396284829721	0.0	0.5567352355673524	0.6454545454545455	0.6546112115732369	0.5472203616878768
C_scindens	0.6140350877192983	0.6211312700106724	0.6155943293347874	0.6220043572984749	0.6149137451307736	0.6041433370660694	0.5567352355673524	0.0	0.6796473181484203	0.6057111477210324	0.37745740498034075
C_spiroforme	0.7114682249817386	0.7373670212765957	0.7248968363136177	0.7205270457697642	0.7196593328601846	0.7168204400283888	0.6454545454545455	0.6796473181484203	0.0	0.7327409432672591	0.6624346527259148
P_distasonis	0.2524407252440726	0.25561426684280053	0.25771812080536916	0.25791245791245787	0.2501718213058419	0.2570061517429938	0.6546112115732369	0.6057111477210324	0.7327409432672591	0.0	0.6044077134986225
R_obeum	0.6024027459954233	0.6117393645665051	0.6112938596491229	0.613948380010983	0.6058394160583942	0.5957086391869	0.5472203616878768	0.37745740498034075	0.6624346527259148	0.6044077134986225	0.0
