	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.16666666666666663	0.07999999999999996	0.06999999999999995	0.14423076923076927	0.17272727272727273	0.6666666666666667	0.6470588235294117	0.8910891089108911	0.28	0.6692307692307693
B_cellulosilyticus_WH2	0.16666666666666663	0.0	0.11214953271028039	0.13761467889908252	0.15454545454545454	0.18103448275862066	0.6917293233082706	0.6640625	0.9009009009009009	0.33333333333333337	0.6642335766423357
B_ovatus	0.07999999999999996	0.11214953271028039	0.0	0.08737864077669899	0.14150943396226412	0.1696428571428571	0.6771653543307087	0.6585365853658536	0.8952380952380953	0.3023255813953488	0.6791044776119404
B_thetaiotaomicron	0.06999999999999995	0.13761467889908252	0.08737864077669899	0.0	0.13207547169811318	0.1607142857142857	0.6796875	0.6612903225806452	0.8962264150943396	0.2945736434108527	0.6716417910447761
B_uniformis	0.14423076923076927	0.15454545454545454	0.14150943396226412	0.13207547169811318	0.0	0.17699115044247793	0.6692913385826771	0.639344262295082	0.8857142857142857	0.3076923076923077	0.6515151515151515
B_vulgatus	0.17272727272727273	0.18103448275862066	0.1696428571428571	0.1607142857142857	0.17699115044247793	0.0	0.6791044776119404	0.6615384615384615	0.8938053097345133	0.29850746268656714	0.6714285714285715
C_aerofaciens	0.6666666666666667	0.6917293233082706	0.6771653543307087	0.6796875	0.6692913385826771	0.6791044776119404	0.0	0.5108695652173914	0.8571428571428572	0.7094594594594594	0.5392156862745099
C_scindens	0.6470588235294117	0.6640625	0.6585365853658536	0.6612903225806452	0.639344262295082	0.6615384615384615	0.5108695652173914	0.0	0.8356164383561644	0.676056338028169	0.5102040816326531
C_spiroforme	0.8910891089108911	0.9009009009009009	0.8952380952380953	0.8962264150943396	0.8857142857142857	0.8938053097345133	0.8571428571428572	0.8356164383561644	0.0	0.905511811023622	0.8850574712643678
P_distasonis	0.28	0.33333333333333337	0.3023255813953488	0.2945736434108527	0.3076923076923077	0.29850746268656714	0.7094594594594594	0.676056338028169	0.905511811023622	0.0	0.6666666666666667
R_obeum	0.6692307692307693	0.6642335766423357	0.6791044776119404	0.6716417910447761	0.6515151515151515	0.6714285714285715	0.5392156862745099	0.5102040816326531	0.8850574712643678	0.6666666666666667	0.0
