	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.5326086956521738	0.426829268292683	0.45783132530120485	0.4342105263157895	0.4383561643835616	0.8363636363636364	0.8333333333333334	0.7213114754098361	0.4242424242424242	0.7
B_cellulosilyticus_WH2	0.5326086956521738	0.0	0.19999999999999996	0.25	0.2727272727272727	0.348314606741573	0.8850574712643678	0.8924731182795699	0.8315789473684211	0.5268817204301075	0.8064516129032258
B_ovatus	0.426829268292683	0.19999999999999996	0.0	0.17647058823529416	0.32183908045977017	0.23750000000000004	0.8765432098765432	0.872093023255814	0.8202247191011236	0.44047619047619047	0.7931034482758621
B_thetaiotaomicron	0.45783132530120485	0.25	0.17647058823529416	0.0	0.3707865168539326	0.2716049382716049	0.875	0.8705882352941177	0.7906976744186046	0.47058823529411764	0.7906976744186046
B_uniformis	0.4342105263157895	0.2727272727272727	0.32183908045977017	0.3707865168539326	0.0	0.42168674698795183	0.8591549295774648	0.8701298701298701	0.7974683544303798	0.4285714285714286	0.75
B_vulgatus	0.4383561643835616	0.348314606741573	0.23750000000000004	0.2716049382716049	0.42168674698795183	0.0	0.8484848484848485	0.8611111111111112	0.8157894736842105	0.43243243243243246	0.75
C_aerofaciens	0.8363636363636364	0.8850574712643678	0.8765432098765432	0.875	0.8591549295774648	0.8484848484848485	0.0	0.8148148148148149	0.8235294117647058	0.8421052631578947	0.7096774193548387
C_scindens	0.8333333333333334	0.8924731182795699	0.872093023255814	0.8705882352941177	0.8701298701298701	0.8611111111111112	0.8148148148148149	0.0	0.8205128205128205	0.8387096774193549	0.6857142857142857
C_spiroforme	0.7213114754098361	0.8315789473684211	0.8202247191011236	0.7906976744186046	0.7974683544303798	0.8157894736842105	0.8235294117647058	0.8205128205128205	0.0	0.75	0.7727272727272727
P_distasonis	0.4242424242424242	0.5268817204301075	0.44047619047619047	0.47058823529411764	0.4285714285714286	0.43243243243243246	0.8421052631578947	0.8387096774193549	0.75	0.0	0.6666666666666667
R_obeum	0.7	0.8064516129032258	0.7931034482758621	0.7906976744186046	0.75	0.75	0.7096774193548387	0.6857142857142857	0.7727272727272727	0.6666666666666667	0.0
