	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.32380952380952377	0.26530612244897955	0.1685393258426966	0.303030303030303	0.1910112359550562	0.7692307692307692	0.7378640776699029	0.7976190476190477	0.4117647058823529	0.6944444444444444
B_cellulosilyticus_WH2	0.32380952380952377	0.0	0.22018348623853212	0.23584905660377353	0.3008849557522124	0.2547169811320755	0.8031496062992126	0.768	0.8532110091743119	0.44999999999999996	0.7307692307692308
B_ovatus	0.26530612244897955	0.22018348623853212	0.0	0.20792079207920788	0.2777777777777778	0.20999999999999996	0.8032786885245902	0.7563025210084033	0.8333333333333334	0.4482758620689655	0.717741935483871
B_thetaiotaomicron	0.1685393258426966	0.23584905660377353	0.20792079207920788	0.0	0.2450980392156863	0.18947368421052635	0.7807017543859649	0.7631578947368421	0.8210526315789474	0.42727272727272725	0.7008547008547008
B_uniformis	0.303030303030303	0.3008849557522124	0.2777777777777778	0.2450980392156863	0.0	0.22999999999999998	0.8	0.7627118644067796	0.83	0.4107142857142857	0.7131147540983607
B_vulgatus	0.1910112359550562	0.2547169811320755	0.20999999999999996	0.18947368421052635	0.22999999999999998	0.0	0.7767857142857143	0.7247706422018348	0.8043478260869565	0.4018691588785047	0.6842105263157895
C_aerofaciens	0.7692307692307692	0.8031496062992126	0.8032786885245902	0.7807017543859649	0.8	0.7767857142857143	0.0	0.7228915662650602	0.796875	0.7678571428571428	0.6853932584269663
C_scindens	0.7378640776699029	0.768	0.7563025210084033	0.7631578947368421	0.7627118644067796	0.7247706422018348	0.7228915662650602	0.0	0.803030303030303	0.7610619469026548	0.6
C_spiroforme	0.7976190476190477	0.8532110091743119	0.8333333333333334	0.8210526315789474	0.83	0.8043478260869565	0.796875	0.803030303030303	0.0	0.8191489361702128	0.7671232876712328
P_distasonis	0.4117647058823529	0.44999999999999996	0.4482758620689655	0.42727272727272725	0.4107142857142857	0.4018691588785047	0.7678571428571428	0.7610619469026548	0.8191489361702128	0.0	0.7203389830508475
R_obeum	0.6944444444444444	0.7307692307692308	0.717741935483871	0.7008547008547008	0.7131147540983607	0.6842105263157895	0.6853932584269663	0.6	0.7671232876712328	0.7203389830508475	0.0
