	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
B_caccae	0.0	0.33499999999999996	0.2362637362637363	0.24590163934426235	0.2666666666666667	0.2786885245901639	0.7191011235955056	0.7094972067039106	0.8271604938271605	0.32984293193717273	0.6789473684210526
B_cellulosilyticus_WH2	0.33499999999999996	0.0	0.15228426395939088	0.18905472636815923	0.20707070707070707	0.25365853658536586	0.7681818181818182	0.7601809954751131	0.8689320388349515	0.4122807017543859	0.7217391304347827
B_ovatus	0.2362637362637363	0.15228426395939088	0.0	0.12765957446808507	0.2227979274611399	0.19791666666666663	0.7548076923076923	0.7464114832535885	0.8608247422680413	0.35680751173708924	0.7239819004524887
B_thetaiotaomicron	0.24590163934426235	0.18905472636815923	0.12765957446808507	0.0	0.24102564102564106	0.20725388601036265	0.7548076923076923	0.7464114832535885	0.8489583333333334	0.36448598130841126	0.7181818181818183
B_uniformis	0.2666666666666667	0.20707070707070707	0.2227979274611399	0.24102564102564106	0.0	0.2806122448979592	0.7373737373737373	0.728643216080402	0.8478260869565217	0.3526570048309179	0.6875
B_vulgatus	0.2786885245901639	0.25365853658536586	0.19791666666666663	0.20725388601036265	0.2806122448979592	0.0	0.735	0.7326732673267327	0.8624338624338624	0.34615384615384615	0.6981132075471699
C_aerofaciens	0.7191011235955056	0.7681818181818182	0.7548076923076923	0.7548076923076923	0.7373737373737373	0.735	0.0	0.5798319327731092	0.8468468468468469	0.7463414634146341	0.5789473684210527
C_scindens	0.7094972067039106	0.7601809954751131	0.7464114832535885	0.7464114832535885	0.728643216080402	0.7326732673267327	0.5798319327731092	0.0	0.8303571428571428	0.7254901960784313	0.5563909774436091
C_spiroforme	0.8271604938271605	0.8689320388349515	0.8608247422680413	0.8489583333333334	0.8478260869565217	0.8624338624338624	0.8468468468468469	0.8303571428571428	0.0	0.8534031413612566	0.8473282442748091
P_distasonis	0.32984293193717273	0.4122807017543859	0.35680751173708924	0.36448598130841126	0.3526570048309179	0.34615384615384615	0.7463414634146341	0.7254901960784313	0.8534031413612566	0.0	0.6666666666666667
R_obeum	0.6789473684210526	0.7217391304347827	0.7239819004524887	0.7181818181818183	0.6875	0.6981132075471699	0.5789473684210527	0.5563909774436091	0.8473282442748091	0.6666666666666667	0.0
