Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BcWH2_00026	ALJ59398.1|GH30_2	100.0	470	0	0	1	470	1	470	3.4e-289	997.3
BcWH2_00027	ALJ59399.1|GH43_2	100.0	328	0	0	1	328	1	328	2.5e-206	721.5
BcWH2_00028	ALJ59400.1|GH3	100.0	854	0	0	1	854	1	854	0.0e+00	1732.6
BcWH2_00029	ALJ59401.1|GH92	100.0	754	0	0	1	754	1	754	0.0e+00	1573.9
BcWH2_00030	ALJ59402.1|GH43_2	100.0	320	0	0	1	320	1	320	1.8e-185	652.1
BcWH2_00044	ALJ59416.1|GH95	100.0	685	0	0	1	685	1	685	0.0e+00	1424.8
BcWH2_00056	ALJ59428.1|GT2	100.0	329	0	0	1	329	1	329	3.0e-191	671.4
BcWH2_00106	ALJ59478.1|GH171	100.0	388	0	0	1	388	1	388	3.7e-233	810.8
BcWH2_00110	ALJ59482.1|GT2	100.0	487	0	0	1	487	1	487	2.7e-289	997.7
BcWH2_00112	BCS84357.1|GT2	61.4	453	159	2	2	454	817	1253	9.5e-156	553.9
BcWH2_00114	ALJ59486.1|GH171	100.0	410	0	0	1	410	1	410	2.7e-242	841.3
BcWH2_00140	ALJ59511.1|GH3	100.0	784	0	0	1	784	1	784	0.0e+00	1558.5
BcWH2_00141	ALJ59512.1|GH144	100.0	441	0	0	1	441	1	441	2.4e-276	954.5
BcWH2_00142	ALJ59513.1|GH29	100.0	733	0	0	1	733	1	733	0.0e+00	1531.9
BcWH2_00143	ALJ59514.1|GH95	100.0	813	0	0	1	813	1	813	0.0e+00	1671.4
BcWH2_00145	ALJ59516.1|GH106	100.0	1187	0	0	1	1187	1	1187	0.0e+00	2502.6
BcWH2_00146	QUT89440.1|GH28	100.0	486	0	0	1	486	1	486	2.4e-242	841.6
BcWH2_00150	ALJ59521.1|GH31	100.0	716	0	0	1	716	1	716	0.0e+00	1507.7
BcWH2_00151	ALJ59522.1|GH29	100.0	505	0	0	1	505	1	505	3.7e-302	1040.4
BcWH2_00152	ALJ59523.1|GH78	100.0	928	0	0	1	928	1	928	0.0e+00	1920.2
BcWH2_00153	ALJ59524.1|CBM67|GH78	100.0	765	0	0	1	765	1	765	0.0e+00	1607.4
BcWH2_00154	ALJ59525.1|GH29	100.0	504	0	0	1	504	1	504	2.8e-305	1050.8
BcWH2_00160	ALJ59531.1|GH3	100.0	773	0	0	1	773	1	773	0.0e+00	1541.2
BcWH2_00162	ALJ59533.1|GH144	100.0	440	0	0	1	440	1	440	6.8e-276	953.0
BcWH2_00164	ALJ59535.1|CE15	100.0	406	0	0	1	406	1	406	3.3e-240	834.3
BcWH2_00179	QUT89414.1|GH28	100.0	491	0	0	1	491	1	491	1.6e-289	998.4
BcWH2_00180	ALJ59551.1|GH95	100.0	823	0	0	1	823	1	823	0.0e+00	1713.4
BcWH2_00181	ALJ59552.1|GH3	100.0	863	0	0	1	863	1	863	0.0e+00	1770.7
