## Mon Sep  5 19:00:29 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_o5m4sk1o --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_o5m4sk1o --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_o5m4sk1o/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
BcWH2_00001	1268240.ATFI01000001_gene2591	2.55e-130	370.0	COG3646@1|root,COG3646@2|Bacteria,4NPHX@976|Bacteroidetes,2G3A8@200643|Bacteroidia,4AWCK@815|Bacteroidaceae	976|Bacteroidetes	S	ORF6N domain	-	-	-	-	-	-	-	-	-	-	-	-	ORF6N
BcWH2_00002	1268240.ATFI01000001_gene2592	1.26e-55	173.0	COG1396@1|root,COG1396@2|Bacteria,4NXRI@976|Bacteroidetes,2FUN1@200643|Bacteroidia,4AS6U@815|Bacteroidaceae	976|Bacteroidetes	K	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	HTH_26,HTH_3
BcWH2_00003	411476.BACOVA_04644	5.75e-31	113.0	2A7QQ@1|root,30WPG@2|Bacteria,4PA2U@976|Bacteroidetes,2FW1S@200643|Bacteroidia,4ASUE@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BcWH2_00006	1268240.ATFI01000001_gene2594	2.15e-109	314.0	2BUM1@1|root,32PXM@2|Bacteria,4PB6V@976|Bacteroidetes,2FYIU@200643|Bacteroidia,4AUA5@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BcWH2_00010	742727.HMPREF9447_01890	3.08e-102	296.0	COG2146@1|root,COG2146@2|Bacteria,4PJMB@976|Bacteroidetes,2FSD0@200643|Bacteroidia,4AQTQ@815|Bacteroidaceae	976|Bacteroidetes	P	nitrite reductase [NAD(P)H] activity	-	-	-	-	-	-	-	-	-	-	-	-	-
BcWH2_00011	1268240.ATFI01000001_gene2596	0.0	885.0	COG0165@1|root,COG0165@2|Bacteria,4NFCY@976|Bacteroidetes,2FPNB@200643|Bacteroidia,4ANCW@815|Bacteroidaceae	976|Bacteroidetes	E	Psort location Cytoplasmic, score	argH	GO:0003674,GO:0003824,GO:0004056,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016829,GO:0016840,GO:0016842,GO:0019752,GO:0042450,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.3.2.1	ko:K01755	ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,map00220,map00250,map01100,map01110,map01130,map01230	M00029,M00844,M00845	R01086	RC00445,RC00447	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Lyase_1
BcWH2_00012	1268240.ATFI01000001_gene2597	1.92e-92	270.0	COG3427@1|root,COG3427@2|Bacteria,4NT9F@976|Bacteroidetes,2G2KQ@200643|Bacteroidia,4AQKX@815|Bacteroidaceae	976|Bacteroidetes	E	oxidoreductase activity, acting on CH-OH group of donors	-	-	-	-	-	-	-	-	-	-	-	-	Polyketide_cyc2
BcWH2_00013	1268240.ATFI01000001_gene2598	6.17e-151	424.0	COG0461@1|root,COG0461@2|Bacteria,4NEF8@976|Bacteroidetes,2FMTB@200643|Bacteroidia,4AKBK@815|Bacteroidaceae	976|Bacteroidetes	F	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)	pyrE	-	2.4.2.10,4.1.1.23	ko:K00762,ko:K13421	ko00240,ko00983,ko01100,map00240,map00983,map01100	M00051	R00965,R01870,R08231	RC00063,RC00409,RC00611	ko00000,ko00001,ko00002,ko01000	-	-	-	OMPdecase,Pribosyltran
BcWH2_00014	1268240.ATFI01000001_gene2599	3.97e-112	322.0	COG2137@1|root,COG2137@2|Bacteria,4NSAS@976|Bacteroidetes,2FS4X@200643|Bacteroidia,4AQV1@815|Bacteroidaceae	976|Bacteroidetes	S	Modulates RecA activity	recX	-	-	ko:K03565	-	-	-	-	ko00000,ko03400	-	-	-	RecX
BcWH2_00015	1268240.ATFI01000001_gene2600	1.03e-200	555.0	COG2890@1|root,COG2890@2|Bacteria,4NDZB@976|Bacteroidetes,2FM3H@200643|Bacteroidia,4AKIX@815|Bacteroidaceae	976|Bacteroidetes	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0016740,GO:0016741,GO:0032259,GO:0044424,GO:0044444,GO:0044464	2.1.1.297	ko:K02493	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03012	-	-	-	MTS
BcWH2_00016	1268240.ATFI01000001_gene2601	1.47e-251	689.0	COG0117@1|root,COG1985@1|root,COG0117@2|Bacteria,COG1985@2|Bacteria,4NFJE@976|Bacteroidetes,2FM4R@200643|Bacteroidia,4AK6N@815|Bacteroidaceae	976|Bacteroidetes	H	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate	ribD	-	1.1.1.193,3.5.4.26	ko:K11752	ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024	M00125	R03458,R03459	RC00204,RC00933	ko00000,ko00001,ko00002,ko01000	-	-	-	RibD_C,dCMP_cyt_deam_1
BcWH2_00017	1268240.ATFI01000001_gene2602	0.0	890.0	COG1621@1|root,COG1621@2|Bacteria,4NTHV@976|Bacteroidetes,2FPZA@200643|Bacteroidia,4AKEF@815|Bacteroidaceae	976|Bacteroidetes	G	COG NOG27066 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	-
BcWH2_00018	742727.HMPREF9447_01898	1.1e-167	468.0	COG3637@1|root,COG3637@2|Bacteria,4NF6B@976|Bacteroidetes,2FQWF@200643|Bacteroidia,4ANBP@815|Bacteroidaceae	976|Bacteroidetes	M	Outer membrane protein beta-barrel domain	-	-	-	-	-	-	-	-	-	-	-	-	OMP_b-brl
BcWH2_00019	1268240.ATFI01000001_gene2604	2.82e-181	503.0	COG0020@1|root,COG0020@2|Bacteria,4NF2B@976|Bacteroidetes,2FMM4@200643|Bacteroidia,4AKMC@815|Bacteroidaceae	976|Bacteroidetes	H	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids	uppS	GO:0002094,GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006066,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016093,GO:0016094,GO:0016740,GO:0016765,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046165,GO:0071704,GO:1901576,GO:1901615,GO:1901617	2.5.1.31	ko:K00806	ko00900,ko01110,map00900,map01110	-	R06447	RC00279,RC02839	ko00000,ko00001,ko01000,ko01006	-	-	-	Prenyltransf
BcWH2_00020	1268240.ATFI01000001_gene2605	0.0	1717.0	COG4775@1|root,COG4775@2|Bacteria,4NE6Z@976|Bacteroidetes,2FM76@200643|Bacteroidia,4AMG6@815|Bacteroidaceae	976|Bacteroidetes	M	Outer membrane protein assembly complex, YaeT protein	yaeT	-	-	ko:K07277	-	-	-	-	ko00000,ko02000,ko03029	1.B.33	-	-	Bac_surface_Ag,POTRA
BcWH2_00021	742727.HMPREF9447_01901	7.14e-105	304.0	COG2825@1|root,COG2825@2|Bacteria,4NNUB@976|Bacteroidetes,2G39A@200643|Bacteroidia	976|Bacteroidetes	M	membrane	ompH	-	-	ko:K06142	-	-	-	-	ko00000	-	-	-	OmpH
BcWH2_00022	1268240.ATFI01000001_gene2607	5.73e-51	167.0	COG2825@1|root,COG2825@2|Bacteria,4NWPA@976|Bacteroidetes,2G3DE@200643|Bacteroidia,4AWDW@815|Bacteroidaceae	976|Bacteroidetes	M	Membrane	-	-	-	ko:K06142	-	-	-	-	ko00000	-	-	-	OmpH
BcWH2_00023	1268240.ATFI01000001_gene2608	2.08e-205	567.0	COG0796@1|root,COG0796@2|Bacteria,4NG1C@976|Bacteroidetes,2FKYW@200643|Bacteroidia,4AKYZ@815|Bacteroidaceae	976|Bacteroidetes	M	Provides the (R)-glutamate required for cell wall biosynthesis	murI	-	5.1.1.3	ko:K01776	ko00471,ko01100,map00471,map01100	-	R00260	RC00302	ko00000,ko00001,ko01000,ko01011	-	-	-	Asp_Glu_race
BcWH2_00024	1268240.ATFI01000001_gene2609	5.42e-47	150.0	2A7S9@1|root,30WR6@2|Bacteria,4PA4A@976|Bacteroidetes,2FUQM@200643|Bacteroidia,4AS9A@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	DUF2007
