## Mon Sep  5 19:07:45 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dep6yqg0 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dep6yqg0 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dep6yqg0/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bth_00001	226186.BT_0001	9.92e-149	418.0	COG5492@1|root,COG5492@2|Bacteria,4NH7Q@976|Bacteroidetes,2FN1I@200643|Bacteroidia	976|Bacteroidetes	N	COG NOG06100 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00002	226186.BT_0002	5.71e-238	654.0	2FFIT@1|root,347G8@2|Bacteria,4P6EP@976|Bacteroidetes,2FVCC@200643|Bacteroidia,4ATBY@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00003	226186.BT_0003	1.38e-179	500.0	28PZ8@1|root,2ZCIQ@2|Bacteria,4NN6Q@976|Bacteroidetes,2FPHQ@200643|Bacteroidia,4APQ0@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function (DUF4469) with IG-like fold	-	-	-	-	-	-	-	-	-	-	-	-	DUF4469,HU-DNA_bdg
Bth_00004	226186.BT_0004	1.02e-154	434.0	2BU9R@1|root,32PJ8@2|Bacteria,4PAN7@976|Bacteroidetes,2FXB9@200643|Bacteroidia,4ASZE@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00005	226186.BT_0005	2.81e-128	364.0	COG0186@1|root,COG0186@2|Bacteria,4PAI4@976|Bacteroidetes,2FX13@200643|Bacteroidia,4AT51@815|Bacteroidaceae	976|Bacteroidetes	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	-	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02961	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S17
Bth_00006	226186.BT_0006	1.31e-107	309.0	29ZMJ@1|root,30MN2@2|Bacteria,4PADD@976|Bacteroidetes,2FWN6@200643|Bacteroidia,4ATD5@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00007	226186.BT_0008	8.68e-129	365.0	COG0454@1|root,COG0454@2|Bacteria,4P55C@976|Bacteroidetes,2FU1S@200643|Bacteroidia,4AS22@815|Bacteroidaceae	976|Bacteroidetes	K	-acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00008	226186.BT_0009	1.2e-263	722.0	COG0226@1|root,COG0226@2|Bacteria,4NHAS@976|Bacteroidetes,2FQFA@200643|Bacteroidia,4AQ2R@815|Bacteroidaceae	976|Bacteroidetes	P	PBP superfamily domain	pstS	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
Bth_00009	226186.BT_0010	1.51e-260	713.0	29ZQK@1|root,30MRC@2|Bacteria,4PAFX@976|Bacteroidetes,2FWVG@200643|Bacteroidia,4ATCS@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bth_00011	657309.BXY_39030	2.4e-186	522.0	2DY9D@1|root,348RY@2|Bacteria,4P5Z3@976|Bacteroidetes,2FVB2@200643|Bacteroidia,4AS5B@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
