## Mon Sep  5 19:17:49 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_1kwnpi0b --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_1kwnpi0b --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_1kwnpi0b/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Ca_00001	1688.BCUN_2151	1.69e-225	630.0	COG1004@1|root,COG1004@2|Bacteria,2GJQB@201174|Actinobacteria,4CZ1N@85004|Bifidobacteriales	201174|Actinobacteria	M	UDP binding domain	ugd	-	1.1.1.22	ko:K00012	ko00040,ko00053,ko00520,ko01100,map00040,map00053,map00520,map01100	M00014,M00129,M00361,M00362	R00286	RC00291	ko00000,ko00001,ko00002,ko01000	-	-	-	UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N
Ca_00002	742722.HMPREF9463_01424	1.06e-144	412.0	COG2148@1|root,COG2148@2|Bacteria,2GK0M@201174|Actinobacteria,4CW5C@84998|Coriobacteriia	84998|Coriobacteriia	M	Bacterial sugar transferase	-	-	-	-	-	-	-	-	-	-	-	-	Bac_transf
Ca_00003	742722.HMPREF9463_01564	2.03e-118	339.0	COG0250@1|root,COG0250@2|Bacteria,2HV6V@201174|Actinobacteria,4CWEY@84998|Coriobacteriia	84998|Coriobacteriia	K	Transcription termination factor nusG	-	-	-	ko:K02601	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	NusG
Ca_00005	742722.HMPREF9463_01563	1.39e-135	386.0	COG1564@1|root,COG1564@2|Bacteria	2|Bacteria	H	THIamine pyrophosphokinase	thiN	-	2.7.6.2	ko:K00949	ko00730,ko01100,map00730,map01100	-	R00619	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	TPK_B1_binding,TPK_catalytic
Ca_00006	742722.HMPREF9463_01562	3.98e-160	449.0	COG0637@1|root,COG0637@2|Bacteria,2HF89@201174|Actinobacteria,4CUWC@84998|Coriobacteriia	84998|Coriobacteriia	H	Thiamin pyrophosphokinase, vitamin B1 binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HAD_2,TPK_B1_binding,TPK_catalytic
Ca_00007	742722.HMPREF9463_01561	0.0	1465.0	COG0296@1|root,COG0296@2|Bacteria,2GJ5C@201174|Actinobacteria,4CUR7@84998|Coriobacteriia	84998|Coriobacteriia	G	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position	glgB	-	2.4.1.18	ko:K00700	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R02110	-	ko00000,ko00001,ko00002,ko01000,ko04147	-	CBM48,GH13	-	Alpha-amylase,Alpha-amylase_C,CBM_48
Ca_00008	742722.HMPREF9463_01560	0.0	1617.0	COG0058@1|root,COG0058@2|Bacteria,2GIVZ@201174|Actinobacteria,4CU77@84998|Coriobacteriia	84998|Coriobacteriia	G	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties	glgP	-	2.4.1.1	ko:K00688	ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931	-	R02111	-	ko00000,ko00001,ko01000	-	GT35	-	Phosphorylase
Ca_00009	742722.HMPREF9463_01559	1.25e-283	774.0	COG0448@1|root,COG0448@2|Bacteria,2I2EF@201174|Actinobacteria,4CUYH@84998|Coriobacteriia	84998|Coriobacteriia	H	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans	glgC	-	2.7.7.27	ko:K00975	ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026	M00565	R00948	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	NTP_transferase
Ca_00010	742722.HMPREF9463_01558	2.74e-247	681.0	COG0448@1|root,COG0448@2|Bacteria,2IT7F@201174|Actinobacteria,4CU7K@84998|Coriobacteriia	84998|Coriobacteriia	G	Glucose-1-phosphate adenylyltransferase, GlgD subunit	glgD	-	2.7.7.27	ko:K00975	ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026	M00565	R00948	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	NTP_transferase
Ca_00011	742722.HMPREF9463_01557	0.0	1007.0	COG0297@1|root,COG0297@2|Bacteria,2GWGE@201174|Actinobacteria,4CV0M@84998|Coriobacteriia	84998|Coriobacteriia	F	Synthesizes alpha-1,4-glucan chains using ADP-glucose	glgA	-	2.4.1.21	ko:K00703	ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026	M00565	R02421	RC00005	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT5	-	Glyco_transf_5,Glycos_transf_1
